business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr B R Deo(Deo Ayurveda and wellness centre),Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70046 44965,N/A,5.0,46.0,"By pass Road, Purandaha pul, near Reddys Medicare, Purandaha, Bompas Town, Deoghar, Jharkhand 814112","Purandaha, Bompas Town",24.4887776,86.6843998,ChIJ09ry9GgX8TkRfXoX3_mFfBk,https://www.google.com/maps/place/?q=place_id:ChIJ09ry9GgX8TkRfXoX3_mFfBk,part_381,2026-09-20 20:19:27,1050
RAO'S MADRASI PILES CLINIC,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91555 71700,N/A,5.0,34.0,"Bhagwan talkies road, opposite to biskoman, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.491255499999998,86.68897319999999,ChIJVYf3NasX8TkREfHYwemPdDE,https://www.google.com/maps/place/?q=place_id:ChIJVYf3NasX8TkREfHYwemPdDE,part_381,2026-09-20 20:19:27,1051
Om Ayurvedic Health Care centre,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,1.0,1.0,"FMPR+X86, Asha ram keshan road, Near baidynathdham railway station, Deoghar, Jharkhand 814112","Kunj Vihar, Castairs Town, Bompas Town",24.487405799999998,86.6907758,ChIJ3eVZ_icW8TkR3yd3F2UPCvg,https://www.google.com/maps/place/?q=place_id:ChIJ3eVZ_icW8TkR3yd3F2UPCvg,part_381,2026-09-20 20:19:27,1052
Ganpati Medicals,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Ambulance service, Dentist, Dermatologist, Doctor, Gynecologist, Health consultant, Hospital, Laboratory, Pathologist",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 93041 75276,N/A,4.9,271.0,"Baidyanathdham Railway Station Rd, Castairs Town, Williams Town, Deoghar, Jharkhand 814112","Castairs Town, Williams Town",24.4893932,86.693184,ChIJJb2p-CcW8TkRHs4f44ZC_TU,https://www.google.com/maps/place/?q=place_id:ChIJJb2p-CcW8TkRHs4f44ZC_TU,part_381,2026-09-20 20:19:27,1053
SHIVESTA CHIKITSALAY,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Dialysis center, Fertility physician, Health consultant, Nephrologist, Oncologist, Sexologist, Skin care clinic, Wellness center",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94715 20202,http://shivesta.com/,3.4,19.0,"Bam Bam Baba Path, near Hanskoop, Katoria, Deoghar, Jharkhand 814112",Katoria,24.5008393,86.704053,ChIJdZp-vYY98TkRivYCHLph4Es,https://www.google.com/maps/place/?q=place_id:ChIJdZp-vYY98TkRivYCHLph4Es,part_381,2026-09-20 20:19:27,1054
SANJIVANI PHARMACY,Ayurvedic Pharmacy and Clinic,Medical Center,Medical Center,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 96937 14659,N/A,5.0,39.0,"NEAR, ROY BANGLA ASHARAM KESHAN ROAD CAST, Baidyanathdham Railway Station Rd, Deoghar, Jharkhand 814112",Williams Town,24.489417099999997,86.69304939999999,ChIJ6e8ltOMX8TkRZQGxS4StP0o,https://www.google.com/maps/place/?q=place_id:ChIJ6e8ltOMX8TkRZQGxS4StP0o,part_381,2026-09-20 20:19:27,1055
SAT SAHEB AYURVEDIC AROGYA KENDRA,Ayurvedic Pharmacy and Clinic,Health consultant,Health consultant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.8,4.0,"Shahid Ashram Rd, behind Sadar Hospital, Rajendra Nagar, Jhoushagari, Deoghar, Jharkhand 814112","Rajendra Nagar, Jhoushagari",24.484882499999998,86.70873929999999,ChIJ65FBDj098TkRX9YkKQGeMFo,https://www.google.com/maps/place/?q=place_id:ChIJ65FBDj098TkRX9YkKQGeMFo,part_381,2026-09-20 20:19:27,1056
Hardik Medicals,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94311 68367,https://www.facebook.com/hemantkumar.lal.5,4.7,27.0,"Jalsar Rd, near Adidas showroom, B, Shivganga Muhalla, Deoghar, Jharkhand 814112","B, Shivganga Muhalla",24.492304999999998,86.694109,ChIJJ58cHCkW8TkRIT5sv3VEdcY,https://www.google.com/maps/place/?q=place_id:ChIJJ58cHCkW8TkRIT5sv3VEdcY,part_381,2026-09-20 20:19:27,1057
Dr.AK Sarkar,Ayurvedic Pharmacy and Clinic,Pain control clinic,Pain control clinic,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70033 71728,N/A,3.8,5.0,"FJHV+4RP, Jasidih - Rohini Rd, Jasidih, Rohini, Jharkhand 814152",814114,24.477843,86.6445756,ChIJk4Ma0Gg_8TkRRLBRKgHT8No,https://www.google.com/maps/place/?q=place_id:ChIJk4Ma0Gg_8TkRRLBRKgHT8No,part_381,2026-09-20 20:19:27,1058
Patanjali Chikitsalay,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94317 81648,https://patanjalistores.patanjaliayurved.org/patanjali-chikitsalay-om-shree-enterprises-ayurvedic-clinic-tiwari-chowk-deoghar-257629/Home?utm_source=locator&utm_medium=googleplaces,4.4,66.0,"Tiwari Chowk, Tiwari Chowk Rd, Katoria, Deoghar, Jharkhand 814112",Katoria,24.4990289,86.69705689999999,ChIJs3yCqiUW8TkROIC8FMzXLG4,https://www.google.com/maps/place/?q=place_id:ChIJs3yCqiUW8TkROIC8FMzXLG4,part_381,2026-09-20 20:19:27,1059
