business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Satyam catering and Event Planner,Caterer and Event Planner,Caterer,Caterer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94311 88574,N/A,,,"Raut nagar, hardala kund, durga badi, Deoghar, Jharkhand 814112",durga badi,24.4938967,86.6895156,ChIJfw9ditEX8TkRGCVQZ_lv5BM,https://www.google.com/maps/place/?q=place_id:ChIJfw9ditEX8TkRGCVQZ_lv5BM,part_381,2026-09-20 20:19:43,2806
Baba Bhole Catering and Events,Caterer and Event Planner,Caterer,Caterer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 74888 59867,N/A,5.0,10.0,"Shiv bihar, Ranga More, Katoria, Deoghar, Jharkhand 814112","Ranga More, Katoria",24.5092392,86.70375489999999,ChIJsxqv67IX8TkReiyaBvNAuBA,https://www.google.com/maps/place/?q=place_id:ChIJsxqv67IX8TkReiyaBvNAuBA,part_381,2026-09-20 20:19:43,2807
"Dinesh -Ma Sandhiya Decorator-(Tent house, Lights, Catering, Sound-D.J , Full event management.)",Caterer and Event Planner,Event management company,Event management company,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95084 83057,N/A,5.0,17.0,"Landmark- Medha dairy, near Devsang, Chitolorhiya, Deoghar, Jharkhand 814114",814114,24.4660381,86.6852925,ChIJcUC0oNM98TkRmJbEauFe_v8,https://www.google.com/maps/place/?q=place_id:ChIJcUC0oNM98TkRmJbEauFe_v8,part_381,2026-09-20 20:19:43,2808
THE ICONIC CREATION FILMS & EVENT PLANNER,Caterer and Event Planner,Event planner,"Event planner, Event management company, Photography studio, Photographer, Wedding photographer",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 92293 56939,https://cinema-events-hub--theiconiccreati.replit.app/,4.8,12.0,"3rd Floor, Vioray Mall, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4907437,86.691294,ChIJVU5yFvkX8TkRDsntQmljUKo,https://www.google.com/maps/place/?q=place_id:ChIJVU5yFvkX8TkRDsntQmljUKo,part_381,2026-09-20 20:19:43,2809
Baba catering (Deoghar),Caterer and Event Planner,Party planner,Party planner,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94704 04310,N/A,5.0,44.0,"FMPR+28X, Gita Devi Krishna Temple Path, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.485119599999997,86.69084959999999,ChIJF7NIIl498TkRMNmrYAnzSjE,https://www.google.com/maps/place/?q=place_id:ChIJF7NIIl498TkRMNmrYAnzSjE,part_381,2026-09-20 20:19:44,2810
Aagman Se Bidaai Tk,Caterer and Event Planner,Event management company,"Event management company, Wedding planner, Meeting planning service, Party planner, Wedding photographer, Wedding venue",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 62012 41639,http://www.asbteventz.com/,4.4,,"Ambika Tower, Umapati Banarjee Road, near Ram Janki Mandir, Castair's Town, Jhoushagari, Deoghar, Jharkhand 814112","Castair's Town, Jhoushagari",24.4861431,86.6996088,ChIJMbdIuaU98TkRndNmUOrX-Yo,https://www.google.com/maps/place/?q=place_id:ChIJMbdIuaU98TkRndNmUOrX-Yo,part_381,2026-09-20 20:19:45,2811
GUPTA CATERING,Caterer and Event Planner,Restaurant supply store,Restaurant supply store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 99345 15033,N/A,3.9,,"college road, near govt busstand, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.4948047,86.69282799999999,ChIJdQgZNy8W8TkR1Km7nmsAPQs,https://www.google.com/maps/place/?q=place_id:ChIJdQgZNy8W8TkR1Km7nmsAPQs,part_381,2026-09-20 20:19:45,2812
SUMIT CATERING,Caterer and Event Planner,Caterer,"Caterer, Wedding planner",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,,"T. V. Center, Satsang, nera, Hirna Rd, Deoghar, Jharkhand 814112",Satsang Nagar,24.4894781,86.6775356,ChIJYec71wwX8TkRz18CmtJJoNk,https://www.google.com/maps/place/?q=place_id:ChIJYec71wwX8TkRz18CmtJJoNk,part_381,2026-09-20 20:19:45,2813
MAYA CATERER,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 83177 88114,N/A,5.0,,"BAMPAS TOWN, ROAD, DEVSANG, Deoghar, Jharkhand 814114","ROAD, DEVSANG",24.479232,86.6888051,ChIJiY1elHo98TkRB89TtlVuGgc,https://www.google.com/maps/place/?q=place_id:ChIJiY1elHo98TkRB89TtlVuGgc,part_381,2026-09-20 20:19:45,2814
Rahul Nandan,Caterer and Event Planner,Fast food restaurant,Fast food restaurant,814116,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Satsang SO,+91 79797 57005,http://www.nandancateringevent.com/,5.0,,"Nandan Cetring, Road 3 Number Fari, near Maa Lalita Hospital, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.484242,86.6989262,ChIJ_Xsidvs98TkRhP53VRpGl00,https://www.google.com/maps/place/?q=place_id:ChIJ_Xsidvs98TkRhP53VRpGl00,part_381,2026-09-20 20:21:07,7012
