business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Blue dart deoghar,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 74940 99054,N/A,3.7,,"Hotel Sri Ram Palace Deoghar, Baiju Mandir Gali, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.4912264,86.69535959999999,ChIJh4IjIp4X8TkRCgEU-QwTwjo,https://www.google.com/maps/place/?q=place_id:ChIJh4IjIp4X8TkRCgEU-QwTwjo,part_381,2026-09-20 20:19:52,3826
DTDC COURIER SERVICE,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 93045 22165,N/A,3.6,,"Shree ram hotel, Baiju Mandir Gali, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.491111399999998,86.695497,ChIJZ8TWrr0X8TkRJ97sek7NWCc,https://www.google.com/maps/place/?q=place_id:ChIJZ8TWrr0X8TkRJ97sek7NWCc,part_381,2026-09-20 20:19:52,3827
DTDC courier services,Courier and Cargo Service,Courier service,"Courier service, Logistics service",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.3,,"More, Krishna complex, Court Rd, above jawa showroom, Purandaha, Williams Town, Deoghar, Jharkhand 814112","Purandaha, Williams Town",24.492058,86.6877191,ChIJC7NLHf8X8TkRrtPhwSUUc_0,https://www.google.com/maps/place/?q=place_id:ChIJC7NLHf8X8TkRrtPhwSUUc_0,part_381,2026-09-20 20:19:52,3828
Trackon Couriers Pvt. Limited,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 6432 355 088,N/A,2.8,,"FMVR+2MP, Durgabari, Hardala kund, opp Rameshwarm hotel, gov. bus stand, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4925848,86.6916887,ChIJ4SK5sXIX8TkRKLuH0jd9gAI,https://www.google.com/maps/place/?q=place_id:ChIJ4SK5sXIX8TkRKLuH0jd9gAI,part_381,2026-09-20 20:19:52,3829
Skyking Courier,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,https://skyking.co/,2.1,,"FMRW+43V, At- Chandra jyoti Market Complex, Opp:- Union Bank, Station Rd, B, Deoghar, Jharkhand 814112",B,24.490360199999998,86.6951577,ChIJDcHiDREX8TkR4NjpKk9t35o,https://www.google.com/maps/place/?q=place_id:ChIJDcHiDREX8TkR4NjpKk9t35o,part_381,2026-09-20 20:19:52,3830
Blue Dart Deoghar,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 62043 52748,N/A,4.3,,"Hadhadiyapul Infront Of Hotel Shanti Shivam, Deoghar, Jharkhand 814112",Williams Town,24.4987972,86.6937516,ChIJd3mQzQsX8TkR2ZBS4iJmVM4,https://www.google.com/maps/place/?q=place_id:ChIJd3mQzQsX8TkR2ZBS4iJmVM4,part_381,2026-09-20 20:19:52,3831
Delhivery Courier,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87897 45566,http://www.delhivery.com/,3.5,,"inside hotel chandrajyoti Infront of ICICI Bank, JHARKHAND ,India 814112, near RAY AND COMPANY, CHOWK, Deoghar, Jharkhand 814112",CHOWK,24.490447699999997,86.6948271,ChIJc5-1O6oX8TkRB-yfxixz3vE,https://www.google.com/maps/place/?q=place_id:ChIJc5-1O6oX8TkRB-yfxixz3vE,part_381,2026-09-20 20:19:52,3832
jetline couriers pvt.ltd.,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 92043 42877,N/A,3.1,,"H.K Banerjee Road, Court Rd, behind Govt. Buststand, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4922985,86.6913855,ChIJHTkMnigW8TkRsllgQOMi1s4,https://www.google.com/maps/place/?q=place_id:ChIJHTkMnigW8TkRsllgQOMi1s4,part_381,2026-09-20 20:19:52,3833
M Vikram Singh Courier Booking,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,,,"Ward No 30, Jun Pokhar, Old Cotton Mill Rd, Jhoushagari, Deoghar, Jharkhand 814112",Jhoushagari,24.4853441,86.7043084,ChIJn_2K9pU98TkR2CcilnuKIrA,https://www.google.com/maps/place/?q=place_id:ChIJn_2K9pU98TkR2CcilnuKIrA,part_381,2026-09-20 20:19:52,3834
DTDC,Courier and Cargo Service,Courier service,Courier service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,,"FMMX+WRW, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.4849382,86.69967179999999,ChIJl5H4aqs98TkRjFzpCk2bw40,https://www.google.com/maps/place/?q=place_id:ChIJl5H4aqs98TkRjFzpCk2bw40,part_381,2026-09-20 20:19:52,3835
