business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reliance Digital,Multi-location Retail Chains,Electronics store,Electronics store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 82910 19297,https://store.reliancedigital.in/reliance-digital-vip-chowk-deoghar-electronics-retail-and-repair-shop-vip-chowk-deoghar-570397/Home?utm_source=locator&utm_medium=googleplaces,4.7,283.0,"Alka Tower, VIP Chowk, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.492213399999997,86.6866704,ChIJ7V0Cv-Zb8TkRkJ3OJ5DqWl8,https://www.google.com/maps/place/?q=place_id:ChIJ7V0Cv-Zb8TkRkJ3OJ5DqWl8,part_381,2026-09-20 20:20:00,4503
V2 (Value & Variety),Multi-location Retail Chains,Clothing Accessories Store,Clothing Accessories Store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.8,1066.0,"Madhusudan Chhorat, 255, Court Rd, near VIP Chowk, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4926684,86.6866491,ChIJ2SlktiYW8TkR0jEbcwMv2RM,https://www.google.com/maps/place/?q=place_id:ChIJ2SlktiYW8TkR0jEbcwMv2RM,part_381,2026-09-20 20:20:00,4504
Evara Resin by Anshu Upadhyay,Multi-location Retail Chains,Gift shop,Gift shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87572 41674,https://evararesin.mini.site/,4.6,16.0,"Dabur gram, near maihar garden, near petrol pump, Gyatri nagar, Deoghar, Jharkhand 814142",Gyatri nagar,24.501554499999997,86.657626,ChIJ12MF2M8V8TkRSu_Ed7aULp4,https://www.google.com/maps/place/?q=place_id:ChIJ12MF2M8V8TkRSu_Ed7aULp4,part_381,2026-09-20 20:20:01,4505
IM4U MEGA STORE,Multi-location Retail Chains,Indian grocery store,Indian grocery store,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,4.5,,"Hundai Showroom, Near, Circular Rd, Barmasia, Deoghar, Jharkhand 814112",Barmasia,24.499556899999998,86.6860528,ChIJzXBr9K4X8TkRi3Ph0HNWnZA,https://www.google.com/maps/place/?q=place_id:ChIJzXBr9K4X8TkRi3Ph0HNWnZA,part_381,2026-09-20 20:20:42,6553
A K Traders,Multi-location Retail Chains,Shopping mall,Shopping mall,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,,,"hadhadiya pool, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.4979808,86.6933645,ChIJjQP6sC8W8TkRlYNbWNnUgJg,https://www.google.com/maps/place/?q=place_id:ChIJjQP6sC8W8TkRlYNbWNnUgJg,part_381,2026-09-20 20:20:42,6554
Saibal Sen So Samrun,Multi-location Retail Chains,General store,"General store, Hotel",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 99346 57371,N/A,3.4,,"Jalsar Rd, near Hotel Sarita, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.494317499999998,86.69615309999999,ChIJz0ZKUykW8TkR89vd32u9Nkk,https://www.google.com/maps/place/?q=place_id:ChIJz0ZKUykW8TkR89vd32u9Nkk,part_381,2026-09-20 20:20:43,6555
"Jan Vitran Pranali Dukan,Pahartalli,Deoghar,Jharkhand",Multi-location Retail Chains,Government office,Government office,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,4.0,6.0,"8JPW+QXW Hanuman mandir, Pahartali, Jharkhand 814114",814115,24.336982199999998,86.6474515,ChIJRd6Wvps58TkRnzF-vA-H6Tc,https://www.google.com/maps/place/?q=place_id:ChIJRd6Wvps58TkRnzF-vA-H6Tc,part_381,2026-09-20 20:20:43,6556
Reliance SMART Superstore,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",814116,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Satsang SO,+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-superstore-hypermarket-barganda-giridih-280680/Home,3.7,,"LGF, Narayani Centre Point Court Road, Barganda Rd, opposite Madhuban Restaurant, Giridih, Jharkhand 815302",New Barganda,24.1906937,86.30690229999999,ChIJbe9RAzxV8TkRJJK4QpUhZdE,https://www.google.com/maps/place/?q=place_id:ChIJbe9RAzxV8TkRJJK4QpUhZdE,part_381,2026-09-20 20:21:25,7355
BLINKIT STORE,Multi-location Retail Chains,Market,Market,814118,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Basukinathdham SO, Bagjhopa BO, Baratanr BO",N/A,http://www.blinkit.com/,3.2,9.0,"76CX+RJJ, New Babu Para, Dumka, Jharkhand 814101",New Babu Para,24.2720947,87.2490176,ChIJA1YPQgC38DkRMor1mbUU_ac,https://www.google.com/maps/place/?q=place_id:ChIJA1YPQgC38DkRMor1mbUU_ac,part_381,2026-09-20 20:22:07,10013
पूर्व सैनिक कल्याण भंडार,Multi-location Retail Chains,General store,General store,814119,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Kurwa SO, Asansol BO, Gamra BO",N/A,N/A,4.6,23.0,"Kumhar Para, Chowk, Station Rd, Dumka, Jharkhand 814101",814119,24.2752753,87.24984219999999,ChIJuedankS38DkR86Ci6WBz7TY,https://www.google.com/maps/place/?q=place_id:ChIJuedankS38DkR86Ci6WBz7TY,part_381,2026-09-20 20:22:51,11681
Balaji Stationery,Multi-location Retail Chains,Stationery store,Stationery store,814119,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Kurwa SO, Asansol BO, Gamra BO",+91 78569 93904,N/A,4.9,20.0,"Tin Bazar, Cinema Road, Gyanda, Dumka, Jharkhand 814101",Gyanda,24.269762099999998,87.2488863,ChIJozd7Iiy38DkR5BBRevuvgQA,https://www.google.com/maps/place/?q=place_id:ChIJozd7Iiy38DkR5BBRevuvgQA,part_381,2026-09-20 20:22:52,11682
Sahay Complex,Multi-location Retail Chains,Business center,Business center,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",N/A,N/A,4.2,14.0,"RG2J+WHJ, Banuchapar, Tola Mansaraut, Bihar 845438",Banuchapar,26.802348199999997,84.53139829999999,ChIJm-6eu1NpkzkRtDlJ0s7YF7M,https://www.google.com/maps/place/?q=place_id:ChIJm-6eu1NpkzkRtDlJ0s7YF7M,part_381,2026-09-20 20:24:29,18646
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-kathalbari-darbhanga-279935/Home,4.0,3354.0,"Shop No 5, Shivanchal Complex, Income Tax Chauraha, GM Road, near ICICI Bank, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1573037,85.9000523,ChIJh32rP6e57TkRNpWwKQGi1OI,https://www.google.com/maps/place/?q=place_id:ChIJh32rP6e57TkRNpWwKQGi1OI,part_381,2026-09-20 20:24:29,18647
