business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pooja Tiffin Services,Tiffin Center and Mess,Tiffin center,"Tiffin center, Tiffin Service Provider",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 84090 28127,N/A,4.7,,"Mathabandh, Jhoushagari, Deoghar, Jharkhand 814112",Jhoushagari,24.4888113,86.7029622,ChIJQ-RIE1oX8TkRD6anR1K9akY,https://www.google.com/maps/place/?q=place_id:ChIJQ-RIE1oX8TkRD6anR1K9akY,part_381,2026-09-20 20:19:21,400
Shivam tiffin service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 96311 53878,N/A,4.5,,"bompass town near dev sangha B.Deoghar, Deoghar, Jharkhand 814114",Bompas Town,24.4748444,86.68961879999999,ChIJb3aKN5A98TkRm9fNHDWDeJ4,https://www.google.com/maps/place/?q=place_id:ChIJb3aKN5A98TkRm9fNHDWDeJ4,part_381,2026-09-20 20:19:21,401
Keshav Madhav Tiffin service,Tiffin Center and Mess,Tiffin center,Tiffin center,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 78560 10541,N/A,4.6,,"Dwarka acadamy 10+2, Bangali Tola Rd, Aamgachhi, Baidhnathpur, Deoghar, Jharkhand 814112","Aamgachhi, Baidhnathpur",24.484819899999998,86.72136569999999,ChIJ25H91uo98TkR84t2qHPj6XM,https://www.google.com/maps/place/?q=place_id:ChIJ25H91uo98TkR84t2qHPj6XM,part_381,2026-09-20 20:19:21,402
SAI TIFFIN SERVICE,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 62017 48724,https://sri-sai-catring.my.canva.site/gourmet-burgers,5.0,,"Hanuman tikri D, Deoghar, Jharkhand 814112",Williams Town,24.4997454,86.6960888,ChIJdXdH7T8X8TkRQKAlwuz6UuY,https://www.google.com/maps/place/?q=place_id:ChIJdXdH7T8X8TkRQKAlwuz6UuY,part_381,2026-09-20 20:19:21,403
Rahul Tiffin service,Tiffin Center and Mess,Food bank,Food bank,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.5,14.0,"Baidhnathpur, Deoghar, Jharkhand 814112",Baidhnathpur,24.482883599999997,86.72166229999999,ChIJOUrI7n498TkRKz5MtCmPj74,https://www.google.com/maps/place/?q=place_id:ChIJOUrI7n498TkRKz5MtCmPj74,part_381,2026-09-20 20:19:21,404
SAI CATERING AND EVENT,Tiffin Center and Mess,Catering food and drink supplier,Catering food and drink supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70047 38938,https://sri-sai-catring.my.canva.site/sai-catring-and-events,4.9,,"House 22 - Dr Dk singh ,Hanuman tikri, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.5000023,86.6964235,ChIJ01tyNWsX8TkRRFXjS47oMkE,https://www.google.com/maps/place/?q=place_id:ChIJ01tyNWsX8TkRRFXjS47oMkE,part_381,2026-09-20 20:19:21,405
Tifintime Meals,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Health food restaurant",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,http://www.tifintime.in/,4.8,,"Sita Niwas, DAV Street, opposite Mahindra Tractor Showroom, near Advanced Urology Centre, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.486094899999998,86.69113829999999,ChIJA_gOIwg98TkR7QGN9ikzXJw,https://www.google.com/maps/place/?q=place_id:ChIJA_gOIwg98TkR7QGN9ikzXJw,part_381,2026-09-20 20:19:21,406
Maa Tara Tiffin Service,Tiffin Center and Mess,Caterer,Caterer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 92632 32710,N/A,5.0,,"Parmeshwar Dayal, Ashok Raut, Parmeshwar Dayal Rd, near Shiva Tower, Ambedkar Nagar, Barmasia, Deoghar, Jharkhand 814112","Ambedkar Nagar, Barmasia",24.4977804,86.6882742,ChIJfz098dwX8TkRwprwOhNWoOo,https://www.google.com/maps/place/?q=place_id:ChIJfz098dwX8TkRwprwOhNWoOo,part_381,2026-09-20 20:19:21,407
Tiffin services,Tiffin Center and Mess,Soup kitchen,Soup kitchen,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,,,"FMVQ+76X VIP Chowk, Brijbhan Singh Path, Court Rd, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4935036,86.6883486,ChIJd1lafQAX8TkRRdDGrlkdduM,https://www.google.com/maps/place/?q=place_id:ChIJd1lafQAX8TkRRdDGrlkdduM,part_381,2026-09-20 20:19:21,408
PRASHANT TIFFIN SERVICE,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 82101 31317,N/A,4.8,,"Bank Colony, Kusum Vihar, Murli Nagar, Saraidhella, Dhanbad, Jharkhand 826007","Bank Colony, Kusum Vihar, Murli Nagar",23.8111954,86.46372509999999,ChIJX828r4i99jkRhkBFIr82eAw,https://www.google.com/maps/place/?q=place_id:ChIJX828r4i99jkRhkBFIr82eAw,part_381,2026-09-20 20:19:21,409
Tathashtu Tiffin Seva,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Meal delivery, Tiffin center",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70200 37701,N/A,5.0,,"Ayush Vihar Colony, near Raja Talab, Sugiadih, CCWO Colony, Saraidhella, Dhanbad, Jharkhand 826007","Sugiadih, CCWO Colony",23.822519099999997,86.4672349,ChIJocd9GW-79jkR8EfxX6eP0Fc,https://www.google.com/maps/place/?q=place_id:ChIJocd9GW-79jkR8EfxX6eP0Fc,part_381,2026-09-20 20:19:21,410
Maa Annpoorna Tiffin services,Tiffin Center and Mess,Food bank,Food bank,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 79036 38112,N/A,,,"near naulakha mandir, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4911025,86.6887498,ChIJI9uqsrgX8TkRr_-P5RZbVAQ,https://www.google.com/maps/place/?q=place_id:ChIJI9uqsrgX8TkRr_-P5RZbVAQ,part_381,2026-09-20 20:19:21,411
"Mom's Tiffin & Mess,",Tiffin Center and Mess,Breakfast restaurant,"Breakfast restaurant, Tiffin Service Provider, Restaurant",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.7,,"Opposite of ICICI Bank, Anand Nagar, Bye Pass Road, CHAS, Bokaro Steel City, Jharkhand 827013",Ramnagar Colony,23.633129699999998,86.1718889,ChIJOyLsMuMj9DkRdmBjrLhRwEU,https://www.google.com/maps/place/?q=place_id:ChIJOyLsMuMj9DkRdmBjrLhRwEU,part_381,2026-09-20 20:19:21,412
