business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mangalam Studio,Videographer and Drone Rental,Photography studio,Photography studio,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 73719 35166,https://www.instagram.com/the_film_factory1?igsh=YzIxcDN3cHYwMTFt,4.9,50.0,"Ram Mandir Rd, Jhoushagari, Deoghar, Jharkhand 814112",Jhoushagari,24.487118199999998,86.7053431,ChIJIZ6X9toLLCARgB2Xun3_DcM,https://www.google.com/maps/place/?q=place_id:ChIJIZ6X9toLLCARgB2Xun3_DcM,part_381,2026-09-20 20:19:43,2775
Radhe studio Deoghar,Videographer and Drone Rental,Video production service,"Video production service, Advertising agency, Media company, Media Consultant, Movie theater, Photographer, Video editing service, Wedding photographer, Wedding planner, Wedding service",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95723 76931,N/A,5.0,43.0,"Dumka Rd, Krishi Bazar Samiti, Baidhnathpur, Deoghar, Jharkhand 814112","Krishi Bazar Samiti, Baidhnathpur",24.4901002,86.7138595,ChIJt_1D7YoX8TkRgG31XUYsZQY,https://www.google.com/maps/place/?q=place_id:ChIJt_1D7YoX8TkRgG31XUYsZQY,part_381,2026-09-20 20:19:43,2776
Bride Film & Event Organizer Deoghar,Videographer and Drone Rental,Wedding photographer,Wedding photographer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95045 63264,N/A,4.8,14.0,"Kalika Vihar Rd, Panda Nagari, Deoghar, Jharkhand 814113",Panda Nagari,24.5073236,86.7047465,ChIJleKeIREX8TkRogTHBLgTlaw,https://www.google.com/maps/place/?q=place_id:ChIJleKeIREX8TkRogTHBLgTlaw,part_381,2026-09-20 20:19:43,2777
THE CINEMATIC WORLDS,Videographer and Drone Rental,Photography studio,Photography studio,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 62042 93761,https://sites.google.com/view/thecinematicworldsdeoghar/home?authuser=2,5.0,33.0,"BUS STAND, FUHARA CHOWK, Bompas Town, Deoghar, Jharkhand 814112",Bompas Town,24.4885993,86.6988044,ChIJXdy5fUcX8TkRbzbnl4Nilx0,https://www.google.com/maps/place/?q=place_id:ChIJXdy5fUcX8TkRbzbnl4Nilx0,part_381,2026-09-20 20:19:43,2778
Deoghar recording studio,Videographer and Drone Rental,Recording studio,Recording studio,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 99394 49947,http://facebook.com/rvsproductionofficial,3.7,15.0,"Palika Bazaar Campus, A /3, Private Bus Stand Rd, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.488620599999997,86.7008693,ChIJ2y0lpioW8TkR7J99jxIWcAw,https://www.google.com/maps/place/?q=place_id:ChIJ2y0lpioW8TkR7J99jxIWcAw,part_381,2026-09-20 20:19:43,2779
Vv Films & event creation,Videographer and Drone Rental,Photography studio,Photography studio,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,1.0,3.0,"Simra Deoghar Int'l Airport Rd, Karnibad, Deoghar, Jharkhand 814143",Karnibad,24.4681373,86.7050256,ChIJrdNGIpY98TkR0Ny0tkZSv0k,https://www.google.com/maps/place/?q=place_id:ChIJrdNGIpY98TkR0Ny0tkZSv0k,part_381,2026-09-20 20:19:43,2780
JAI MAA STUDIO cinematic photography and video graphy HD video etc,Videographer and Drone Rental,Photography service,"Photography service, Wedding photographer",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,,,"FPX3+555, Govind Khaware Ln, B, Shivganga Muhalla, Deoghar, Jharkhand 814112","B, Shivganga Muhalla",24.4978868,86.7029711,ChIJn2HG2QMX8TkRmVZRaTH1eQ0,https://www.google.com/maps/place/?q=place_id:ChIJn2HG2QMX8TkRmVZRaTH1eQ0,part_381,2026-09-20 20:19:43,2781
Photography,Videographer and Drone Rental,Video editing service,Video editing service,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 73219 43989,N/A,5.0,2.0,"Castairs Town, Bompas Town, Deoghar, Jharkhand 814114","Castairs Town, Bompas Town",24.4752586,86.68948019999999,ChIJwRHjWGs98TkRJVCj-zRggg4,https://www.google.com/maps/place/?q=place_id:ChIJwRHjWGs98TkRJVCj-zRggg4,part_381,2026-09-20 20:19:43,2782
STUDIO RAJHANS,Videographer and Drone Rental,Photography studio,"Photography studio, Wedding planner",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 96082 18761,https://periwinkle-cheshire-6c4.notion.site/STUDIO-RAJHANS-29ce310c919680cf8c20df59e798f571?source=copy_link,4.9,141.0,"Bherwa Rd, KumharToli, Madhupur, Jharkhand 815353",KumharToli,24.2702349,86.64795439999999,ChIJj9dPrHk38TkRGSC4ZVf4__4,https://www.google.com/maps/place/?q=place_id:ChIJj9dPrHk38TkRGSC4ZVf4__4,part_381,2026-09-20 20:19:44,2783
ASHISH VIDEO VISION (Digital Studio),Videographer and Drone Rental,Wedding photographer,Wedding photographer,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95700 01923,N/A,4.0,4.0,"GJ7W+5V7, station Road, Jasidih, Jharkhand 814142",814114,24.5129128,86.6471742,ChIJbabEOMIV8TkRs9IXnLwvKxA,https://www.google.com/maps/place/?q=place_id:ChIJbabEOMIV8TkRs9IXnLwvKxA,part_381,2026-09-20 20:19:44,2784
