business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Govt. Approved CNG KIT Fitment Center Patna Unique Automobiles,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 99584 02494,https://www.facebook.com/share/1A9pTY6ojY/,4.9,1020.0,"Ashiana - Digha Rd, near Neelkanth Hospital, Indrapuri, Patna, Bihar 800025",Indrapuri,25.611825399999997,85.08198229999999,ChIJXSB4U3hX7TkRd_rJC6Z1sxg,https://www.google.com/maps/place/?q=place_id:ChIJXSB4U3hX7TkRd_rJC6Z1sxg,part_381,2026-09-20 20:20:16
CNG KIT PATNA CENTRE,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Auto electrical service, Auto parts store, Auto repair shop, Auto Accessories Store, Car stereo store, Gas installation service, Gasfitter, LPG conversion, Oil & natural gas company",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 87099 34836,https://cngkitcentersaddam.website3.me/,4.8,202.0,"Ashiana - Digha Rd, near don Bosco school, Yadav Colony, Patna, Bihar 800011",Yadav Colony,25.6352302,85.0863036,ChIJTSxfTQlZ7TkR6kVzTWYpztg,https://www.google.com/maps/place/?q=place_id:ChIJTSxfTQlZ7TkR6kVzTWYpztg,part_381,2026-09-20 20:20:16
JMDLS CNG TESTING PLANT,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,5.0,178.0,"Kelande (Kulgu) Piska, Nagari, Ranchi, Jharkhand 835303",814115,23.300100999999998,85.2002464,ChIJE5H6KTfZ9DkRzCauVttOdI4,https://www.google.com/maps/place/?q=place_id:ChIJE5H6KTfZ9DkRzCauVttOdI4,part_381,2026-09-20 20:20:16
PARAS MOTOR,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 80028 54000,N/A,4.9,827.0,"Kangkar Bagh Road, Kankarbagh, Bankman Colony, Patna, Bihar 800020","Kankarbagh, Bankman Colony",25.6028985,85.1540912,ChIJxx7v1PNZ7TkRZAEEXxTCgC0,https://www.google.com/maps/place/?q=place_id:ChIJxx7v1PNZ7TkRZAEEXxTCgC0,part_381,2026-09-20 20:20:16
Global Autogas,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 98610 33160,N/A,4.6,95.0,"Plot No 40/41, Near LaxmiDebi Colony Rasulgarh, 50mtr after Raheman Petrol Pump Side of Over Bridge Towards, Palasuni, Bhubaneswar, Odisha 751010","Palasuni, Mancheswar Industrial Estate",20.298928999999998,85.8615555,ChIJqeXNZvKhGToRbMO4ZLfY98s,https://www.google.com/maps/place/?q=place_id:ChIJqeXNZvKhGToRbMO4ZLfY98s,part_381,2026-09-20 20:20:16
New Vijay Auto Gas CNG and LPG Fitting Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,4.7,37.0,"9WH6+7FV, Harhua, Uttar Pradesh 221105",814115,25.3782425,82.9111707,ChIJvXEiXuYtjjkRB0mnjBCHwYY,https://www.google.com/maps/place/?q=place_id:ChIJvXEiXuYtjjkRB0mnjBCHwYY,part_381,2026-09-20 20:20:16
Matri automobile,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 98300 37970,N/A,5.0,393.0,"duckbanglow, Dakshinpara Rd, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.7081576,88.476974,ChIJ4cLjUbiZ-DkRhDQMTS2LQuc,https://www.google.com/maps/place/?q=place_id:ChIJ4cLjUbiZ-DkRhDQMTS2LQuc,part_381,2026-09-20 20:20:16
JCFC CNG TESTING PLANT,CNG Kit Fitment Center,CNG Fitment Center,"CNG Fitment Center, Petrol Pump",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 93599 77863,N/A,5.0,5.0,"near RTC ENGINEERING COLLEGE, Ormanjhi, Anandi, Jharkhand 835219",814115,23.4725252,85.4882421,ChIJUdfH4O779DkRKHngD6VLm8g,https://www.google.com/maps/place/?q=place_id:ChIJUdfH4O779DkRKHngD6VLm8g,part_381,2026-09-20 20:20:16
NextGen Cng Kit Fitment Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 75498 39381,https://cngkitpatna.com/,4.7,130.0,"Gola Rd, opp. ICICI Bank, Shashwat Vihar, Vivek Vihar Colony, Patna, Bihar 801503","Shashwat Vihar, Vivek Vihar Colony",25.6209807,85.0560442,ChIJfbck6B1Z7TkRxz_zhBbITUM,https://www.google.com/maps/place/?q=place_id:ChIJfbck6B1Z7TkRxz_zhBbITUM,part_381,2026-09-20 20:20:16
CNG kit fitment Center(पूर्ण प्रभा),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 74880 89755,http://poornaprabhacng.com/,4.9,404.0,"opp. Head Post Office,near gayatri mandir kankarbagh, cc-5, Lohia Nagar, Patna, Bihar 800020","Housing Board Colony, cc-5, Lohia Nagar",25.5976505,85.15535369999999,ChIJ0Uqe2fVZ7TkRnCsMszyhHQA,https://www.google.com/maps/place/?q=place_id:ChIJ0Uqe2fVZ7TkRnCsMszyhHQA,part_381,2026-09-20 20:20:16
