business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abhishek Mobile sales and service,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 91029 38664,N/A,4.3,,"Chandan, Bihar 814131",814131,24.617971999999998,86.6671367,ChIJuVWHtGQR8TkR6aujtf-1bzg,https://www.google.com/maps/place/?q=place_id:ChIJuVWHtGQR8TkR6aujtf-1bzg,part_381,2026-09-20 20:24:16
Authorised Samsung Service Center - Shivam Telecom,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 80028 80038,https://servicecenter.samsungdigitalservicecenter.com/authorised-samsung-service-center-shivam-telecom-mobile-phone-repair-shop-vijay-nagar-banka-236805/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"1st Floor, Kiran Complex, Bus Stand, No 13/104, Banka Rd, near Katoria, Vijay Nagar, Banka, Bihar 813102",Vijay Nagar,24.8807188,86.923457,ChIJ-8qbcmhV8DkRXrMRdcbEI20,https://www.google.com/maps/place/?q=place_id:ChIJ-8qbcmhV8DkRXrMRdcbEI20,part_381,2026-09-20 20:24:16
Keshri Mobile Store,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 75497 16071,N/A,4.4,,"Katoria, Bihar 813103",814131,24.747949199999997,86.7167228,ChIJMU1f2hUP8TkR840ujIsNp9U,https://www.google.com/maps/place/?q=place_id:ChIJMU1f2hUP8TkR840ujIsNp9U,part_381,2026-09-20 20:24:16
om mobile sale $ service,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",N/A,N/A,4.0,,"radhanagar katoria, Radha Nagar, Tola Hethnegajor, Bihar 813103",Radha Nagar,24.7378403,86.7541296,ChIJhYKGOQAF8TkRGU9VqLUp6mw,https://www.google.com/maps/place/?q=place_id:ChIJhYKGOQAF8TkRGU9VqLUp6mw,part_381,2026-09-20 20:24:16
Phone Plaza,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Shopping mall",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",N/A,N/A,5.0,31.0,"near middle school, Radha Nagar, radhanagar, Tola Hethnegajor, Bihar 813103",Radha Nagar,24.7381145,86.7580143,ChIJM1QRi4AF8TkRzk0926FAEx0,https://www.google.com/maps/place/?q=place_id:ChIJM1QRi4AF8TkRzk0926FAEx0,part_381,2026-09-20 20:24:17
Samsung Experience Store Kachari Road,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Electronics store, Mobile phone repair shop, Phone repair service",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 98520 82020,https://www.samsungexclusivestores.in/samsung-experience-store-kachari-road-mobile-phone-shop-kachari-road-banka-431297/Home,5.0,1.0,"Shop No 1 & 2, Gr Flr, Sona Complex Kachari Road, Post Office Rd, near Banka Head, Banka, Bihar 813102",814131,24.885403,86.92551499999999,ChIJyTjCkNZV8DkRn92vatolMX4,https://www.google.com/maps/place/?q=place_id:ChIJyTjCkNZV8DkRn92vatolMX4,part_381,2026-09-20 20:24:17
PhoneWaala | Mobile Phone Shop | Patna,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 99056 07591,https://www.instagram.com/phonewaalapatna/,4.7,670.0,"Shop No. G45 (Ground ) V2 Mall, Maharaja Kameshwar Complex, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6072526,85.1381009,ChIJNXCg3GlZ7TkRIC5tqKlHtfo,https://www.google.com/maps/place/?q=place_id:ChIJNXCg3GlZ7TkRIC5tqKlHtfo,part_381,2026-09-20 20:24:17
Shikha Telecom,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Store",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 99313 86939,N/A,4.8,15.0,"Thana Road, Amarpur - Bishunpur Rd, Amarpur, Bihar 813101",814131,25.0426988,86.89862839999999,ChIJZ-tF60ut8TkRk4-8LlTZIbU,https://www.google.com/maps/place/?q=place_id:ChIJZ-tF60ut8TkRk4-8LlTZIbU,part_381,2026-09-20 20:24:17
Fix Phone,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Phone repair service",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 87896 91114,N/A,4.5,4.0,"00, Main Road, Dulhin Bazar, Bihar 801102",814131,25.3856117,84.8592056,ChIJN1jQuP9NjTkReouyfj8nI6g,https://www.google.com/maps/place/?q=place_id:ChIJN1jQuP9NjTkReouyfj8nI6g,part_381,2026-09-20 20:24:17
Abhishek Mobile Accessories,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 84078 52397,N/A,4.4,7.0,"Punsia bazar, DHORRIYA road, Banka, Bihar 813109",814131,24.953373499999998,87.0009233,ChIJsRC3_4FX8DkRcWsMS7SbjQo,https://www.google.com/maps/place/?q=place_id:ChIJsRC3_4FX8DkRcWsMS7SbjQo,part_381,2026-09-20 20:24:17
