business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SEO services,SEO Agencies,Information services,Information services,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",N/A,N/A,,,"Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4910988,86.6888051,ChIJVW5IHKUX8TkRFwUTBDumglc,https://www.google.com/maps/place/?q=place_id:ChIJVW5IHKUX8TkRFwUTBDumglc,part_381,2026-09-20 20:24:25
Best SEO,SEO Agencies,Internet marketing service,Internet marketing service,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 82102 83633,N/A,,,"J3WG+WV3, Ramji Chak, Mithila Colony, Digha Ghat, Bataganj, Patna, Bihar 800012","Ramji Chak, Mithila Colony, Digha Ghat",25.6472595,85.07717079999999,ChIJ48Jr8J5X7TkRwBG7RTm5XU8,https://www.google.com/maps/place/?q=place_id:ChIJ48Jr8J5X7TkRwBG7RTm5XU8,part_381,2026-09-20 20:24:26
Digital your Business,SEO Agencies,Internet marketing service,"Internet marketing service, Branding agency, Education center, Educational institution, Graphic designer, Marketing consultant, Software company, Training center, Website designer",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 95070 70703,http://digitalyourbusiness.in/,4.9,,"Maatri chhaya complex, Bypass Rd, near Patna Central School Road, New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800027","New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar",25.583824099999998,85.1549186,ChIJpyIY1AGn8jkRta9liw4cQ9w,https://www.google.com/maps/place/?q=place_id:ChIJpyIY1AGn8jkRta9liw4cQ9w,part_381,2026-09-20 20:24:27
Reemzet Solutions LLP,SEO Agencies,Software company,"Software company, Website designer",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 95255 81574,https://reemzetdeveloper.in/,5.0,,"Manpur Bypass Road, Bahorabigha, New Colony, Surheri, Gaya, Bihar 823003","Bahorabigha, New Colony",24.7744517,85.020265,ChIJHZU0hVkr8zkRG8sLrfNRbrc,https://www.google.com/maps/place/?q=place_id:ChIJHZU0hVkr8zkRG8sLrfNRbrc,part_381,2026-09-20 20:24:27
R2media,SEO Agencies,Marketing agency,"Marketing agency, Database Management Company, Software company, Web hosting company, Website designer",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 96508 85285,https://www.r2media.in/,5.0,,"Teliya patti chowk, ward 5, Henary Bazar, Motihari, Bihar 845401","ward 5, Henary Bazar",26.6590757,84.9178021,ChIJnwVJp3I1kzkR05YjnpArrC0,https://www.google.com/maps/place/?q=place_id:ChIJnwVJp3I1kzkR05YjnpArrC0,part_381,2026-09-20 20:24:27
AVIWEB Technologies Pvt. Ltd.,SEO Agencies,Website designer,Website designer,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 93342 09829,https://aviweb.in/,4.7,,"102, Shambhavi Apartment, Buddha Colony Rd, Buddha Colony, Patna, Bihar 800001",Buddha Colony,25.621411199999997,85.1267803,ChIJBwp4ETpY7TkRp5UxBzfKnWM,https://www.google.com/maps/place/?q=place_id:ChIJBwp4ETpY7TkRp5UxBzfKnWM,part_381,2026-09-20 20:24:27
Web Patna Reach,SEO Agencies,Website designer,Website designer,814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 93045 46354,http://webpatna.in/,,,"Ward No. 59, Mitan Ghat, 182/207, Rai Jai Krishna Rd, Sadikpur, Patna, Bihar 800008",Sadikpur,25.604381099999998,85.2171838,ChIJAQAAAIRf7TkR6dLvuf-XAr4,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAIRf7TkR6dLvuf-XAr4,part_381,2026-09-20 20:24:27
Sameer Digital Marketing Consultant,SEO Agencies,Marketing consultant,"Marketing consultant, Market researcher, Marketing agency",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 70507 02700,https://sameer-digital-marketing.grexa.site/,4.9,,"Dammar bigha, hargawan, Bihar Sharif, Bihar 803216",814131,25.1330088,85.5615406,ChIJMWHo58318jkROwIaZigxb7w,https://www.google.com/maps/place/?q=place_id:ChIJMWHo58318jkROwIaZigxb7w,part_381,2026-09-20 20:24:27
SYNSTEK,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Marketing consultant, Web hosting company, Website designer",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 76545 13033,N/A,4.5,,"SYNSTEK, 814131, India",814131,40.266869,-47.802320699999996,ChIJr3x0l2BZ7TkRqmmoTZU1gp8,https://www.google.com/maps/place/?q=place_id:ChIJr3x0l2BZ7TkRqmmoTZU1gp8,part_381,2026-09-20 20:24:27
Digital Solutions Guru,SEO Agencies,Advertising agency,"Advertising agency, Service establishment, Graphic designer, Website designer",814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO",+91 85211 25443,N/A,5.0,,"Digital Solutions Guru, 814131, India",814131,25.194117499999997,85.504205,ChIJVVtTmSMkcCYRvRCEZrT-9ds,https://www.google.com/maps/place/?q=place_id:ChIJVVtTmSMkcCYRvRCEZrT-9ds,part_381,2026-09-20 20:24:27
