business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"DC Office, Godda",HR Planning and Recruitment,Government office,Government office,814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",N/A,N/A,4.3,97.0,"Dharmudih, Jharkhand 814133",814133,24.781336699999997,87.20716259999999,ChIJVR3db4Tz8DkRo77sClxtDbE,https://www.google.com/maps/place/?q=place_id:ChIJVR3db4Tz8DkRo77sClxtDbE,part_381,2026-09-20 20:25:05
West Human Resources Consultancy Ltd,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Business to business service, Service establishment",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",01949 500949,http://www.westhr.co.uk/,5.0,10.0,"West Human Resources Consultancy Ltd, 814133, India",814133,47.73855,12.508827499999999,ChIJB9E3_vjNeUgR37kd4u8ZAnA,https://www.google.com/maps/place/?q=place_id:ChIJB9E3_vjNeUgR37kd4u8ZAnA,part_381,2026-09-20 20:25:05
People Vision HR,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Service establishment, Training provider",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",N/A,https://www.pvhr.com/,5.0,62.0,"People Vision HR, 814133, India",814133,51.379550599999995,-0.457665,ChIJST5sCc7fdUgRFmmdWLkvQm0,https://www.google.com/maps/place/?q=place_id:ChIJST5sCc7fdUgRFmmdWLkvQm0,part_381,2026-09-20 20:25:05
Human Resource USA,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Service establishment",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",N/A,https://www.thehumanresourceusa.com/?utm_source=GMBlisting&utm_medium=organic,4.0,1.0,"Human Resource USA, 814133, India",814133,46.423669,-129.9427086,ChIJPcP3rnFQQIgRkUjWSx2_FX0,https://www.google.com/maps/place/?q=place_id:ChIJPcP3rnFQQIgRkUjWSx2_FX0,part_381,2026-09-20 20:25:05
THE INTERNATIONAL JOURNAL OF BUSINESS MANAGEMENT AND TECHNOLOGY,HR Planning and Recruitment,Publisher,Publisher,814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",N/A,http://www.theijbmt.com/,,,"KH186/G-2/4, Mukand Pur, Extn, Part 2, Delhi, Jharkhand 814133","Mukand Pur, Extn, Part 2",24.823673499999998,87.2119721,ChIJx7Qdkcr18DkR82odqwUSapw,https://www.google.com/maps/place/?q=place_id:ChIJx7Qdkcr18DkR82odqwUSapw,part_381,2026-09-20 20:25:05
KAAFS HR CONSULTING,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Service establishment",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",+91 93442 57758,https://kaafshr.com/,5.0,83.0,"KAAFS HR CONSULTING, 814133, India",814133,13.105959499999999,80.0969374,ChIJTeM6OaSp-Q0R7B1eisFwgv8,https://www.google.com/maps/place/?q=place_id:ChIJTeM6OaSp-Q0R7B1eisFwgv8,part_381,2026-09-20 20:25:05
Human resource,HR Planning and Recruitment,BPO Placement Agency,"BPO Placement Agency, Service establishment",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",N/A,https://www.swiftplacements.com/,,,"Human resource, 814133, India",814133,21.0680074,82.7525294,ChIJOWv7D1-_7EYROxEAZ0pCQLE,https://www.google.com/maps/place/?q=place_id:ChIJOWv7D1-_7EYROxEAZ0pCQLE,part_381,2026-09-20 20:25:06
HummingSun,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Service establishment, Business management consultant, Software company",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",+91 60067 43501,http://www.hummingsun.co.in/,5.0,9.0,"HummingSun, 814133, India",814133,14.157641199999999,-71.6028869,ChIJQa_tamEjDTkRG9-hFXWF9tA,https://www.google.com/maps/place/?q=place_id:ChIJQa_tamEjDTkRG9-hFXWF9tA,part_381,2026-09-20 20:25:06
Jharrojgar,HR Planning and Recruitment,Employment agency,"Employment agency, Unemployment office",814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",+91 72099 86943,https://jharrojgar.com/,4.7,73.0,"Shop No. F2-01, 2nd Floor, Aambagan Rd, SNP Area, Sakchi, Jamshedpur, Jharkhand 831001","SNP Area, Sakchi",22.806402,86.2035468,ChIJlQf7T9Dj9TkRnHXgbfZB53I,https://www.google.com/maps/place/?q=place_id:ChIJlQf7T9Dj9TkRnHXgbfZB53I,part_381,2026-09-20 20:25:06
Adani Power Plant,HR Planning and Recruitment,Power station,Power station,814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO",+91 79 2656 5555,https://www.adanipower.com/operational-power-plants,4.0,198.0,"Godda, Jharkhand 814133",814133,24.8176469,87.1360681,ChIJ8-7OyoT28DkRucxVnUah4Cc,https://www.google.com/maps/place/?q=place_id:ChIJ8-7OyoT28DkRucxVnUah4Cc,part_381,2026-09-20 20:25:06
