business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pharmax Speciality Care - Fair Price Medicine Shop,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 98312 22018,N/A,,,"Sadar Hospital Ground, Sabuj Palli, Suri, West Bengal 731101",Sabuj Palli,23.9155195,87.51771409999999,ChIJ58aCm_RZ9zkRmbIuck7S8_0,https://www.google.com/maps/place/?q=place_id:ChIJ58aCm_RZ9zkRmbIuck7S8_0,part_381,2026-09-20 20:27:45
PURE PHARMACY,24 Hour Pharmacy,Pharmacy,"Pharmacy, Dermatologist, Gynecologist, Medical Center, Pain management physician",814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 87774 97859,N/A,5.0,29.0,"SALDAHA MORE, MD BAZAR Suri-sainthia Road, KALITALA, West Bengal 731127",KALITALA,23.9829313,87.5751094,ChIJAbyqmtr9-TkRSoUELNqMT4Q,https://www.google.com/maps/place/?q=place_id:ChIJAbyqmtr9-TkRSoUELNqMT4Q,part_381,2026-09-20 20:27:45
Nimi Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 89062 75702,N/A,5.0,,"QJM4+JVF, dharamtala, Panrui, West Bengal 731121",814144,23.7840618,87.60717079999999,ChIJVYSdW9rg-TkR5eSxHJwPv6U,https://www.google.com/maps/place/?q=place_id:ChIJVYSdW9rg-TkR5eSxHJwPv6U,part_381,2026-09-20 20:27:46
Piu Pharmacy,24 Hour Pharmacy,Pharmacy,"Pharmacy, Medical clinic",814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,4.2,,"W8V8+WRM, Rajnagar, West Bengal 731130",814144,23.944829499999997,87.31704839999999,ChIJvwyIeUNP9zkRZbI_5O18RpA,https://www.google.com/maps/place/?q=place_id:ChIJvwyIeUNP9zkRZbI_5O18RpA,part_381,2026-09-20 20:27:46
Health care pharmacy,24 Hour Pharmacy,Medical Center,Medical Center,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,4.0,,"MG8P+RG4, Deeha, Uttar Pradesh 230201",814144,25.667020599999997,81.5363297,ChIJFRoZDgDZmjkRs-TpvuHBSYM,https://www.google.com/maps/place/?q=place_id:ChIJFRoZDgDZmjkRs-TpvuHBSYM,part_381,2026-09-20 20:27:46
MAA PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,5.0,,"JF9W+HG6, Subeha, Uttar Pradesh 225124",814144,26.6191018,81.49676149999999,ChIJ4fmaTwDLmzkRnyHyqrluVz0,https://www.google.com/maps/place/?q=place_id:ChIJ4fmaTwDLmzkRnyHyqrluVz0,part_381,2026-09-20 20:27:46
CARE MEDICAL STORE Kunda Pratapgarh,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 70070 33470,N/A,4.7,,"Saryu nagar, Kunda - Pratapgarh Rd, Sarju Nagar, Kunda, Uttar Pradesh 230204",Sarju Nagar,25.7205414,81.5117138,ChIJn0lgw8TfmjkRidN7SsJCWRg,https://www.google.com/maps/place/?q=place_id:ChIJn0lgw8TfmjkRidN7SsJCWRg,part_381,2026-09-20 20:27:46
Sonali Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 70768 52358,N/A,4.8,,"QH63+CWF, Golapbag, West Bengal 731121",814144,23.7610237,87.55484679999999,ChIJlfzetcvh-TkRj4s3kTu0P8M,https://www.google.com/maps/place/?q=place_id:ChIJlfzetcvh-TkRj4s3kTu0P8M,part_381,2026-09-20 20:27:46
R.D MEDICAL STORE,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 79850 67466,N/A,4.8,,"Grand Trunk Rd, Chakwaan Churaha, Uttar Pradesh 212201",Chakwaan Churaha,25.587386,81.4902489,ChIJ5eecLO4pmzkRwvUbwBdBzJk,https://www.google.com/maps/place/?q=place_id:ChIJ5eecLO4pmzkRwvUbwBdBzJk,part_381,2026-09-20 20:27:46
Ahmedpur 1mg store,24 Hour Pharmacy,Pharmacy,"Pharmacy, Medical Center",814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,4.0,,"Ahmedpur, Chotoline Para, Ahamdpur, West Bengal 731201",Chotoline Para,23.832764299999997,87.6953202,ChIJwcEHai7n-TkRZn9BKRIp17E,https://www.google.com/maps/place/?q=place_id:ChIJwcEHai7n-TkRZn9BKRIp17E,part_381,2026-09-20 20:27:46
PharmEasy Medical Store & Lab Tests -Dhanishta Pharmaceuticals,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 70070 53986,https://pharmeasy.in/franchise-stores?utm_source=google&utm_medium=gmb&utm_campaign=franchise-stores,5.0,,"Plot 17 EA, Shopping, 1 Block, ADA Rd, MIG 2, Naini, Prayagraj, Cheonki, Uttar Pradesh 211008","MIG 2, Naini",25.384266399999998,81.8751095,ChIJg2cUwxBLhTkRtQjPhLpb8_A,https://www.google.com/maps/place/?q=place_id:ChIJg2cUwxBLhTkRtQjPhLpb8_A,part_381,2026-09-20 20:27:46
PARBATI MEDICAL HALL,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,5.0,5.0,"Angar Garia - Sekeddaha Rd, Angar Garia, Puranagram, West Bengal 731132",814144,24.006366699999997,87.6182204,ChIJ1Yco2K79-TkRxo5dakMJ4mo,https://www.google.com/maps/place/?q=place_id:ChIJ1Yco2K79-TkRxo5dakMJ4mo,part_381,2026-09-20 20:27:47
M G R Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 78722 23901,N/A,,,"Bara Gunsima, West Bengal 731124",814144,23.7534782,87.4898894,ChIJ8SQ8XiVe9zkRgejWa1s2nKI,https://www.google.com/maps/place/?q=place_id:ChIJ8SQ8XiVe9zkRgejWa1s2nKI,part_381,2026-09-20 20:27:47
Biswarup pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 83678 18497,N/A,5.0,1.0,"Khayrasole, West Bengal 731125",814144,23.7871995,87.26564719999999,ChIJe3pNfOxB9zkRbRpmuGjsoc8,https://www.google.com/maps/place/?q=place_id:ChIJe3pNfOxB9zkRbRpmuGjsoc8,part_381,2026-09-20 20:27:47
Suri Sadar Hospital Fair Price Medicine Shop,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 3462 259 249,N/A,4.1,18.0,"WG89+35J, Sabuj Palli, Suri, West Bengal 731103",Sabuj Palli,23.9152225,87.5178945,ChIJC0eWej5Y9zkRAU4o4UVUYc4,https://www.google.com/maps/place/?q=place_id:ChIJC0eWej5Y9zkRAU4o4UVUYc4,part_381,2026-09-20 20:27:47
Swastic Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,5.0,1.0,"WG5F+JWR, Dangalpara Rd, Suri, West Bengal 731101",814144,23.909108999999997,87.5247665,ChIJtx-Bp2xY9zkRxZ-GqnKccU4,https://www.google.com/maps/place/?q=place_id:ChIJtx-Bp2xY9zkRxZ-GqnKccU4,part_381,2026-09-20 20:27:47
HEALTHY CHOICE PHARMACY,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Medical Center",814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 81302 46428,https://www.drgargshealthcare.com/index.php,4.9,77.0,"Roza Yakubpur, Greater Noida, Uttar Pradesh 201305",Roza Yakubpur,28.6047917,77.4563513,ChIJKyqSchHvDDkRydr5qUdxGYs,https://www.google.com/maps/place/?q=place_id:ChIJKyqSchHvDDkRydr5qUdxGYs,part_381,2026-09-20 20:27:47
24hrs Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,3.0,2.0,"27W8+6JQ, Royapettah High Rd Flyover, Jagadambal Colony, Krishnapuram, Royapettah, Chennai, Tamil Nadu 600004","Jagadambal Colony, Krishnapuram, Royapettah",13.045591,80.2666172,ChIJmXhKzy9mUjoRaK2t1_HQV-4,https://www.google.com/maps/place/?q=place_id:ChIJmXhKzy9mUjoRaK2t1_HQV-4,part_381,2026-09-20 20:27:47
24 Hrs Pharmacy,24 Hour Pharmacy,Hospital,Hospital,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",N/A,N/A,1.0,2.0,"Old No AA-10, Bus Stop, AA - 85, 2nd Ave, near Roundtana, Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040","Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar",13.0845007,80.21601969999999,ChIJ_coCjbZlUjoRxFMa_9pkOLE,https://www.google.com/maps/place/?q=place_id:ChIJ_coCjbZlUjoRxFMa_9pkOLE,part_381,2026-09-20 20:27:47
S K Pharma,24 Hour Pharmacy,Pharmacy,Pharmacy,814144,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bagnal BO, Banskuli BO, Bilkandi BO",+91 33 2416 5264,N/A,4.1,105.0,"KMC Premises Number -142/1 142 Santoshpur Avenue Survey Park, 1, Santoshpur Ave, Adipally, Santoshpur, Kolkata, West Bengal 700075","Adipally, Santoshpur",22.4925322,88.3876128,ChIJMQU5_WlxAjoRG--dwkL_5tI,https://www.google.com/maps/place/?q=place_id:ChIJMQU5_WlxAjoRG--dwkL_5tI,part_381,2026-09-20 20:27:47
