business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ajij digital services,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,5.0,11.0,"5WGJ+GXW, Angbali, Jharkhand 814146",814146,24.1763697,86.93244469999999,ChIJMdJJcADV8DkR9Q93iKm6XUU,https://www.google.com/maps/place/?q=place_id:ChIJMdJJcADV8DkR9Q93iKm6XUU,part_381,2026-09-20 20:29:42
Sabina Digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 99398 50965,N/A,4.4,14.0,"near Masjid, Shekhar Nawadih, Jharkhand 814146",814146,24.2228711,86.9618151,ChIJn3iKZcTX8DkR395NNHOfPR4,https://www.google.com/maps/place/?q=place_id:ChIJn3iKZcTX8DkR395NNHOfPR4,part_381,2026-09-20 20:29:42
RANA DIGITAL 💻🖥️,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,5.0,7.0,"Bara Chandna, Jharkhand 814146",814146,24.1840776,87.03996099999999,ChIJVb2ghDvT8DkRa-NF6P4_iZQ,https://www.google.com/maps/place/?q=place_id:ChIJVb2ghDvT8DkRa-NF6P4_iZQ,part_381,2026-09-20 20:29:42
Nandani Digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 62043 63057,N/A,4.5,2.0,"Beignathpur Palojori, Dumka - Jamtara Rd, Dhanbad, Jharkhand 814146",814146,24.222490999999998,86.9913557,ChIJ6zlSK8XR8DkRjsqgx3zcsWw,https://www.google.com/maps/place/?q=place_id:ChIJ6zlSK8XR8DkRjsqgx3zcsWw,part_381,2026-09-20 20:29:42
Shekhar Digital studio and csc center AMLACHATAR,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,5.0,2.0,"Dumka - Jamtara Rd, Amla Chatar, Dumka, Jharkhand 814167",814146,24.2564569,87.1936281,ChIJvxrEjyXJ8DkR0SOzEehL-1A,https://www.google.com/maps/place/?q=place_id:ChIJvxrEjyXJ8DkR0SOzEehL-1A,part_381,2026-09-20 20:29:42
Ankush Digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 70612 05044,N/A,5.0,1.0,"Jargari, Jharkhand 814146",814146,24.194722,87.02447529999999,ChIJFcm6yJnT8DkRTXyxNEbp4wU,https://www.google.com/maps/place/?q=place_id:ChIJFcm6yJnT8DkRTXyxNEbp4wU,part_381,2026-09-20 20:29:42
Amit Digital Seva Centre Sagrubad ( Kunjora ),Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,5.0,2.0,"3WQG+VFH, Kunjora, Rangamatiya, Jharkhand 814146",814146,24.0896993,86.9262428,ChIJEx_HUQAr9zkRX2aRrfb1lVs,https://www.google.com/maps/place/?q=place_id:ChIJEx_HUQAr9zkRX2aRrfb1lVs,part_381,2026-09-20 20:29:42
Munna digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 99051 43341,N/A,5.0,4.0,"6X4G+JQ, Dhawadangal, Patanpur, Jharkhand 814146",814146,24.2071345,86.9771021,ChIJLRlmmTjV8DkRmyRYaJu4geU,https://www.google.com/maps/place/?q=place_id:ChIJLRlmmTjV8DkRmyRYaJu4geU,part_381,2026-09-20 20:29:42
SHAWAB DIGITAL CENTRE,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,,,"BARA DUMRIA, MASALIA, Jharkhand 814146",814146,24.1885667,86.9849308,ChIJhUVMPADT8DkRIyxSyy0bclY,https://www.google.com/maps/place/?q=place_id:ChIJhUVMPADT8DkRIyxSyy0bclY,part_381,2026-09-20 20:29:42
Jaher Aayo Digital Studio,Internet Cafe,Internet cafe,"Internet cafe, ATM, Bank, Electronics repair shop, Life insurance agency",814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 72502 35042,https://www.facebook.com/profile.php?id=100090661879382&mibextid=ZbWKwL,4.0,1.0,"Bankata, Jharkhand 814166",814146,24.1229651,87.0680059,ChIJPUIXU-PN8DkREL7WTctxBIQ,https://www.google.com/maps/place/?q=place_id:ChIJPUIXU-PN8DkREL7WTctxBIQ,part_381,2026-09-20 20:29:42
YouTuber,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,https://youtube.com/@mrrccreator?si=Tmx81ZNANNp6DjHi,,,"Vill Paharudih, Post, Palojori, Sagarbhanga, Sarath, Jharkhand 814146",Palojori,24.1335984,86.89921989999999,ChIJjRxSyior8TkRtegH3n0rR8U,https://www.google.com/maps/place/?q=place_id:ChIJjRxSyior8TkRtegH3n0rR8U,part_381,2026-09-20 20:29:42
Diksha Digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,N/A,4.2,10.0,"62R6+W4M, Block road palojori near Allahbad Bank, Jharkhand 814146",814146,24.2423269,87.0103113,ChIJY3l9_JzR8DkRWUhP4hEnpjw,https://www.google.com/maps/place/?q=place_id:ChIJY3l9_JzR8DkRWUhP4hEnpjw,part_381,2026-09-20 20:29:42
Shaziya Online Digital,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 87891 26787,N/A,,,"Near, Dumka Road, near Palojori, Nawadih, Dumka, Jharkhand 814146",814146,24.2399761,87.0080729,ChIJ1yeQCMXR8DkRYAcgvvmCbI4,https://www.google.com/maps/place/?q=place_id:ChIJ1yeQCMXR8DkRYAcgvvmCbI4,part_381,2026-09-20 20:29:42
Rupak Online CSC Centre Gowasol,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 62992 01875,N/A,4.9,,"449P+95P, Unnamed Road, Goasol, Jharkhand 814167",814146,24.1184744,87.1354602,ChIJ24KbbnTN8DkRuLa9C0yXqe4,https://www.google.com/maps/place/?q=place_id:ChIJ24KbbnTN8DkRuLa9C0yXqe4,part_381,2026-09-20 20:29:43
AK INTERNET CAFE,Internet Cafe,Computer store,Computer store,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 72589 47787,N/A,5.0,,"ABDUL QUADIR KHAN Palojori, Dumka - Jamtara Rd, Chitramore, Dhanbad, Jharkhand 826001",Chitramore,24.142360399999998,86.91086539999999,ChIJbeIyH3TV8DkRJblOzPNVKBo,https://www.google.com/maps/place/?q=place_id:ChIJbeIyH3TV8DkRJblOzPNVKBo,part_381,2026-09-20 20:29:44
Guru Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 95237 27725,N/A,5.0,,"Paro, Jharkhand 814146",814146,24.232934699999998,86.9389758,ChIJ5frQtWDX8DkRNjUPSBuOK0A,https://www.google.com/maps/place/?q=place_id:ChIJ5frQtWDX8DkRNjUPSBuOK0A,part_381,2026-09-20 20:29:44
Sarna Digital Cafe,Internet Cafe,Internet cafe,"Internet cafe, General store",814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",+91 82521 27089,N/A,,,"Road, near Pani Tanki, Nawasar, Kairabani, Jharkhand 814146",814146,24.192357299999998,87.0986999,ChIJlQ2SmGDN8DkRZ9Wuf-cIPvI,https://www.google.com/maps/place/?q=place_id:ChIJlQ2SmGDN8DkRZ9Wuf-cIPvI,part_381,2026-09-20 20:29:44
Roy Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,814146,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ajnaridudhani BO, Asna BO, Baijnathpur BO",N/A,http://raajabhardwaj.com/,,,"Bishanpur, opposite of Maa Kali Temple, Palojori, Bisunpur, Jharkhand 814146",814146,24.1310388,86.9293161,ChIJG0Ab6wLV8DkRYafClTz1x74,https://www.google.com/maps/place/?q=place_id:ChIJG0Ab6wLV8DkRYafClTz1x74,part_381,2026-09-20 20:29:44
