business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Khadi Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 90601 80000,N/A,3.4,,"6929+C46, Godda, Jharkhand 814160",814147,25.2010439,87.3677792,ChIJ0THSnZBt8DkRI8ozEp4fB5M,https://www.google.com/maps/place/?q=place_id:ChIJ0THSnZBt8DkRI8ozEp4fB5M,part_381,2026-09-20 20:30:05
Sudh Khadi Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 87090 31925,N/A,5.0,1.0,"Mahavir Mandir, Medininagar, Jharkhand 822101",Daltenganj,24.041738499999997,84.05991619999999,ChIJn_bz8ot3jDkRGN0Exm-Zwpg,https://www.google.com/maps/place/?q=place_id:ChIJn_bz8ot3jDkRGN0Exm-Zwpg,part_381,2026-09-20 20:30:07
Khadi India (Khadi Gramodyog Bhandar),Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 76542 44928,N/A,3.3,21.0,"Sree Leathers Line, near Bhola Mahraj, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.8043409,86.204534,ChIJca56dQ_j9TkRAQdVKY2kNvs,https://www.google.com/maps/place/?q=place_id:ChIJca56dQ_j9TkRAQdVKY2kNvs,part_381,2026-09-20 20:30:07
Khadi Gramodyog Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 95763 59298,N/A,3.8,46.0,"Near, Shop No. S -106, Indira Palace, Hinoo Chowk, Hinoo, Ranchi, Jharkhand 834002","Old AG Colony, Hinoo",23.329026,85.31604,ChIJq-wgi8zh9DkR9QWJVp6nb9I,https://www.google.com/maps/place/?q=place_id:ChIJq-wgi8zh9DkR9QWJVp6nb9I,part_381,2026-09-20 20:30:07
Rahman Khadi Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",N/A,N/A,4.7,9.0,"Shop no-2, Vidhayak Awas, Vidhansabha Rd, inside old, Russian Hostel Colony, Ranchi, Jharkhand 834004",Russian Hostel Colony,23.3183509,85.3021484,ChIJs-UY9wDh9DkRFCuxta1z3ls,https://www.google.com/maps/place/?q=place_id:ChIJs-UY9wDh9DkRFCuxta1z3ls,part_381,2026-09-20 20:30:07
National Handloom,Handloom and Khadi Store,Clothing store,Clothing store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 99057 28139,N/A,,,"Khadi Mela, C 15, Morabadi, Ranchi, Jharkhand 834006",Morabadi,23.413112299999998,85.34600259999999,ChIJZwDdzuLn9DkR26diiT9t0Ws,https://www.google.com/maps/place/?q=place_id:ChIJZwDdzuLn9DkR26diiT9t0Ws,part_381,2026-09-20 20:30:07
Hamid Handloom,Handloom and Khadi Store,Clothing wholesaler,Clothing wholesaler,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 82714 72443,N/A,4.0,5.0,"Khanka Road, Gawaltoli Rd, Chatra, Jharkhand 825401",814147,24.2005607,84.8714413,ChIJCUZTs8ytjDkRb5IXpyAXPY8,https://www.google.com/maps/place/?q=place_id:ChIJCUZTs8ytjDkRb5IXpyAXPY8,part_381,2026-09-20 20:30:07
KOSHI HANDLOOM,Handloom and Khadi Store,Clothing wholesale market place,"Clothing wholesale market place, Women's clothing store",814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",N/A,N/A,4.1,44.0,"Kapra Patti Rd, Bengali Bazar, Shardha Nagar, Saharsa, Bihar 852201","Bengali Bazar, Shardha Nagar",25.875470099999998,86.59206069999999,ChIJIdX4uZE97jkRi9OoJisYrE4,https://www.google.com/maps/place/?q=place_id:ChIJIdX4uZE97jkRi9OoJisYrE4,part_381,2026-09-20 20:30:07
Handloom House,Handloom and Khadi Store,Window treatment store,Window treatment store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 99340 17285,N/A,4.9,66.0,"Seeta Complex, Motijheel Rd, in front of Raymond Showroom, Mahammadpur Kazi, Sutapatti, Pokhraira, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Sutapatti, Pokhraira",26.1193599,85.39010499999999,ChIJF0zIOfoQ7TkRBA7QQmX3GEI,https://www.google.com/maps/place/?q=place_id:ChIJF0zIOfoQ7TkRBA7QQmX3GEI,part_381,2026-09-20 20:30:07
RANCHI HANDLOOM,Handloom and Khadi Store,Mattress store,Mattress store,814147,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathergama SO, Bandanbar BO, Barmasiya BO",+91 79030 56107,N/A,5.0,2.0,"near bharat petrol pump, Kokar, Ranchi, Jharkhand 834001",Kokar,23.3793374,85.36262889999999,ChIJ-Yu8xsHh9DkRUO1q7ZP3dIA,https://www.google.com/maps/place/?q=place_id:ChIJ-Yu8xsHh9DkRUO1q7ZP3dIA,part_381,2026-09-20 20:30:07
