business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Atul Bodybuilder Shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",+91 87893 56172,N/A,,,"4328+QXW, Koilabhasa, Jharkhand 814166",814166,24.1019999,87.06745839999999,ChIJvVgEMgAz9zkRZhPm8STJcQE,https://www.google.com/maps/place/?q=place_id:ChIJvVgEMgAz9zkRZhPm8STJcQE,part_381,2026-09-20 20:40:44
Bidhan Chandra Paul,Patisserie,Cake shop,Cake shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",+91 99737 62936,N/A,,,"2XVHDumariya, Mejhia, Dumaria, Jharkhand 815351",2XVHDumariya,24.0427346,86.9779143,ChIJtUugRlEr9zkRKKnmRdtihZQ,https://www.google.com/maps/place/?q=place_id:ChIJtUugRlEr9zkRKKnmRdtihZQ,part_381,2026-09-20 20:40:44
Jamtara,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",N/A,N/A,,,"5WCM+HPF, Raghunathpur, Jharkhand 814146",814166,24.171609,86.934698,ChIJ8YtfZADV8DkRB8gIxB_-XgA,https://www.google.com/maps/place/?q=place_id:ChIJ8YtfZADV8DkRB8gIxB_-XgA,part_381,2026-09-20 20:40:44
Safaul mamzil,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",N/A,N/A,,,"7X29+CF7, Ghiyamo, Jharkhand 814146",814166,24.251048599999997,86.96866589999999,ChIJvzP6BgDX8DkRLGzQl6hfrBk,https://www.google.com/maps/place/?q=place_id:ChIJvzP6BgDX8DkRLGzQl6hfrBk,part_381,2026-09-20 20:40:44
Tajuddin KGN Sotry,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",+91 77629 77167,N/A,,,"Tajuddinansari, Dubrajpur, Moranga, Jharkhand 814146",Tajuddinansari,24.20232,86.9659874,ChIJVT2ICq7V8DkRE7_kVnn4BxI,https://www.google.com/maps/place/?q=place_id:ChIJVT2ICq7V8DkRE7_kVnn4BxI,part_381,2026-09-20 20:40:44
INDIA BAKERY,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",N/A,N/A,,,"62Q6+MQM, Dumka - Jamtara Rd, Palajori, Nawadih, Jharkhand 814146",814166,24.2392242,87.011927,ChIJ_XtjAxLR8DkRZadRsDbA1VI,https://www.google.com/maps/place/?q=place_id:ChIJ_XtjAxLR8DkRZadRsDbA1VI,part_381,2026-09-20 20:40:44
Murgabani,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",N/A,N/A,,,"2XG9+7J5, Sunderpur Government Primary Hospital Rd, Babudi, Jharkhand 815351",814166,24.02565,86.96911999999999,ChIJ9epRGQAr9zkRvaecQv6xPJ4,https://www.google.com/maps/place/?q=place_id:ChIJ9epRGQAr9zkRvaecQv6xPJ4,part_381,2026-09-20 20:40:44
Sahid ansari,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",N/A,N/A,,,"5WMV+W48, Baramsoli, Jharkhand 814146",814166,24.185925899999997,86.9430479,ChIJ-wPtQwDV8DkRXF1HdaQDUTc,https://www.google.com/maps/place/?q=place_id:ChIJ-wPtQwDV8DkRXF1HdaQDUTc,part_381,2026-09-20 20:40:44
Luv Bites Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",+91 92639 43515,N/A,4.2,13.0,"Styp road, near Shalimar sweets, Housing Colony, Adityapur, Jamshedpur, Jharkhand 831013","Housing Colony, Adityapur",22.7884825,86.158914,ChIJP1whPD3l9TkR0i7TinqagUY,https://www.google.com/maps/place/?q=place_id:ChIJP1whPD3l9TkR0i7TinqagUY,part_381,2026-09-20 20:40:45
Haridas Misti Bhandar,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,814166,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Fatehpur SO Jamtara, Babanbandhi BO, Dhasania BO",+91 80849 91053,N/A,1.0,,"Gaiswara, Nagari, Deoghar, Jharkhand 815359",Gaiswara,23.998276399999998,87.11721539999999,ChIJVRWBHlkx9zkRKlk5q0KBexA,https://www.google.com/maps/place/?q=place_id:ChIJVRWBHlkx9zkRKlk5q0KBexA,part_381,2026-09-20 20:40:45
