business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sourav Cycle Tyer,Bicycle Shop and Repair,Shopping mall,Shopping mall,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 89360 69505,N/A,4.6,7.0,"Buxidih Rd, Buxidih, Giridih, Jharkhand 815301",Buxidih,24.1850477,86.30802949999999,ChIJTX5QcCVU8TkR2mvhtsNAfXE,https://www.google.com/maps/place/?q=place_id:ChIJTX5QcCVU8TkR2mvhtsNAfXE,part_381,2026-09-20 20:42:26
Govind cycle store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 70046 91495,N/A,3.0,2.0,"58P4+FJ3, Chandauri Rd, Buxidih, Giridih, Jharkhand 815301",Buxidih,24.1861398,86.3065625,ChIJJ7-GB91V8TkRvCKmECO_Ecg,https://www.google.com/maps/place/?q=place_id:ChIJJ7-GB91V8TkRvCKmECO_Ecg,part_381,2026-09-20 20:42:26
Castrol Bike Point - Ms Bike House,Bicycle Shop and Repair,Motorcycle parts store,"Motorcycle parts store, Bike wash, Car repair and maintenance service, Oil change service, Repair service",815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 98832 03362,https://www.castrol.com/en_in/india/home/services/bike-point.html/?utm_source=locator&utm_medium=brand_website,4.5,11.0,"Doctors Ln, New Barganda, Giridih, Jharkhand 815301",New Barganda,24.1867886,86.30718,ChIJNztPpXBV8TkRJyOORt-RpBQ,https://www.google.com/maps/place/?q=place_id:ChIJNztPpXBV8TkRJyOORt-RpBQ,part_381,2026-09-20 20:42:26
Bike Corner,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 85219 13885,http://www.bike.com/,3.4,7.0,"Dumri, Road, Kuldiha, Giridih, Jharkhand 815301",Kuldiha,24.1751744,86.2939066,ChIJW3Ikb2JV8TkRlCsKW7EB-JU,https://www.google.com/maps/place/?q=place_id:ChIJW3Ikb2JV8TkRlCsKW7EB-JU,part_381,2026-09-20 20:42:26
Bike doctor,Bicycle Shop and Repair,Auto tune up service,Auto tune up service,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 87890 13032,N/A,5.0,2.0,"near Saba Ahmad Clinic, opposite to Bishops church, Alkapuri, Giridih, Jharkhand 815316",Alkapuri,24.2003903,86.2740129,ChIJF3Me891X8TkRrYrB-Lr4v-o,https://www.google.com/maps/place/?q=place_id:ChIJF3Me891X8TkRrYrB-Lr4v-o,part_381,2026-09-20 20:42:26
Laheri Cycle House,Bicycle Shop and Repair,Bicycle wholesaler,Bicycle wholesaler,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",N/A,N/A,4.8,16.0,"NH 114A, Kuldiha, Giridih, Jharkhand 815301",Kuldiha,24.180119299999998,86.30014779999999,ChIJH2wSTjJU8TkRzkn4WB8FCbQ,https://www.google.com/maps/place/?q=place_id:ChIJH2wSTjJU8TkRzkn4WB8FCbQ,part_381,2026-09-20 20:42:26
Bihar Cycle Store,Bicycle Shop and Repair,Auto repair shop,"Auto repair shop, Bicycle wholesaler",815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 82980 28152,N/A,,,"near Jama Masjid, Bhandaridih, Giridih, Jharkhand 815301",Bhandaridih,24.1899931,86.2956329,ChIJmRmbS9tV8TkRFU5rBwcqE1I,https://www.google.com/maps/place/?q=place_id:ChIJmRmbS9tV8TkRFU5rBwcqE1I,part_381,2026-09-20 20:42:26
MAA MATHURASINI BIKE CENTRE,Bicycle Shop and Repair,Motorcycle parts store,Motorcycle parts store,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 91109 36639,N/A,5.0,7.0,"near Balti Factory, in front of Riya Medical, Barwadih, Giridih, Jharkhand 815301",Barwadih,24.172410499999998,86.3160582,ChIJpch7vFpV8TkR00jKY8Aj8wI,https://www.google.com/maps/place/?q=place_id:ChIJpch7vFpV8TkR00jKY8Aj8wI,part_381,2026-09-20 20:42:26
Castrol Bike Point - Rajeev Traders,Bicycle Shop and Repair,Motorcycle parts store,"Motorcycle parts store, Bike wash, Car repair and maintenance service, Oil change service, Repair service",815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",+91 98357 05200,https://www.castrol.com/en_in/india/home/services/bike-point.html/?utm_source=locator&utm_medium=brand_website,,,"Barwadih, Station Rd, behind JS Auto, Giridih, Jharkhand 815301",815301,24.1822509,86.3111424,ChIJ_0WGE8tV8TkR4x3p-awgs40,https://www.google.com/maps/place/?q=place_id:ChIJ_0WGE8tV8TkR4x3p-awgs40,part_381,2026-09-20 20:42:26
Baddhia giridih jharkhand,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,815301,Jharkhand Circle,Ranchi Region,Giridih Division,"Giridih HO, Barganda SO, Giridih Bazar SO",N/A,N/A,3.0,4.0,"5756+PGC, Baddiha, Belatanr, Jharkhand 825108",815301,24.1593084,86.2612699,ChIJpcOpeQBV8TkR7n1qZHP0fLo,https://www.google.com/maps/place/?q=place_id:ChIJpcOpeQBV8TkR7n1qZHP0fLo,part_381,2026-09-20 20:42:26
