business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raja plastic and furniture,Importers,Plastic Products Supplier,Plastic Products Supplier,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 82713 43776,N/A,2.0,,"Near the karbala road, Kodambari Rd, gridhi, Jam khokhoro, Jharkhand 815314",gridhi,24.455081999999997,86.05858359999999,ChIJcTbVVGLp8zkR_9pN_O-EVd0,https://www.google.com/maps/place/?q=place_id:ChIJcTbVVGLp8zkR_9pN_O-EVd0,part_381,2026-09-20 20:46:32
Helping Bikram,Importers,Office supply store,Office supply store,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 94303 03160,N/A,5.0,,"Kodambari Rd, Chiknadih, Khajmunda, Jharkhand 815314",815314,24.462958,86.0719062,ChIJT6z7qOnp8zkR2bOMOOcTbno,https://www.google.com/maps/place/?q=place_id:ChIJT6z7qOnp8zkR2bOMOOcTbno,part_381,2026-09-20 20:46:32
JANTA TRADERS,Importers,Cement Supplier,Cement Supplier,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 88093 98811,N/A,4.3,,"F6HQ+5C6, Purnabathan, Ghasidih, Jharkhand 815314",815314,24.4779019,86.238517,ChIJU6j2ZMHf8zkRhGnyKJAmoGo,https://www.google.com/maps/place/?q=place_id:ChIJU6j2ZMHf8zkRhGnyKJAmoGo,part_381,2026-09-20 20:46:32
Baba Kothari Traders,Importers,Wholesaler,"Wholesaler, Cement Supplier",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 95701 87979,N/A,5.0,,"House Number 12, Jamua - Deoghar Rd, Mirzaganj, Jagarnathdih, Jharkhand 815315",815314,24.3972075,86.16591299999999,ChIJdzbv-_fn8zkRqBa2cKPQF1s,https://www.google.com/maps/place/?q=place_id:ChIJdzbv-_fn8zkRqBa2cKPQF1s,part_381,2026-09-20 20:46:32
SURYA ENTERPRISES,Importers,Solar panel maintenance service,"Solar panel maintenance service, Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar hot water system supplier",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 88098 35793,N/A,5.0,,"AT POST KHARAGDIHA PS JAMUA DISTRICT GIRIDIH Giridh in Jharkhand 815301, Jharkhand 815314",815314,24.4251802,86.1678592,ChIJv9FOZCzn8zkRletpfqjz5rA,https://www.google.com/maps/place/?q=place_id:ChIJv9FOZCzn8zkRletpfqjz5rA,part_381,2026-09-20 20:46:32
Sandhya pari enterprises,Importers,Bearing supplier,Bearing supplier,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",N/A,N/A,,,"Jharkhand giridih jamua, Pobi, Mirzaganj, Jharkhand 815315",815314,24.388526799999998,86.17390429999999,ChIJzdgjvcXn8zkR7CVlm9cibq8,https://www.google.com/maps/place/?q=place_id:ChIJzdgjvcXn8zkR7CVlm9cibq8,part_381,2026-09-20 20:46:32
AZAD ENTERPRISES,Importers,Poultry farm,"Poultry farm, Cement Supplier",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 77838 28123,N/A,5.0,,"Amjo, Jharkhand 815314",815314,24.5075069,86.2759744,ChIJY3L5du9h8TkRxuQxwgiuakU,https://www.google.com/maps/place/?q=place_id:ChIJY3L5du9h8TkRxuQxwgiuakU,part_381,2026-09-20 20:46:32
Gangiya Enterprises,Importers,Cement Supplier,"Cement Supplier, Service establishment",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 82923 27117,https://gangiya-enterprises.github.io/gangiya-enterprises/,5.0,,"Gangiya Enterprises, 815314, India",815314,24.725759999999998,86.0418749,ChIJ3fhCsIyY5C4RuU-A1jiRzQM,https://www.google.com/maps/place/?q=place_id:ChIJ3fhCsIyY5C4RuU-A1jiRzQM,part_381,2026-09-20 20:46:32
POULTRY Feeds,Importers,Food broker,Food broker,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 90604 03177,N/A,,,"Maghakhurd, Jharkhand 815318",815314,24.3791263,86.1578059,ChIJCaVzbr3l8zkR6WJXzmDrB58,https://www.google.com/maps/place/?q=place_id:ChIJCaVzbr3l8zkR6WJXzmDrB58,part_381,2026-09-20 20:46:32
Tiwari cement center,Importers,Cement Supplier,Cement Supplier,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",N/A,N/A,3.0,,"Jalkhariodih, Jharkhand 815314",815314,24.460603,86.2094965,ChIJdULTY8Lh8zkRrBv825bX3p4,https://www.google.com/maps/place/?q=place_id:ChIJdULTY8Lh8zkRrBv825bX3p4,part_381,2026-09-20 20:46:32
