business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S R MEDICO,Spa,Medical spa,Medical spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 99112 78074,N/A,4.0,1.0,"S R MEDICO, Kodambari Rd, Sihodih, Jharkhand 815314",815314,24.450375299999997,86.0744249,ChIJZxo7HNPp8zkRPuR8O95cQCo,https://www.google.com/maps/place/?q=place_id:ChIJZxo7HNPp8zkRPuR8O95cQCo,part_381,2026-09-20 20:46:15
Murari Jents Parlar,Spa,Massage spa,Massage spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 96930 13027,N/A,,,"Shop No 9, Near Chatro Hat Gorav Harwere Of Side, Jharkhand 815312",815314,24.4696732,86.25379319999999,ChIJ6wJJZKDh8zkRWYPT-6i9yEM,https://www.google.com/maps/place/?q=place_id:ChIJ6wJJZKDh8zkRWYPT-6i9yEM,part_381,2026-09-20 20:46:15
Just relax spa and salon,Spa,Spa,Spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 62040 98900,N/A,4.7,12.0,"2nd floor, trends mall, redma, Ranchi road, opposite to Durga petrol pump redma, North Redma, Medininagar, Jharkhand 822101",North Redma,24.0365789,84.0769617,ChIJq-kU31B3jDkRbzTd474Mh68,https://www.google.com/maps/place/?q=place_id:ChIJq-kU31B3jDkRbzTd474Mh68,part_381,2026-09-20 20:46:15
Ciela Spa,Spa,Spa,Spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",N/A,https://www.cielaspa.in/,4.9,90.0,"S. 20/51, A-5, Hotel Surya, Kaiser Palace, The Mall Rd, Cantonment, Varanasi, Uttar Pradesh 221002",Cantonment,25.3386185,82.9798148,ChIJgU9uZrstjjkRbLHVuGDws7o,https://www.google.com/maps/place/?q=place_id:ChIJgU9uZrstjjkRbLHVuGDws7o,part_381,2026-09-20 20:46:15
Kiyomi The Spa By Ciela Spa,Spa,Spa,Spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",N/A,https://cielaspa.in/,4.9,36.0,"Assotech Business Cresterra, Sandal Suites, Operated by Lemon Tree Hotels, 22, Noida-Greater Noida Expy, INFOSPACE, Sector 135, Noida, Uttar Pradesh 201301","INFOSPACE, Sector 135",28.4956316,77.4024767,ChIJO8HVxWXpDDkR4hU8GFFrHbU,https://www.google.com/maps/place/?q=place_id:ChIJO8HVxWXpDDkR4hU8GFFrHbU,part_381,2026-09-20 20:46:15
Winsome Spa,Spa,Massage spa,Massage spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 77820 17111,N/A,4.1,61.0,"Panchratna Galaxy, 804, beside Nucleus Mall, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.377396899999997,85.3316325,ChIJyaQEjdfh9DkRjzy-tVX3fzk,https://www.google.com/maps/place/?q=place_id:ChIJyaQEjdfh9DkRjzy-tVX3fzk,part_381,2026-09-20 20:46:15
Jimmax spa,Spa,Massage spa,"Massage spa, Spa",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 62043 33476,http://www.jimmaxspa.com/,4.0,78.0,"G 07, ANMOL PLAZA, Beside Bank Of India, New Market Chowk, OPP. NIRVACHAN AYOG, Ratu Rd, Jharkhand 834001",Kumhartoli,23.378786299999998,85.3153662,ChIJTTgxbh7h9DkRBR8lhhvRULo,https://www.google.com/maps/place/?q=place_id:ChIJTTgxbh7h9DkRBR8lhhvRULo,part_381,2026-09-20 20:46:15
BLISS SPA,Spa,Spa,"Spa, Aadhaar center, Antenna service, Beauty Parlour, Massage therapist, Thai massage therapist",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 92295 21477,N/A,4.4,35.0,"Grand Trunk Rd, near ROHIT INTERNATIONAL HOTEL, MICO, Dilia, Sasaram, Bihar 821115","MICO, Dilia",24.955074,84.0320529,ChIJCQ9iZB2xjTkRWRI-iHyvPxA,https://www.google.com/maps/place/?q=place_id:ChIJCQ9iZB2xjTkRWRI-iHyvPxA,part_381,2026-09-20 20:46:15
Dr Rupesh Kumar,Spa,Health spa,"Health spa, Medical clinic",815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 91997 71908,N/A,,,"near Jbj Tradres, Batiya, Sono, Tola Itwa, Bihar 811308",Batiya,24.6427923,86.3551197,ChIJUZDiRwBl8TkRNFfU8Z_yrvI,https://www.google.com/maps/place/?q=place_id:ChIJUZDiRwBl8TkRNFfU8Z_yrvI,part_381,2026-09-20 20:46:16
Buddha Thai Spa 4,Spa,Massage spa,Massage spa,815314,Jharkhand Circle,Ranchi Region,Giridih Division,"Kharagdiha SO, Bairia BO, Chatro BO",+91 70706 40689,N/A,3.7,,"2nd Floor, Lakhmi Bhawan, Mithu Road, beside Dental Clinic Care, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.7884446,86.4189361,ChIJIVavl6q99jkRI1REISvMZ_I,https://www.google.com/maps/place/?q=place_id:ChIJIVavl6q99jkRI1REISvMZ_I,part_381,2026-09-20 20:46:16
