business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fincare Small Finance Bank,Microfinance and NBFC,Bank,Bank,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",N/A,N/A,5.0,2,"Dariyapur, Uttar Pradesh 230304",815315,25.808737299999997,82.0264009,ChIJB9d970S9mjkRP9ztx9ewcng,https://www.google.com/maps/place/?q=place_id:ChIJB9d970S9mjkRP9ztx9ewcng,part_381,2026-09-20 20:47:09
FinCrif India,Microfinance and NBFC,Financial institution,Financial institution,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 99533 33660,https://www.fincrif.com/,4.2,177,"C15, Block C, Noida Sector 3, Noida, Uttar Pradesh 201301","Block C, Noida Sector 3",28.581723,77.3197275,ChIJtwiytb3lDDkRMPjjMTWnbh8,https://www.google.com/maps/place/?q=place_id:ChIJtwiytb3lDDkRMPjjMTWnbh8,part_381,2026-09-20 20:47:09
Annapurna Finance Pvt. Ltd.,Microfinance and NBFC,Corporate office,Corporate office,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 1800 843 7200,https://annapurnafinance.in/,4.1,272,"Infront Of Jaydev Vatika, 1215/1401, NH-16 Byp Rd, Khandagiribari, Khandagiri, Bhubaneswar, Odisha 751030","Khandagiribari, Khandagiri",20.2657097,85.7831279,ChIJoyMWze2nGToR1S5kkDA7-6E,https://www.google.com/maps/place/?q=place_id:ChIJoyMWze2nGToR1S5kkDA7-6E,part_381,2026-09-20 20:47:09
Svamaan Financial Services Pvt. Ltd.,Microfinance and NBFC,Corporate office,Corporate office,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 22 4942 9010,https://www.svamaan.in/,4.4,65,"6, 93, 9th Floor, Nariman Point, Mumbai, Maharashtra 400021",Nariman Point,18.9238656,72.8217908,ChIJD4hwDgbR5zsRG1liZyjzepM,https://www.google.com/maps/place/?q=place_id:ChIJD4hwDgbR5zsRG1liZyjzepM,part_381,2026-09-20 20:47:09
FUSION MICROFINANCE LTD,Microfinance and NBFC,Bank,Bank,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",N/A,N/A,3.0,2,"WVR5+X7W, Bosepet, Gudiyatham, Tamil Nadu 632602",Bosepet,12.9424753,78.8582169,ChIJ1YRXqkltrTsRFVccrXXRPgo,https://www.google.com/maps/place/?q=place_id:ChIJ1YRXqkltrTsRFVccrXXRPgo,part_381,2026-09-20 20:47:09
Moneyview Limited,Microfinance and NBFC,Financial institution,Financial institution,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 80 6939 0476,https://moneyview.in/,4.7,31676,"1st and 2nd Floor, The Address Building, 17/1, Outer Ring Rd, Kadubeesanahalli, Bengaluru, Karnataka 560103",Kadubeesanahalli,12.9374457,77.69274519999999,ChIJ388e3zcTrjsRWejc0cRpg6k,https://www.google.com/maps/place/?q=place_id:ChIJ388e3zcTrjsRWejc0cRpg6k,part_381,2026-09-20 20:47:09
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 80 6986 6926,https://locations.fedfina.com/financial-services-in-barampura-g-t-road-ghaziabad-uttar-pradesh/home,4.8,34,"Shop No, 109 & 110, Grand Trunk Rd, near Sardar Ji Cycle Store, Ekta Vihar, Arjun Nagar, Naya Ganj, Ghaziabad, Uttar Pradesh 201003","Ekta Vihar, Arjun Nagar, Naya Ganj",28.657236299999997,77.4318641,ChIJucUi0SzxDDkRfPuNAO4oYog,https://www.google.com/maps/place/?q=place_id:ChIJucUi0SzxDDkRfPuNAO4oYog,part_381,2026-09-20 20:47:09
North Eastern Development Finance Corporation Ltd,Microfinance and NBFC,Financial institution,"Financial institution, Service establishment",815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 3842 220 157,http://www.nedfi.com/,5.0,2,"North Eastern Development Finance Corporation Ltd, 815315, India",815315,24.8281717,92.78363949999999,ChIJ7wVU0nZLTjcRuzMwctNvJ7Q,https://www.google.com/maps/place/?q=place_id:ChIJ7wVU0nZLTjcRuzMwctNvJ7Q,part_381,2026-09-20 20:47:09
Fusion Microfinance Ltd.,Microfinance and NBFC,Bank,Bank,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",N/A,N/A,3.0,2,"Sankarapuram, Tamil Nadu 606401",815315,11.8803846,78.919242,ChIJeQfUltydrDsRG-JVVbuRsCQ,https://www.google.com/maps/place/?q=place_id:ChIJeQfUltydrDsRG-JVVbuRsCQ,part_381,2026-09-20 20:47:09
First Finance Credit Co Operative Society Limited,Microfinance and NBFC,Financial institution,Financial institution,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 83280 23612,https://firstfinance.in/,4.2,20,"# 403, 4th Floor, 6-3-1247/A, Raj Bhavan Rd, Hyderabad, Telangana 500082",Somajiguda,17.417385799999998,78.46094099999999,ChIJ_bnH1AWXyzsR2j_jpU6gxns,https://www.google.com/maps/place/?q=place_id:ChIJ_bnH1AWXyzsR2j_jpU6gxns,part_381,2026-09-20 20:47:09
NABFINS LIMITED ನ್ಯಾಬ್ ಫಿನ್ಸ್ ಲಿಮಿಟೆಡ್,Microfinance and NBFC,Financial institution,Financial institution,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 80 2697 0500,https://nabfins.org/,3.9,39,"3072, 14th Cross, Krishna Rajendra Rd, Siddanna Layout, Banashankari 2nd Stage, Bengaluru, Karnataka 560070","Siddanna Layout, Banashankari 2nd Stage, Banashankari",12.929779799999999,77.56860309999999,ChIJ-cxQzoUVrjsRoAh-oKdHR1A,https://www.google.com/maps/place/?q=place_id:ChIJ-cxQzoUVrjsRoAh-oKdHR1A,part_381,2026-09-20 20:47:09
MicroFinance Institutions Network,Microfinance and NBFC,Corporate office,Corporate office,815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 1800 102 1080,http://www.mfinindia.org/,5.0,8,"4th Floor, Emaar Palm Spring Plaza, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","DLF Phase 5, Sector 54",28.4453313,77.1014562,ChIJA3CfW7MYDTkRr3gSChu2OGg,https://www.google.com/maps/place/?q=place_id:ChIJA3CfW7MYDTkRr3gSChu2OGg,part_381,2026-09-20 20:47:09
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",815315,Jharkhand Circle,Ranchi Region,Giridih Division,"Mirzaganj SO, Dhuraita BO, Kurhobindo BO",+91 80 6986 6894,https://locations.fedfina.com/financial-services-in-amberpet-hyderabad-telangana/home,4.9,41,"Ground Flr, No. 2-2-1052/1, X Rd, nr. Sri Ramana Theatre, Tulasi Nagar Colony, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013","Tulasi Nagar Colony, Bagh Amberpet, Amberpet",17.3923621,78.51618739999999,ChIJyzTxlEOZyzsR8wMQZQH5lrg,https://www.google.com/maps/place/?q=place_id:ChIJyzTxlEOZyzsR8wMQZQH5lrg,part_381,2026-09-20 20:47:09
