business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SUPER AQUA,Wellness Center,Wellness center,Wellness center,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",+91 79039 80553,N/A,,,"Near Hawai Add, Aerodrome Rd, Borough, Jharkhand 815316",Pachamba,24.2008323,86.2845169,ChIJ-ZUpyctX8TkRLvFGh6K-Yfw,https://www.google.com/maps/place/?q=place_id:ChIJ-ZUpyctX8TkRLvFGh6K-Yfw,part_381,2026-09-20 20:47:42
Primary Health Centre Pachamba,Wellness Center,Community health center,Community health center,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",N/A,N/A,1.0,1.0,"6736+J4X, Pachamba, Giridih, Jharkhand 815316",Pachamba,24.2041102,86.26034419999999,ChIJ1_SyQANW8TkRjEzh9MUNoqE,https://www.google.com/maps/place/?q=place_id:ChIJ1_SyQANW8TkRjEzh9MUNoqE,part_381,2026-09-20 20:47:42
Pachamba Health Center,Wellness Center,Hospital,Hospital,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",N/A,N/A,,,"6732+2QF, At -Kalyandih ,Post-Handadih Jharkhnd-, Giridih, Jharkhand 815316",Telodih,24.2025546,86.2519257,ChIJu8TxhPn98zkR8YJw1fgP5Ds,https://www.google.com/maps/place/?q=place_id:ChIJu8TxhPn98zkR8YJw1fgP5Ds,part_381,2026-09-20 20:47:42
DEV ELECTRO HOMEO CLINIC,Wellness Center,Herbal medicine store,Herbal medicine store,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",+91 82716 68939,N/A,4.9,7.0,"Dwarpahari Birni, road, Jharkhand 815316",815316,24.2604069,86.12749769999999,ChIJB0du_h378zkRqrVIn69I0mY,https://www.google.com/maps/place/?q=place_id:ChIJB0du_h378zkRqrVIn69I0mY,part_381,2026-09-20 20:47:42
Primary Health Clinic,Wellness Center,Medical Center,Medical Center,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",+91 73210 28814,https://www.chargharaphc.com/,1.0,1.0,"Charghara, Jharkhand 815318",815316,24.3045665,86.1382873,ChIJta_CtrDl8zkR78JI6x54SiM,https://www.google.com/maps/place/?q=place_id:ChIJta_CtrDl8zkR78JI6x54SiM,part_381,2026-09-20 20:47:42
Arogya Seva Sadan,Wellness Center,Hospital,Hospital,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",+91 72589 44419,N/A,5.0,1.0,"Jora Shankh, Jharkhand 815316",815316,24.2717398,86.1379564,ChIJf7Zni8v78zkRu9A5B2LBI-o,https://www.google.com/maps/place/?q=place_id:ChIJf7Zni8v78zkRu9A5B2LBI-o,part_381,2026-09-20 20:47:42
KUNTI BHAWAN,Wellness Center,Medical Center,Medical Center,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",N/A,N/A,,,"843Q+R8F, Charghara, Jharkhand 815318",815316,24.3045665,86.1382873,ChIJl3fAJwDl8zkRxFXawAMtxaA,https://www.google.com/maps/place/?q=place_id:ChIJl3fAJwDl8zkRxFXawAMtxaA,part_381,2026-09-20 20:47:42
Maa Sita Janch Ghar,Wellness Center,Medical clinic,Medical clinic,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",N/A,N/A,5.0,2.0,"73PV+5CV, Mohnidih, Jharkhand 815318",815316,24.2854979,86.0935513,ChIJk_UZagDv8zkR9c9vTQVzo_Y,https://www.google.com/maps/place/?q=place_id:ChIJk_UZagDv8zkR9c9vTQVzo_Y,part_381,2026-09-20 20:47:42
Baba medical hall,Wellness Center,Medical Center,Medical Center,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",+91 94253 07721,N/A,5.0,3.0,"Main Road, Kurumdiha, Kodaidih, Jharkhand 815316",815316,24.2143357,86.1393528,ChIJ79GTX3v78zkRSVN-U8JAUjA,https://www.google.com/maps/place/?q=place_id:ChIJ79GTX3v78zkRSVN-U8JAUjA,part_381,2026-09-20 20:47:42
ISRAT HEALTH COACH CENTRE,Wellness Center,Health consultant,Health consultant,815316,Jharkhand Circle,Ranchi Region,Giridih Division,"Pachamba SO, Bairiabad BO, Bajto BO",N/A,N/A,5.0,1.0,"672C+HFG, At, post, Pachamba, Bishunpur, Jharkhand 815316",Pachamba,24.201445,86.2712002,ChIJvcpUAwBX8TkR0WkmBMkc-Gs,https://www.google.com/maps/place/?q=place_id:ChIJvcpUAwBX8TkR0WkmBMkc-Gs,part_381,2026-09-20 20:47:43
