business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
National Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 93864 39991,N/A,4.0,,"XR64+94J, Main Bazar Road, Jamtara (, Road, near Bazar Durga Mandir Bazar, Jamtara, Jharkhand 815351",Patharchapra,23.9609676,86.80527889999999,ChIJw3cIOdzQ9jkRud1TcPcAOAs,https://www.google.com/maps/place/?q=place_id:ChIJw3cIOdzQ9jkRud1TcPcAOAs,part_381,2026-09-20 20:49:34
"Lovely Cloth Store,Nijkajra,jamtara",Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,4.6,,"2RX2+F37 Lovely Cloth Store, Nijkajra, Jharkhand 815351",815351,24.0486714,86.8001788,ChIJq6qqaqPT9jkR9avlm2CCY60,https://www.google.com/maps/place/?q=place_id:ChIJq6qqaqPT9jkR9avlm2CCY60,part_381,2026-09-20 20:49:34
New Barnwal Cloth Stores,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 93341 09364,N/A,4.5,,"Station Rd, near Kali Mandir, Kayesthapara, Jamtara, Jharkhand 815351",Kayesthapara,23.9595783,86.80572579999999,ChIJr3VhXvrR9jkRIkLG4T7fiEc,https://www.google.com/maps/place/?q=place_id:ChIJr3VhXvrR9jkRIkLG4T7fiEc,part_381,2026-09-20 20:49:34
Shree Shyam Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,3.6,,"Bazar Rd, Kayesthapara, Jamtara, Jharkhand 815351",Kayesthapara,23.961633,86.8038038,ChIJXWAP0t3Q9jkR2hrqjFKItaA,https://www.google.com/maps/place/?q=place_id:ChIJXWAP0t3Q9jkR2hrqjFKItaA,part_381,2026-09-20 20:49:34
Fashion King,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,3.9,,"815351, Bazar Rd, Kayesthapara, Jamtara, Jharkhand 815351",Kayesthapara,23.961226699999997,86.8048597,ChIJcYYMMdzQ9jkROa1dL9emFzM,https://www.google.com/maps/place/?q=place_id:ChIJcYYMMdzQ9jkROa1dL9emFzM,part_381,2026-09-20 20:49:34
Archana Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,3.8,,"XR62+VWQ, Bazar Rd, Kayesthapara, Jamtara, Jharkhand 815351",Kayesthapara,23.962211699999997,86.80236459999999,ChIJUa9pB97Q9jkRMblD3ouLgWM,https://www.google.com/maps/place/?q=place_id:ChIJUa9pB97Q9jkRMblD3ouLgWM,part_381,2026-09-20 20:49:34
Geeta fashion hub,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,4.5,,"XR65+36G, Patharchapra, Jamtara, Jharkhand 815351",Patharchapra,23.960194599999998,86.8080755,ChIJx4Z-W8jR9jkRxzv6pBwueAk,https://www.google.com/maps/place/?q=place_id:ChIJx4Z-W8jR9jkRxzv6pBwueAk,part_381,2026-09-20 20:49:34
HD Fashion Cloth Stor,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 70703 56663,N/A,4.7,,"Mejhia, Jharkhand 815351",Mejhia,23.9184615,86.758192,ChIJ_21JIaPb9jkRr1b0Lk25F7k,https://www.google.com/maps/place/?q=place_id:ChIJ_21JIaPb9jkRr1b0Lk25F7k,part_381,2026-09-20 20:49:34
New Royal Fashion,Readymade Garments Shop,Clothing store,"Clothing store, Textile Exporter",815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 72507 64405,N/A,5.0,,"Jamtara - Godda Rd, Jamtara, Karmatar, Jharkhand 815352",815351,24.0752667,86.707741,ChIJEX2g6Y_N9jkRFis-8G2lmOA,https://www.google.com/maps/place/?q=place_id:ChIJEX2g6Y_N9jkRFis-8G2lmOA,part_381,2026-09-20 20:49:34
MUKTAR CLOTH STORE,Readymade Garments Shop,General store,General store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 62052 12609,N/A,,,"Chegaidih More, Towar Chok, Jamtara, Jharkhand 815351",815351,23.954616599999998,86.7360799,ChIJofcFJjzP9jkRTR1GxI0BquI,https://www.google.com/maps/place/?q=place_id:ChIJofcFJjzP9jkRTR1GxI0BquI,part_381,2026-09-20 20:49:34
Ding dong Readymade,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 70039 25401,N/A,5.0,,"Bus Station, Mihijam, Jharkhand 815354",815351,23.8583303,86.87907109999999,ChIJi8c8r5nZ9jkR0f4pEMd5HiA,https://www.google.com/maps/place/?q=place_id:ChIJi8c8r5nZ9jkR0f4pEMd5HiA,part_381,2026-09-20 20:49:34
Gupta Redimade Dresses,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 83404 11264,N/A,3.5,,"Patharchapra, Jamtara, Jharkhand 815351",Patharchapra,23.956768999999998,86.8207929,ChIJE1ab4YDR9jkR3dwR_ef5vq4,https://www.google.com/maps/place/?q=place_id:ChIJE1ab4YDR9jkR3dwR_ef5vq4,part_381,2026-09-20 20:49:35
Tip Top readymade fashion,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",+91 84343 58998,N/A,5.0,,"Basti Rd, Karmatar, Jharkhand 815352",815351,24.0834363,86.70215999999999,ChIJJb6rhkjN9jkRvvDUIVQrzaI,https://www.google.com/maps/place/?q=place_id:ChIJJb6rhkjN9jkRvvDUIVQrzaI,part_381,2026-09-20 20:49:35
Sunday Monday Readymade Garments,Readymade Garments Shop,Clothing store,Clothing store,815351,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jamtara SO, Asanchua BO, Bagdaha BO",N/A,N/A,3.5,,"opposite Chittaranjan Railway Station, Mihijam, Jharkhand 815354",815351,23.8576522,86.8788093,ChIJTTUBAaTZ9jkRJwk8i_cirqQ,https://www.google.com/maps/place/?q=place_id:ChIJTTUBAaTZ9jkRJwk8i_cirqQ,part_381,2026-09-20 20:49:35
