business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MS baragheriya school,School,Government School,Government School,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",+91 95075 33776,N/A,,,"At baragheriya, Nala, Jamtara, Jharkhand 815355",815355,23.9288757,86.9846804,ChIJGRUP6Ucv9zkRWvLWbY40YNA,https://www.google.com/maps/place/?q=place_id:ChIJGRUP6Ucv9zkRWvLWbY40YNA,part_381,2026-09-20 20:52:48
UPG Middle School Tilaboni,School,Middle school,Middle school,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"V2P9+W73, Jamtara, Jharkhand 815355",815355,23.887261499999997,87.01817199999999,ChIJ1QXKxagl9zkRjwJeE93L390,https://www.google.com/maps/place/?q=place_id:ChIJ1QXKxagl9zkRjwJeE93L390,part_381,2026-09-20 20:52:48
Karrabad Middle School,School,School center,School center,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,4.7,3.0,"R482+CHF, Karrabad, Jharkhand 815355",815355,23.8160646,87.1014162,ChIJ82ROyYk89zkRU1q0IFM1i_g,https://www.google.com/maps/place/?q=place_id:ChIJ82ROyYk89zkRU1q0IFM1i_g,part_381,2026-09-20 20:52:48
Bhandar Kol School,School,School center,School center,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,5.0,2.0,"Bhandar Kola, Jharkhand 815355",815355,23.9133388,87.0872984,ChIJE5lBPAA79zkRDBgOz9CVQNg,https://www.google.com/maps/place/?q=place_id:ChIJE5lBPAA79zkRDBgOz9CVQNg,part_381,2026-09-20 20:52:48
School,School,Kindergarten School,Kindergarten School,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"VX94+WHX, Ghat Sagariya, Jharkhand 815355",815355,23.869921299999998,86.9569276,ChIJjymNRwAn9zkRgNW5HXwQeSs,https://www.google.com/maps/place/?q=place_id:ChIJjymNRwAn9zkRgNW5HXwQeSs,part_381,2026-09-20 20:52:48
UPG Primary School Gopalpur,School,Primary school,Primary school,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"W2FJ+C65, Gopalpur, Jharkhand 815355",815355,23.923524999999998,87.0306078,ChIJdUO3En0l9zkRMlMqterbKwY,https://www.google.com/maps/place/?q=place_id:ChIJdUO3En0l9zkRMlMqterbKwY,part_381,2026-09-20 20:52:48
Sido Kanhu Model School,School,CBSE School,CBSE School,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,https://sidokanhumodelschool.org/,,,"Runakura Ghat Rd, Dalabar, Nalhati, Jharkhand 815355",815355,23.899556099999998,87.0314978,ChIJy7ChdA0l9zkRY12vTWIuSkI,https://www.google.com/maps/place/?q=place_id:ChIJy7ChdA0l9zkRY12vTWIuSkI,part_381,2026-09-20 20:52:48
Lachhuraydih school,School,Primary school,Primary school,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"XX4R+F5X, LACHHURAIDIH, Lachhuraydi, Jharkhand 815355",815355,23.9543525,86.9917443,ChIJ9fO3l20v9zkR-ZUeNBENDjs,https://www.google.com/maps/place/?q=place_id:ChIJ9fO3l20v9zkR-ZUeNBENDjs,part_381,2026-09-20 20:52:48
jibanpur primary school,School,Primary school,Primary school,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"W2PG+5G9, Jibanpur, Jharkhand 815355",815355,23.935408499999998,87.0263731,ChIJoWeOaoMv9zkRiOtrmOkUfjo,https://www.google.com/maps/place/?q=place_id:ChIJoWeOaoMv9zkRiOtrmOkUfjo,part_381,2026-09-20 20:52:48
R.K. Middle School Khaira,School,Middle school,Middle school,815355,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Nala SO, Afzalpur BO, Baragholjore BO",N/A,N/A,,,"WXP3+Q44, Mejhia, Jharkhand 815355",815355,23.936877199999998,86.95282019999999,ChIJ02Ogp9kp9zkRzVVyrZVs4yw,https://www.google.com/maps/place/?q=place_id:ChIJ02Ogp9kp9zkRzVVyrZVs4yw,part_381,2026-09-20 20:52:48
