business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Suiyadih cement center,Departmental Store,Department store,Department store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",N/A,N/A,3.6,5.0,"73C5+CJM, Pesham, Jharkhand 815318",815318,24.2710945,86.05903769999999,ChIJJ2dDTTvx8zkRcc-TB1FjIBY,https://www.google.com/maps/place/?q=place_id:ChIJJ2dDTTvx8zkRcc-TB1FjIBY,part_381,2026-09-20 20:48:43,49899
Shop,Departmental Store,Grocery store,Grocery store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 98357 68855,N/A,,,"Manakdiha Kendua Road, near by Panchat Bhawan, Kendua, Jharkhand 815318",815318,24.325156699999997,86.1082213,ChIJb007acfl8zkR-ZVulHV4xT0,https://www.google.com/maps/place/?q=place_id:ChIJb007acfl8zkR-ZVulHV4xT0,part_381,2026-09-20 20:48:43,49900
सरकार स्टोर,Departmental Store,Grocery store,Grocery store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",N/A,N/A,4.8,6.0,"Jharkhandi Dham Road, Khajarsota, Parsan, Jharkhand 825412",815318,24.337815,86.015311,ChIJI4chEgDv8zkRyI85EcW2Nkg,https://www.google.com/maps/place/?q=place_id:ChIJI4chEgDv8zkRyI85EcW2Nkg,part_381,2026-09-20 20:48:43,49901
Divyanshu Grocery Shop,Departmental Store,Grocery store,Grocery store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 91531 24651,N/A,,,"Vishwakarma Mandir, Baliya gridih, Balia, Jharkhand 825324",815318,24.2447932,86.082336,ChIJt4eeuVfx8zkR59u_o5NP0BQ,https://www.google.com/maps/place/?q=place_id:ChIJt4eeuVfx8zkR59u_o5NP0BQ,part_381,2026-09-20 20:48:43,49902
पाण्डेय जेनरल स्टोर एवं पूजा भंडार,Departmental Store,General store,"General store, Indian grocery store",815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 99398 42313,N/A,5.0,1.0,"Pokhariya, Balia, Pokharia, Jharkhand 815316",Pokhariya,24.2401375,86.07774839999999,ChIJMwc6yT3x8zkR8EApcK6vVmQ,https://www.google.com/maps/place/?q=place_id:ChIJMwc6yT3x8zkR8EApcK6vVmQ,part_381,2026-09-20 20:48:43,49903
MODI KIRANA STORE,Departmental Store,Grocery store,Grocery store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 88099 64980,N/A,4.6,,"Sali, Jharkhand 825412",815318,24.384492299999998,86.0768272,ChIJ_18nI8Pp8zkRYdtml5E75LM,https://www.google.com/maps/place/?q=place_id:ChIJ_18nI8Pp8zkRYdtml5E75LM,part_381,2026-09-20 20:48:44,49904
MM Grocery Shop,Departmental Store,General store,"General store, Grocery store",815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 80029 16928,N/A,2.0,,"37/06, Jamua, Sali, Jharkhand 825412",815318,24.3851828,86.0725319,ChIJD3QHALXo8zkR4YDLYd5gzCY,https://www.google.com/maps/place/?q=place_id:ChIJD3QHALXo8zkR4YDLYd5gzCY,part_381,2026-09-20 20:48:44,49905
Jharkhandi Mandal,Departmental Store,Home goods store,Home goods store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",N/A,N/A,5.0,2.0,"Ghorbad road pachamba, road, Telodih, Ghorbad, Jharkhand 815316",Telodih,24.1951263,86.20678389999999,ChIJ4beYX9D98zkR2hPFh-vbmII,https://www.google.com/maps/place/?q=place_id:ChIJ4beYX9D98zkR2hPFh-vbmII,part_381,2026-09-20 20:48:45,49906
Aftab Kirana Store,Kirana Store,General store,General store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 72949 48218,N/A,4.3,7.0,"07, Main Road, Patrogundi, Jamua, Jharkhand 815318",815318,24.32793,86.1572317,ChIJl6-p7Q_l8zkRhACUWhl8AXI,https://www.google.com/maps/place/?q=place_id:ChIJl6-p7Q_l8zkRhACUWhl8AXI,part_381,2026-09-20 20:48:43,49907
Pawan Kirana Store,Kirana Store,General store,General store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 72578 08317,N/A,4.0,2.0,"Ho No 67 Clonglo Main Road, Road, Jamua Main Road, Jamua, Jharkhand 815318",815318,24.3398146,86.08788349999999,ChIJvdD2kJzv8zkRwd5UmVvET84,https://www.google.com/maps/place/?q=place_id:ChIJvdD2kJzv8zkRwd5UmVvET84,part_381,2026-09-20 20:48:43,49908
Verma Kirana Store,Kirana Store,General store,General store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 74887 18623,N/A,5.0,1.0,"Parakharo Main Road, near by Main Road, Giridih, Nawadih, Jharkhand 815318",815318,24.336681,86.1222798,ChIJjZQlkXDl8zkRj9ijIYkNGP4,https://www.google.com/maps/place/?q=place_id:ChIJjZQlkXDl8zkRj9ijIYkNGP4,part_381,2026-09-20 20:48:43,49909
Mukesh General Store,Kirana Store,General store,General store,815318,Jharkhand Circle,Ranchi Region,Giridih Division,"Jamua SO Giridh, Balgo BO, Bati BO",+91 91023 37494,N/A,5.0,3.0,"Shop No 01, Jamia Giridih Road, Podaya, Charghara, Jharkhand 815318",Podaya,24.305007999999997,86.1430031,ChIJuQxa7bnl8zkRxWOPwwEuxjQ,https://www.google.com/maps/place/?q=place_id:ChIJuQxa7bnl8zkRxWOPwwEuxjQ,part_381,2026-09-20 20:48:43,49910
