business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kirana wholesale sahibganj,FMCG Distributor,Wholesaler,"Wholesaler, Grocery delivery service, Rice wholesaler, Wholesale grocer, Wholesale market",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,http://mydukaan.io/wholesalesbg,,,"6MM4+F2M, At, near jhanda mela kali mandir, Jirwabari, Chota Panchgar, Sahibganj, Santinagar, Jharkhand 816109","Jirwabari, Chota Panchgar",25.2337128,87.655033,ChIJ75-EybWZ-jkRBI2QxBGAhG4,https://www.google.com/maps/place/?q=place_id:ChIJ75-EybWZ-jkRBI2QxBGAhG4,part_382,2026-09-20 20:19:17,10
YUGAM RCM PICK-UP CENTRE,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Nutritionist, Food products supplier, Garment Exporter, Household goods wholesaler",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 79924 42921,http://www.rcmbusiness.com/,5.0,2.0,"Murmu Shopping Complex, near Bharat Petrol Pump, Chandni Chowk, Jharkhand 814156",Chandni Chowk,24.797457899999998,87.298755,ChIJZ3lJmmeL8DkR_te1Zny_wwM,https://www.google.com/maps/place/?q=place_id:ChIJZ3lJmmeL8DkR_te1Zny_wwM,part_382,2026-09-20 20:19:17,11
Mansa Distributors,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 79090 19887,N/A,5.0,4.0,"New Sabji mandi, Ramgarh Cantonment, Jharkhand 829122",816102,23.6186583,85.5298653,ChIJUxmMMDLz9DkRccG4jKn3oAk,https://www.google.com/maps/place/?q=place_id:ChIJUxmMMDLz9DkRccG4jKn3oAk,part_382,2026-09-20 20:19:17,12
PNPE ITC DISTRIBUTOR GAYA,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 87899 24429,N/A,4.8,,"Tekari Rd, opp. CHANDAN GUEST HOUSE, Maroof Ganj, Gaya, Bihar 823001",Maroof Ganj,24.799238499999998,85.0032908,ChIJa4opzmwr8zkRropoDixQtOo,https://www.google.com/maps/place/?q=place_id:ChIJa4opzmwr8zkRropoDixQtOo,part_382,2026-09-20 20:19:18,13
ASHA INDUSTRIES,FMCG Distributor,Wholesaler,"Wholesaler, FMCG Manufacturer",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 87898 57503,http://ashaind.in/,4.9,,"Sanko Sai, Road No. 5, Mango, Jamshedpur, Jharkhand 831012",Mango,22.8255086,86.238925,ChIJxfCfOpfl9TkR5l9M9z1_dRk,https://www.google.com/maps/place/?q=place_id:ChIJxfCfOpfl9TkR5l9M9z1_dRk,part_382,2026-09-20 20:19:18,14
Janki Medico,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99345 16256,N/A,4.9,,"NawabGanj, Hazaribagh, Jharkhand 825301",NawabGanj,23.9990694,85.3573432,ChIJJ8GUMDud9DkRmjSYnhmsLgc,https://www.google.com/maps/place/?q=place_id:ChIJJ8GUMDud9DkRmjSYnhmsLgc,part_382,2026-09-20 20:19:18,15
VISHAL MARKETING,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"Saraika Bhawan, Cart Sarai Rd, opposite Shani mandir, gadi khana, old choudhary bagan, Upper Bazar, Ranchi, Jharkhand 834001","gadi khana, old choudhary bagan, Upper Bazar",23.374285699999998,85.3153943,ChIJPRZ4CXbh9DkRcykxNknGoxI,https://www.google.com/maps/place/?q=place_id:ChIJPRZ4CXbh9DkRcykxNknGoxI,part_382,2026-09-20 20:19:18,16
Kamla Prasad kiran kumar,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,N/A,,,"Agrasen bhawan, Main Rd, opp. dharma printing press, Dumka, Jharkhand 814101",816103,24.266448399999998,87.2461074,ChIJ1WESs7C38DkRXHOLO1FaQqY,https://www.google.com/maps/place/?q=place_id:ChIJ1WESs7C38DkRXHOLO1FaQqY,part_382,2026-09-20 20:20:03,5638
ANKUSH STORE,FMCG Distributor,Wholesaler,"Wholesaler, Cosmetics store",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 80019 11103,N/A,4.9,,"58, Rejaul Karim Sarani, Gorabazar, Gora Bazar, Berhampore, West Bengal 742101","Gorabazar, Gora Bazar",24.089041299999998,88.247945,ChIJWa-jRQB9-TkRM5CG-ns5rjw,https://www.google.com/maps/place/?q=place_id:ChIJWa-jRQB9-TkRM5CG-ns5rjw,part_382,2026-09-20 20:20:04,5639
R R Enterprises,FMCG Distributor,Wholesaler,Wholesaler,816104,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Hiranpur SO, Arjunpur BO, Bichmahal BO",N/A,N/A,5.0,1.0,"College Rd, near Hanuman Mandir, Kurapara, KKM, Pakur, Jharkhand 816107",Kurapara,24.6428549,87.83925459999999,ChIJwwUKv_tp-jkROHEtsJ_HnSM,https://www.google.com/maps/place/?q=place_id:ChIJwwUKv_tp-jkROHEtsJ_HnSM,part_382,2026-09-20 20:20:47,9936
