business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Siddhivinayak Multispeciality Hospital(SVMH),Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 80920 03899,N/A,4.9,,"Sobhanpur Mathia, NH-80, Ghod Mara Pul, Sahibganj, Chhota solbandha, Jharkhand 816109",816102,25.2456167,87.6126184,ChIJi5YbcTGf-jkRoYdTJYrtMLw,https://www.google.com/maps/place/?q=place_id:ChIJi5YbcTGf-jkRoYdTJYrtMLw,part_382,2026-09-20 20:19:27,1396
Ramaiyaa Care Hospital,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99423 55153,https://ramaiyaacarehospital.com/,4.2,,"nh33, Sahibganj, Jharkhand 816109","Jirwabari, Chota Panchgar",25.2372476,87.65665609999999,ChIJwbSlnh6Z-jkROtghaTcJA3A,https://www.google.com/maps/place/?q=place_id:ChIJwbSlnh6Z-jkROtghaTcJA3A,part_382,2026-09-20 20:19:27,1397
chandra Goda Hospital,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,4.0,,"VJ4W+GWX, barmasiya, Berhait, Jharkhand 816102",816102,24.856372399999998,87.64735879999999,ChIJj0XGprx9-jkRvgfGbzpgWKo,https://www.google.com/maps/place/?q=place_id:ChIJj0XGprx9-jkRvgfGbzpgWKo,part_382,2026-09-20 20:19:27,1398
Sehat Multi-speciality Clinic,Multispeciality Hospital,Specialized hospital,Specialized hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,3.0,"Old Hospital Road, Bengali Tola Rd, Sahibganj, Jharkhand 816109",816102,25.242068999999997,87.63019539999999,ChIJDSvRf52Z-jkRcrgMq9VXfAA,https://www.google.com/maps/place/?q=place_id:ChIJDSvRf52Z-jkRcrgMq9VXfAA,part_382,2026-09-20 20:19:27,1399
SPARSH HOSPITAL,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 92797 27969,https://sparshhospitalsbg.com/,4.6,16.0,"Bhartiya Road, near Girls high school, Sahibganj, Jharkhand 816109",816102,25.243643,87.6283443,ChIJEYHLgLeY-jkRW8akN92WnL8,https://www.google.com/maps/place/?q=place_id:ChIJEYHLgLeY-jkRW8akN92WnL8,part_382,2026-09-20 20:19:27,1400
Sunshine Health care clinic,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 91999 36924,N/A,,,"Jirwabari, Chota Panchgar, Sahibganj, Sahibganj PART, Jharkhand 816109","Jirwabari, Chota Panchgar",25.2375376,87.65635789999999,ChIJVSJkXO2Z-jkRtiVxGJ441wE,https://www.google.com/maps/place/?q=place_id:ChIJVSJkXO2Z-jkRtiVxGJ441wE,part_382,2026-09-20 20:19:27,1401
Deep Hospital,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,4.8,4.0,"6M98+35P, Lohanda, Chhata Lohanda, Jharkhand 816109",816102,25.2177214,87.6654415,ChIJS1suWACZ-jkR-nzTGFmwEJ0,https://www.google.com/maps/place/?q=place_id:ChIJS1suWACZ-jkR-nzTGFmwEJ0,part_382,2026-09-20 20:19:27,1402
EYE HOSPITAL SAHIBGANJ,Multispeciality Hospital,Private hospital,Private hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 95035 02556,https://motiyabind.com/,5.0,19.0,"Sadar Hospital, OLD, Bengali Tola Rd, Sahibganj, Jharkhand 816109",816102,25.2418233,87.63126559999999,ChIJk2ZzW0GZ-jkRCHifi09Q7TE,https://www.google.com/maps/place/?q=place_id:ChIJk2ZzW0GZ-jkRCHifi09Q7TE,part_382,2026-09-20 20:19:27,1403
P K Pathak Memorial HOSPITAL and DIAGNOASTIC,Multispeciality Hospital,Hospital,Hospital,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 76440 07222,N/A,3.8,,"Kal Para, Tanti Para, Pakur, Jharkhand 816107","Kal Para, Tanti Para",24.638668199999998,87.8541094,ChIJZXDPntZp-jkRxHhZU82F9uk,https://www.google.com/maps/place/?q=place_id:ChIJZXDPntZp-jkRxHhZU82F9uk,part_382,2026-09-20 20:19:28,1404
BNS Ayusmati Hospital,Multispeciality Hospital,Private hospital,Private hospital,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 78903 00903,https://bnsayusmati.com/,4.8,,"Bahina More, NH 14, Mallarpur, West Bengal 731216",816103,24.0761079,87.7302459,ChIJizMO3Nz3-TkRIVoqXBOPlWY,https://www.google.com/maps/place/?q=place_id:ChIJizMO3Nz3-TkRIVoqXBOPlWY,part_382,2026-09-20 20:20:11,6536
