business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shambhavi tiles marble and hardware,Tile and Marble Showroom,Hardware store,Hardware store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 70045 08766,N/A,4.9,,"Godda mirachoki road, Bada shripur, khari bagicha, Mirzacheuki, Bara Siripur, Jharkhand 813208","Bada shripur, khari bagicha",25.1025766,87.4771167,ChIJNRt-KQB38DkRFBZJYv3HAsg,https://www.google.com/maps/place/?q=place_id:ChIJNRt-KQB38DkRFBZJYv3HAsg,part_382,2026-09-20 20:19:36,2480
Sumitra Marble & Tiles -ll,Tile and Marble Showroom,Tile store,Tile store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"WH2Q+CRC, Babupur, Jharkhand 816102",816102,24.9010312,87.58952359999999,ChIJB1UHNwCB-jkRYvGk5f0kOVs,https://www.google.com/maps/place/?q=place_id:ChIJB1UHNwCB-jkRYvGk5f0kOVs,part_382,2026-09-20 20:19:36,2481
Kajaria Tile's Showroom,Tile and Marble Showroom,Tile store,Tile store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 92581 32285,N/A,3.3,,"6JJW+7X5, Stadium Rd, Chota Panchgar, Sahibganj, Santinagar, Jharkhand 816109",Chota Panchgar,25.2307608,87.6474623,ChIJ4yShxKyZ-jkRLCc27ZvygsE,https://www.google.com/maps/place/?q=place_id:ChIJ4yShxKyZ-jkRLCc27ZvygsE,part_382,2026-09-20 20:19:36,2482
"Ranabai Tiles, Marbles & Granite",Tile and Marble Showroom,Flooring store,Flooring store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 63505 24291,N/A,3.0,,"near krishi bhawan, Premnagar, Chota Panchgar, Sahibganj, Sahibganj PART, Jharkhand 816109","Premnagar, Chota Panchgar",25.2330199,87.660197,ChIJmXo437eZ-jkR-PyW8WNkXPM,https://www.google.com/maps/place/?q=place_id:ChIJmXo437eZ-jkR-PyW8WNkXPM,part_382,2026-09-20 20:19:36,2483
Kajaria Tiles Authorised Showroom - Naresh Trading Co,Tile and Marble Showroom,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 94315 17255,https://dealers.kajariaceramics.com/kajaria-tiles-in-jharkhand-sahibganj-gur-bazar-29669,3.9,,"Naresh Trading Co, Mahajan Patti Rd, Gur Bazar, Sahibganj, Jharkhand 816109",Gur Bazar,25.244999999999997,87.62899999999999,ChIJsyvtAgiZ-jkRY6jab6M85tw,https://www.google.com/maps/place/?q=place_id:ChIJsyvtAgiZ-jkRY6jab6M85tw,part_382,2026-09-20 20:19:36,2484
RUHI MARBLE & TILES,Tile and Marble Showroom,Marble supplier,"Marble supplier, Home goods store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 91225 39103,N/A,5.0,,"Fulwaria Chowk, Rajmahal, Samaspur, Jharkhand 816108",816102,25.026829,87.8350552,ChIJ2Y5AIACN-jkRZqNJiDeyFB8,https://www.google.com/maps/place/?q=place_id:ChIJ2Y5AIACN-jkRZqNJiDeyFB8,part_382,2026-09-20 20:19:36,2485
Marble House,Tile and Marble Showroom,Marble supplier,"Marble supplier, Bathroom supply store, Granite supplier, Tile store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 96934 33100,N/A,,,"BIG BLACK GATE , CHAITI DURGA, Rasulpur Dahla, Sahibganj, Jharkhand 816109",Rasulpur Dahla,25.239070899999998,87.6225255,ChIJ6cZTSBOZ-jkRd_glZf8bZb4,https://www.google.com/maps/place/?q=place_id:ChIJ6cZTSBOZ-jkRd_glZf8bZb4,part_382,2026-09-20 20:19:36,2486
"Gourav marbles ,kajaria",Tile and Marble Showroom,Tile store,Tile store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 79033 68532,N/A,5.0,,"near be sonalika tractor showroom, Saharkol, Pakur, Jharkhand 816107",816102,24.6426907,87.8098961,ChIJc16vqxxp-jkRDwz3Pc3fqbE,https://www.google.com/maps/place/?q=place_id:ChIJc16vqxxp-jkRDwz3Pc3fqbE,part_382,2026-09-20 20:19:36,2487
Ruhi tiles and marble,Tile and Marble Showroom,Marble supplier,"Marble supplier, Store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,,"Fulwarya, Chowk, Rajmahal, Jharkhand 816108",816102,25.0542745,87.83088289999999,ChIJoRh0j_CN-jkRY4uMqhLl82Q,https://www.google.com/maps/place/?q=place_id:ChIJoRh0j_CN-jkRY4uMqhLl82Q,part_382,2026-09-20 20:19:36,2488
Kaliachak Tiles House,Tile and Marble Showroom,Tile store,"Tile store, Granite supplier, Marble supplier",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 77186 81920,https://www.facebook.com/kaliachak.tiles.house.2025?mibextid=ZbWKwL,5.0,,"near BDO Office Baliadanga, Kaliachak, Malda, West Bengal 732201",816102,24.872698,88.0317311,ChIJ8S4YkmtX-jkR1Mm0ltn7vU4,https://www.google.com/maps/place/?q=place_id:ChIJ8S4YkmtX-jkR1Mm0ltn7vU4,part_382,2026-09-20 20:19:36,2489
