business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Data entry,CRM Data Enrichment Companies,Data Entry Service Provider,"Data Entry Service Provider, Service establishment",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"Data entry, 816102, India",816102,25.2289337,87.6445269,ChIJPZcUtruZ-jkRRuNOuDBldf8,https://www.google.com/maps/place/?q=place_id:ChIJPZcUtruZ-jkRRuNOuDBldf8,part_382,2026-09-20 20:19:59
FirmBeginners It Solutions Pvt Ltd,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 70043 67237,https://worksaar.com/,5.0,,"H No - 95-A, Rajkumar Nagar, Jharkhand State Highway 16, Fasia Dangal, Godda, Jharkhand 814133",Fasia Dangal,24.817999999999998,87.21212799999999,ChIJmx2nDXX18DkRcdzuaxPziKw,https://www.google.com/maps/place/?q=place_id:ChIJmx2nDXX18DkRcdzuaxPziKw,part_382,2026-09-20 20:19:59
IT Decoder,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,http://www.itdecoder.com/,5.0,,"2nd Floor, Zila Parishad Market Complex, Sahibganj, Jharkhand 816109",816102,25.2440784,87.6316743,ChIJszrVmXCZ-jkRfYDR5wsKHr8,https://www.google.com/maps/place/?q=place_id:ChIJszrVmXCZ-jkRfYDR5wsKHr8,part_382,2026-09-20 20:19:59
Data intry Jharkhand sahibganj,CRM Data Enrichment Companies,Database Management Company,Database Management Company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"At- Barapachgarh jirwabari, po+dis - sahibganj, pin - 816109, state - jhakhand, Sahibganj, Jharkhand 816109","Jirwabari, Chota Panchgar",25.236237199999998,87.6554781,ChIJHcW3hZOZ-jkR9GMx20f421A,https://www.google.com/maps/place/?q=place_id:ChIJHcW3hZOZ-jkR9GMx20f421A,part_382,2026-09-20 20:19:59
Codestam Technologies,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 82288 40065,https://codestam.com/,5.0,,"1st floor, plot number 1510, Purulia Rd, near Sarala Birla Public School, Ranchi, Radhe Nagar, Jharkhand 835103",816102,23.355308599999997,85.40984189999999,ChIJj28-QLd8BiwRTNSWLktVVKo,https://www.google.com/maps/place/?q=place_id:ChIJj28-QLd8BiwRTNSWLktVVKo,part_382,2026-09-20 20:20:00
Ionfirm Corporation,CRM Data Enrichment Companies,Software company,"Software company, Computer support and services, Database Management Company, Service establishment, Marketing consultant",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,https://ionfirm.com/,5.0,,"Ionfirm Corporation, 816102, India",816102,14.157641199999999,-16.7424939,ChIJ0_89q3oPWyAR3YC-LEczjqs,https://www.google.com/maps/place/?q=place_id:ChIJ0_89q3oPWyAR3YC-LEczjqs,part_382,2026-09-20 20:20:00
A software company,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,http://udhwa.com/,,,"XR4M+V55, Udhwa, Lalbathan, Jharkhand 816108",Udhwa,24.9571453,87.8329895,ChIJZ31HNvqL-jkR7h5SPf2lxOI,https://www.google.com/maps/place/?q=place_id:ChIJZ31HNvqL-jkR7h5SPf2lxOI,part_382,2026-09-20 20:20:00
Dreamtech software and services private limited,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 89867 55046,N/A,3.9,,"Malabar Enclave, Sirom Toly, Kishan Singh Colony, Bariatu Housing Colony, Ranchi, Jharkhand 834011","Sirom Toly, Kishan Singh Colony, Bariatu Housing Colony",23.3499923,85.3299973,ChIJbTpJQqPh9DkRTcDww6IGl-U,https://www.google.com/maps/place/?q=place_id:ChIJbTpJQqPh9DkRTcDww6IGl-U,part_382,2026-09-20 20:20:01
Nixon Dynamic Solutions,CRM Data Enrichment Companies,Software company,Software company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 90743 83871,https://nixondynamic.com/,5.0,,"92, Biharo, Jharkhand 825320",816102,24.120798999999998,85.7449735,ChIJ6b5i3wSH8zkRADXgqDAFrO4,https://www.google.com/maps/place/?q=place_id:ChIJ6b5i3wSH8zkRADXgqDAFrO4,part_382,2026-09-20 20:20:01
CodeKinetix Private Limited,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"CodeKinetix Private Limited, 816102, India",816102,21.0680074,82.7525294,ChIJNY_btMZ8rQoRhGFC8misss4,https://www.google.com/maps/place/?q=place_id:ChIJNY_btMZ8rQoRhGFC8misss4,part_382,2026-09-20 20:20:01
CoderFD,CRM Data Enrichment Companies,Website designer,"Website designer, Graphic designer",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 77838 37501,N/A,5.0,,"Hill Rd, Mihijam, Jharkhand 815354",816102,23.8552385,86.8845597,ChIJG5ZIg2XZ9jkR1CL_SzgQ8t8,https://www.google.com/maps/place/?q=place_id:ChIJG5ZIg2XZ9jkR1CL_SzgQ8t8,part_382,2026-09-20 20:20:01
techinfoBiT Services: Adaptive Digital Solutions,CRM Data Enrichment Companies,Website designer,"Website designer, Service establishment",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 88779 59595,https://techinfobit.com/services,5.0,,"techinfoBiT Services: Adaptive Digital Solutions, 816102, India",816102,12.987976999999999,77.6219718,ChIJ2bqvxkBVu6QRXJx0wuOI0og,https://www.google.com/maps/place/?q=place_id:ChIJ2bqvxkBVu6QRXJx0wuOI0og,part_382,2026-09-20 20:20:01
