business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAMIM MEDICAL,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 97985 48602,N/A,5.0,1.0,"Udhwa Chowk, Road, Rajmahal, Jharkhand 816108",816102,24.971733099999998,87.8444911,ChIJubUN6aWL-jkRgbzcWKBlld4,https://www.google.com/maps/place/?q=place_id:ChIJubUN6aWL-jkRgbzcWKBlld4,part_382,2026-09-20 20:19:30
Aditya Medicare,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,4.3,3.0,"VQ3G+5PF, Sahibganj, Jharkhand 816101",816102,24.8529427,87.77678499999999,ChIJvxHwI1xh-jkRkOyaAg1LPNY,https://www.google.com/maps/place/?q=place_id:ChIJvxHwI1xh-jkRkOyaAg1LPNY,part_382,2026-09-20 20:19:30
Adit Medical,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 74848 55847,N/A,5.0,2.0,"Main Rd, near Station chowk, Naya Tola, Barharwa, Jharkhand 816101",Naya Tola,24.8579537,87.7737097,ChIJp3-piydj-jkREmDn6qjKJYE,https://www.google.com/maps/place/?q=place_id:ChIJp3-piydj-jkREmDn6qjKJYE,part_382,2026-09-20 20:19:30
Rx MEDIMART,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 91534 29952,N/A,5.0,6.0,"Court road, Aajad Nagar, Chota Panchgar, Sahibganj, Santinagar, Jharkhand 816109","Aajad Nagar, Chota Panchgar",25.230150199999997,87.64756249999999,ChIJTTAk4ASZ-jkRgNEYwagcNqY,https://www.google.com/maps/place/?q=place_id:ChIJTTAk4ASZ-jkRgNEYwagcNqY,part_382,2026-09-20 20:19:30
medicine supply,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"Barharwa, Jharkhand 816101",816102,24.854475299999997,87.7734839,ChIJl8ee4PBj-jkRhLyH_caiGP0,https://www.google.com/maps/place/?q=place_id:ChIJl8ee4PBj-jkRhLyH_caiGP0,part_382,2026-09-20 20:19:30
P.U.Medical Agency,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99553 78531,N/A,5.0,6.0,"VQ3F+C2W, Ratanpur, Jharkhand 816101",816102,24.8536128,87.7725798,ChIJhePiPyZi-jkRRiAlYvNTuko,https://www.google.com/maps/place/?q=place_id:ChIJhePiPyZi-jkRRiAlYvNTuko,part_382,2026-09-20 20:19:30
Suman Pharma,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99551 47727,N/A,5.0,1.0,"Kamla kunj, Barharwa, Jharkhand 816101",816102,24.8606664,87.7726564,ChIJ0fUhIJf9-jkRZFSVRRn_fYc,https://www.google.com/maps/place/?q=place_id:ChIJ0fUhIJf9-jkRZFSVRRn_fYc,part_382,2026-09-20 20:19:30
TAPOMANI TRADERS BARHARWA,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 91992 55257,N/A,4.7,9.0,"NH114A, Ratanpur, Jharkhand 816101",816102,24.8538019,87.77075599999999,ChIJAf7S6SVi-jkR1OM2yrgp3bA,https://www.google.com/maps/place/?q=place_id:ChIJAf7S6SVi-jkR1OM2yrgp3bA,part_382,2026-09-20 20:19:30
Madhu Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,3.0,1.0,"2R7M+76R, Unnamed Road, Lakhipur Sajanpur, Jharkhand 816108",816102,25.013230399999998,87.8330225,ChIJSzoK17aN-jkRh449JoQFVKw,https://www.google.com/maps/place/?q=place_id:ChIJSzoK17aN-jkRh449JoQFVKw,part_382,2026-09-20 20:19:30
SM MEDICAL,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,1.0,"3R3P+5G7, Rajmahal, Jharkhand 816108",816102,25.052923699999997,87.8362922,ChIJBUUZCwCN-jkRr_30q30JtLE,https://www.google.com/maps/place/?q=place_id:ChIJBUUZCwCN-jkRr_30q30JtLE,part_382,2026-09-20 20:19:30
PUJA PHARMA,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"Dumka Sahibganj Rd, Kedwe, Jharkhand 816102",816102,24.7895772,87.56206879999999,ChIJyWHAn3R_-jkRbKA2aOm3GM8,https://www.google.com/maps/place/?q=place_id:ChIJyWHAn3R_-jkRbKA2aOm3GM8,part_382,2026-09-20 20:19:30
Jannati medical,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"Shantinagar, Barharwa, Dharampur, Jharkhand 816110",816102,24.8519436,87.7618878,ChIJOQl2hCJj-jkRWLbY0qAggJ0,https://www.google.com/maps/place/?q=place_id:ChIJOQl2hCJj-jkRWLbY0qAggJ0,part_382,2026-09-20 20:19:30
Noor medical hall fulbariya,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,,,"3R3J+P92, Rajmahal, Jharkhand 816108",816102,25.0542745,87.83088289999999,ChIJzxJ6bwCN-jkRntGMYuI9-uM,https://www.google.com/maps/place/?q=place_id:ChIJzxJ6bwCN-jkRntGMYuI9-uM,part_382,2026-09-20 20:19:30
Jayant Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 91623 05095,N/A,4.0,1.0,"Amarpur, Pathra, Jharkhand 814133",816102,24.7740938,87.2369545,ChIJN8wHTB-N8DkR6snQN300lTM,https://www.google.com/maps/place/?q=place_id:ChIJN8wHTB-N8DkR6snQN300lTM,part_382,2026-09-20 20:19:30
New Neha Raj Medical Hall,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99559 11440,N/A,5.0,1.0,"Referal, Hospital Rd, near Mona X-ray, Mahagama, Jharkhand 814154",816102,25.021576099999997,87.3229925,ChIJldYOSbhl8DkR4n3uUY7xBs0,https://www.google.com/maps/place/?q=place_id:ChIJldYOSbhl8DkR4n3uUY7xBs0,part_382,2026-09-20 20:19:30
ALEENA PHARMA,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,1.0,"JQW5+JV4, Bipatpur, Jharkhand 816107",816102,24.646503799999998,87.7596987,ChIJAxggXGtv-jkRcy9TJkLTBbA,https://www.google.com/maps/place/?q=place_id:ChIJAxggXGtv-jkRcy9TJkLTBbA,part_382,2026-09-20 20:19:30
Ananya medical,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 84095 32525,N/A,,,"lakir road, Naya Tola, Barharwa, Jharkhand 816101",Naya Tola,24.8528742,87.777203,ChIJH-mjV4Nh-jkRaUJ3x5TtXes,https://www.google.com/maps/place/?q=place_id:ChIJH-mjV4Nh-jkRaUJ3x5TtXes,part_382,2026-09-20 20:19:30
Uma distributor,Medical Equipment Supplier,Medical supply store,"Medical supply store, Pharmacy",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 70047 88916,N/A,,,"Rajmahal road, near railway crossing, Barharwa, Jharkhand 816101",816102,24.862397899999998,87.77248279999999,ChIJQ5LZSABj-jkRNb_o5Ondjx4,https://www.google.com/maps/place/?q=place_id:ChIJQ5LZSABj-jkRNb_o5Ondjx4,part_382,2026-09-20 20:19:30
Dynamic Medical Agency,Medical Equipment Supplier,Medical supply store,Medical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,1.0,"At, Railway Fatak, Bank Colony, Ishakpur, Pakur, Jharkhand 816107",Bank Colony,24.638310999999998,87.844055,ChIJOwn3h9Bp-jkRLcP2Y0Ru30k,https://www.google.com/maps/place/?q=place_id:ChIJOwn3h9Bp-jkRLcP2Y0Ru30k,part_382,2026-09-20 20:19:30
MEDILIFE SURGICAL,Medical Equipment Supplier,Surgical supply store,Surgical supply store,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 99315 78042,N/A,4.9,,"Pahadi Mandir Lane, Jhárkhand, Ratu Rd, in front of Durga Mandir & Sai Mandir, near HDFC BANK, Ranchi, Jharkhand 834001",Kumhartoli,23.3792366,85.3123976,ChIJlT4Wi-Xg9DkRvzYNpOulrGQ,https://www.google.com/maps/place/?q=place_id:ChIJlT4Wi-Xg9DkRvzYNpOulrGQ,part_382,2026-09-20 20:19:31
