business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Powerhelia Energy Solutions,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Consultant, Electrical installation service, Solar energy system service",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 76018 07271,https://www.powerhelia.com/,4.9,89.0,"Shop no. LL02, Hari Om Tower, Circular Rd, Ranchi, Jharkhand 834001","Upper Burdwan Compound, P&T Colony, Lalpur",23.375911799999997,85.3336324,ChIJ-Xv5JRPh9DkRUGgH0xJS6Q0,https://www.google.com/maps/place/?q=place_id:ChIJ-Xv5JRPh9DkRUGgH0xJS6Q0,part_382,2026-09-20 20:19:38
Livguard - Galaxy Electronics,Solar Rooftop and Inverter Dealer,Battery Store,"Battery Store, Electrical supply store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 80511 57206,https://www.livguard.com/battery-inverter-dealers/livguard-galaxy-electronics-battery-store-jagatpur-pakur-302091/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Harindanga Bazaar Hiranpur, near Railway Gate, Jagatpur, Pakur, Jharkhand 816107",816102,24.6763071,87.8412173,ChIJdRd32atp-jkRzTgmZTOyPGw,https://www.google.com/maps/place/?q=place_id:ChIJdRd32atp-jkRzTgmZTOyPGw,part_382,2026-09-20 20:19:38
RANI ENTERPRISES,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 79030 90280,https://paanienergy.com/,4.9,61.0,"Sarveshwari Niketan, Radium Rd, Ahirtoli, Ranchi, Jharkhand 834001",Ahirtoli,23.380819499999998,85.32379139999999,ChIJ1W0TJlfh9DkRNF5OSfLEgOA,https://www.google.com/maps/place/?q=place_id:ChIJ1W0TJlfh9DkRNF5OSfLEgOA,part_382,2026-09-20 20:19:38
Arise SK Power Solutions,Solar Rooftop and Inverter Dealer,Electronics manufacturer,Electronics manufacturer,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 77649 75409,http://www.arisesk.com/,4.9,65.0,"House No-270, beside M P TOWER, near Bank OF Baroda, Dindli Basti, Adityapur, Jamshedpur, Jharkhand 831013","Dindli Basti, Adityapur",22.7879968,86.1703308,ChIJxY17Sbfk9TkRP_ibmpD_nKY,https://www.google.com/maps/place/?q=place_id:ChIJxY17Sbfk9TkRP_ibmpD_nKY,part_382,2026-09-20 20:19:38
INDIRA SOLAR,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 78702 51506,https://indirasolar.com/,4.9,63.0,"A Mills Area, Chakki Line, near Teenkoniya Hotel, Hirasingh Bagan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.801731,86.20555159999999,ChIJMSjZpmXl9TkRgMFzA04wtCg,https://www.google.com/maps/place/?q=place_id:ChIJMSjZpmXl9TkRgMFzA04wtCg,part_382,2026-09-20 20:19:38
Bharat Saur Urja,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Electrical products wholesaler, Solar energy system service",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 80928 38008,https://bharatsaururja.com/,4.8,92.0,"Shop no. 14, Shoping Complex, Bari Co-operative Colony, Siwandih, Bokaro Steel City, Tentulia, Jharkhand 827012","Bari Co-operative Colony, Siwandih",23.636575099999998,86.120161,ChIJqUzgG28j9DkRi_we_XMSTv8,https://www.google.com/maps/place/?q=place_id:ChIJqUzgG28j9DkRi_we_XMSTv8,part_382,2026-09-20 20:19:38
Shukaaya Energy & Automation Private Limited,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Automation company, Home automation company",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 97710 80657,https://www.shukaaya.com/,5.0,5.0,"Nirmala Kunj, Indraprastha Colony, PO, near Sudha Dairy, Shridungri, Gamharia, Adityapur, Jamshedpur, Jharkhand 832109","Shridungri, Gamharia",22.804893699999997,86.1251228,ChIJZ1Drtbfl9TkR97Gb8kYCfgs,https://www.google.com/maps/place/?q=place_id:ChIJZ1Drtbfl9TkR97Gb8kYCfgs,part_382,2026-09-20 20:19:38
AARUSH SOLAR,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar Energy Company",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 98351 63223,N/A,3.7,3.0,"Road no 13, Birsa Chowk, Hawai Nagar, Ranchi, Jharkhand 834003","Hawai Nagar, Gitilpiri",23.313104799999998,85.317077,ChIJ4dNGzGrh9DkRC21w6mBS0YM,https://www.google.com/maps/place/?q=place_id:ChIJ4dNGzGrh9DkRC21w6mBS0YM,part_382,2026-09-20 20:19:38
Solar Product Dealers - Loom Solar Ranchi,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar hot water system supplier, Solar photovoltaic power plant",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,4.5,17.0,"1O - 1st Floor Bimlanand Tower, Ranchi, Jharkhand 834001","Pathalkudwa, Nayatoli",23.3681746,85.32553449999999,ChIJ-9WMiirh9DkRA8leLobja4Y,https://www.google.com/maps/place/?q=place_id:ChIJ-9WMiirh9DkRA8leLobja4Y,part_382,2026-09-20 20:19:38
BABA SOLAR,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Battery Store, Electronics manufacturer",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 70208 27793,http://www.babasolarmgr.in/,4.9,99.0,"maa ambe chowk, sajuber road, near cold store, Dilawer Pur, Munger, Bihar 811201",Dilawer Pur,25.370932099999997,86.4789222,ChIJ73rAMBOR7TkRTc5v2HFHXaw,https://www.google.com/maps/place/?q=place_id:ChIJ73rAMBOR7TkRTc5v2HFHXaw,part_382,2026-09-20 20:19:38
BRIGHT INDIA POWER PROJECT,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 95996 24894,https://www.brightindiapowerproject.com/,4.9,9.0,"PCX7+7XJ, Unnamed Road, Rajapur, Jharia, Jharkhand 828111",Rajapur,23.748212499999998,86.41489059999999,ChIJc_FvPACj9jkR3hbalcHN-tk,https://www.google.com/maps/place/?q=place_id:ChIJc_FvPACj9jkR3hbalcHN-tk,part_382,2026-09-20 20:19:38
Ghar Ghar Solar,Solar Rooftop and Inverter Dealer,Solar photovoltaic power plant,"Solar photovoltaic power plant, Service establishment",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,https://www.ghargharsolar.in/,5.0,41.0,"Ghar Ghar Solar, 816102, India",816102,25.8904328,85.8070058,ChIJN4JifWvYe6oRKtjKRvF-toY,https://www.google.com/maps/place/?q=place_id:ChIJN4JifWvYe6oRKtjKRvF-toY,part_382,2026-09-20 20:19:38
Jamshedpur batteries,Solar Rooftop and Inverter Dealer,Battery Store,"Battery Store, Copy shop, Electrical supply store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 77820 64733,N/A,4.7,12.0,"rk tower, Aditypur 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Adityapur",22.7865225,86.1664752,ChIJ_8yAwqLk9TkRTQTmTC0fwFU,https://www.google.com/maps/place/?q=place_id:ChIJ_8yAwqLk9TkRTQTmTC0fwFU,part_382,2026-09-20 20:19:38
