business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ADR Paver industry,Cement and Sand Supplier,Brick Manufacturer,Brick Manufacturer,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 82498 02346,N/A,5.0,106,"ADR PAVER INDUSTRY, RAILWAY STSTION, near COL BACK SIDING, OF, Dumka, Jharkhand 814101",OF,24.2908942,87.2558689,ChIJ1SwSjRy38DkRGyr088fTEX8,https://www.google.com/maps/place/?q=place_id:ChIJ1SwSjRy38DkRGyr088fTEX8,part_382,2026-09-20 20:20:19
Steel Point Enterprises,Cement and Sand Supplier,Cement Supplier,Cement Supplier,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,N/A,5.0,3,"near Railway station, Rasikpur, Dumka, Jharkhand 814101",816103,24.2868419,87.2565006,ChIJO0wss5638DkRixCkGj9L98U,https://www.google.com/maps/place/?q=place_id:ChIJO0wss5638DkRixCkGj9L98U,part_382,2026-09-20 20:20:19
Krishna Agency,Cement and Sand Supplier,Building materials supplier,Building materials supplier,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 94313 10688,N/A,4.6,5,"764R+965, Purana Dumka, Dumka, Jharkhand 814101",Purana Dumka,24.255893699999998,87.240594,ChIJY6dwVzS28DkRWqLbcdxBSlg,https://www.google.com/maps/place/?q=place_id:ChIJY6dwVzS28DkRWqLbcdxBSlg,part_382,2026-09-20 20:20:19
Hardware & Cement Store,Cement and Sand Supplier,Cement Supplier,Cement Supplier,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,N/A,4.5,4,"Main Road Kelibad, Baskupi, Madhupur, Jharkhand 815357",816103,24.174220299999998,86.66926769999999,ChIJEcY93Ioz8TkRG5X04YVYD3o,https://www.google.com/maps/place/?q=place_id:ChIJEcY93Ioz8TkRG5X04YVYD3o,part_382,2026-09-20 20:20:19
SM TRADERS || Building Materials Suppliers || Wholesale Sand Suppliers,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Cement Supplier, Construction equipment supplier, Metal supplier, Ready mix concrete supplier, Building materials supplier",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 91299 51869,https://www.smtraderssandsuppliersretailer.in/,5.0,55,"Shop No.3, Andheri (E, Hyde Park, Saki Vihar Rd, opposite Ansa End Estate, Ganesh Nagar, Marol, Andheri East, Mumbai, Maharashtra 400072","Ganesh Nagar, Marol, Andheri East",19.111117,72.887772,ChIJaxBqpU7H5zsRc6E5jJU2UtM,https://www.google.com/maps/place/?q=place_id:ChIJaxBqpU7H5zsRc6E5jJU2UtM,part_382,2026-09-20 20:20:20
Anilesh construction Pvt. Ltd.,Cement and Sand Supplier,Sand & gravel supplier,Sand & gravel supplier,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 98270 38901,N/A,4.9,54,"Ratahara -shilpara, Ring road, in front of Garg filling station, behind sonalika tractor agency, Gadariya, Madhya Pradesh 486005",816103,24.528346199999998,81.3428404,ChIJmaR-On1RhDkRaomPaz_5sEE,https://www.google.com/maps/place/?q=place_id:ChIJmaR-On1RhDkRaomPaz_5sEE,part_382,2026-09-20 20:20:20
M Sand Suppliers Bangalore,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Construction Material Wholesaler, Building materials supplier",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 81231 71719,http://msandsuppliers.co.in/,4.7,71,"3rd Ganga Main Road, Begur Rd, Maruthi Layout, Devarachikkana Halli, Bengaluru, Karnataka 560114","Maruthi Layout, Devarachikkana Halli",12.888750499999999,77.621034,ChIJIaEhwvMVrjsREpyGbHxkSl4,https://www.google.com/maps/place/?q=place_id:ChIJIaEhwvMVrjsREpyGbHxkSl4,part_382,2026-09-20 20:20:20
Druvi Infrastructures (M sand Manufacturer and supplier),Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Brick Manufacturer, Building consultant, Building materials market, Concrete product supplier, Construction Material Wholesaler, Ready mix concrete supplier, Building materials supplier",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 80500 25585,N/A,4.8,26,"3rd Floor, Sri Krishna Residency, police station, Druvi Infrastructures #43 F-301 Sri Renu Nivasas, near subramanyapura, Mookambika Layout, Bengaluru, Karnataka 560111","Mookambika Layout, Maruthi Layout, Subramanyapura",12.897486299999999,77.5504555,ChIJmzKHFhw_rjsR94jn1GkN8_g,https://www.google.com/maps/place/?q=place_id:ChIJmzKHFhw_rjsR94jn1GkN8_g,part_382,2026-09-20 20:20:20
"KING SAND SUPPLY | M sand, River sand, Blue Metal Suppliers",Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Aggregate supplier, Building materials market, Construction Material Wholesaler, Crushed stone supplier, Mining company, Quarry, Building materials supplier, Transportation service",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,https://www.kingsandsupply.com/,5.0,43,"No:2, Gandhinagar, Red Hills, Attanthangal, Tamil Nadu 600052","Gandhinagar, Red Hills",13.1941455,80.1719882,ChIJq1VljUp9UjoRGyUC05cNU5M,https://www.google.com/maps/place/?q=place_id:ChIJq1VljUp9UjoRGyUC05cNU5M,part_382,2026-09-20 20:20:20
Fatma Traders - Ambuja Cement,Cement and Sand Supplier,Cement Supplier,"Cement Supplier, Building materials store",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 96198 52182,https://dealers-nearme.ambujacement.com/fatma-traders-ambuja-cement-fatma-traders-cement-supplier-zakir-nagar-east-singhbhum-251994/Home?utm_source=locator&utm_medium=googleplaces,4.7,19,"No. 11, Road, Old Purulia Rd, Zakir Nagar, Mango, Jamshedpur, Jharkhand 831020","Zakir Nagar, Mango",22.830773999999998,86.201667,ChIJ77ik5rvj9TkRWODw_s12YCU,https://www.google.com/maps/place/?q=place_id:ChIJ77ik5rvj9TkRWODw_s12YCU,part_382,2026-09-20 20:20:20
Sant Steel,Cement and Sand Supplier,Construction Material Wholesaler,"Construction Material Wholesaler, Iron & Steel Store",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 93344 47826,N/A,4.1,54,"Sant Steel Imli Chowk, Tata Kandra Rd, near Football Ground, Adityapur1, Adityapur, Jamshedpur, Jharkhand 831013","Adityapur1, Adityapur",22.7867334,86.1611949,ChIJKQixwb3k9TkRlCalOF9wV10,https://www.google.com/maps/place/?q=place_id:ChIJKQixwb3k9TkRlCalOF9wV10,part_382,2026-09-20 20:20:20
RIVER SAND M SAND P SAND AVAILABLE,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Aggregate supplier, Brick Manufacturer, Cement Supplier, Construction Material Wholesaler",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 99419 66474,N/A,5.0,38,"Muthumari Amman Kovil street New subramanian Nagar, Chennai, Tamil Nadu 600095","Ganapathi Nagar, Vanagaram",13.0539819,80.1623424,ChIJNfMH_DxhUjoR93KPadF6PtU,https://www.google.com/maps/place/?q=place_id:ChIJNfMH_DxhUjoR93KPadF6PtU,part_382,2026-09-20 20:20:20
