business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BHAGAT COLLECTION,Mens Wear Showroom,Men's clothing store,Men's clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 62058 49482,N/A,4.0,,"Bhagat Clothes Store, Sarasdangal, Jharkhand 816103",816103,24.216969799999998,87.5931767,ChIJxWw-etsB-jkRm2GPPsM9Nhs,https://www.google.com/maps/place/?q=place_id:ChIJxWw-etsB-jkRm2GPPsM9Nhs,part_382,2026-09-20 20:20:07
TheArvindstore,Mens Wear Showroom,Shopping mall,Shopping mall,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 62011 46887,N/A,4.8,83.0,"767W+XPH, 1548, Thana Rd, Dumka, Jharkhand 814101",816103,24.2649503,87.2468767,ChIJ1xekbQC38DkRnFoLNbDysHk,https://www.google.com/maps/place/?q=place_id:ChIJ1xekbQC38DkRnFoLNbDysHk,part_382,2026-09-20 20:20:08
SHREE MAHALAXMI BASTRALAYA,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 94346 34255,N/A,4.0,10.0,"Bank Rd, Tematha, Bharkata, Mallarpur, Fatehpur, West Bengal 731216","Tematha, Bharkata",24.077504599999997,87.72619519999999,ChIJz-AdaQj3-TkRjio2DQkH9Z0,https://www.google.com/maps/place/?q=place_id:ChIJz-AdaQj3-TkRjio2DQkH9Z0,part_382,2026-09-20 20:20:08
Deo Trends Family Mart,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 77630 71055,N/A,4.9,94.0,"Markacho Main Rd, Bariardih, Chak, Jharkhand 825418",816103,24.4437137,85.82207729999999,ChIJc82I-tSX8zkRf-sOPTA4ebU,https://www.google.com/maps/place/?q=place_id:ChIJc82I-tSX8zkRf-sOPTA4ebU,part_382,2026-09-20 20:20:08
Saksham Collection,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 99345 55954,https://www.instagram.com/saksham_collection07?igsh=aHk1Z2Nzd2JtbjFiw,5.0,2.0,"769X+X2G, Bhagalpur Rd, Dumka, Jharkhand 814101",816103,24.2699437,87.2475788,ChIJY9WncgC38DkRWTjZl3Oquw8,https://www.google.com/maps/place/?q=place_id:ChIJY9WncgC38DkRWTjZl3Oquw8,part_382,2026-09-20 20:20:08
BROWN SHRIKE,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 91101 67791,http://0.9.41.47/,5.0,9.0,"Bhagalpur Rd, Dumka, Jharkhand 814101",816103,24.2725628,87.2455051,ChIJc9tdPQC38DkRoZhLldN7iXc,https://www.google.com/maps/place/?q=place_id:ChIJc9tdPQC38DkRoZhLldN7iXc,part_382,2026-09-20 20:20:08
Komal Collection,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,N/A,4.0,1.0,"Komal Collection, Marwari Chowk, Dumka, Jharkhand 814101",Marwari Chowk,24.2679553,87.24864319999999,ChIJfaKc95W38DkR52YiJdAyi1U,https://www.google.com/maps/place/?q=place_id:ChIJfaKc95W38DkR52YiJdAyi1U,part_382,2026-09-20 20:20:08
Singhania boutiques,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",N/A,N/A,4.0,4.0,"E20, Naya Para, Dumka, Jharkhand 814101",Naya Para,24.2718174,87.2442554,ChIJXSXnoLe38DkRZg64xsUaX5c,https://www.google.com/maps/place/?q=place_id:ChIJXSXnoLe38DkRZg64xsUaX5c,part_382,2026-09-20 20:20:08
Babu Saheb Tailors,Mens Wear Showroom,Clothing store,Clothing store,816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 99395 86980,N/A,5.0,134.0,"Hazi Farid building, Purulia Road, Chandankiyari, Jharkhand 828134",816103,23.5729683,86.3546753,ChIJm6l1PgCb9jkRn2EJZLdXy9E,https://www.google.com/maps/place/?q=place_id:ChIJm6l1PgCb9jkRn2EJZLdXy9E,part_382,2026-09-20 20:20:08
Mohan Men's World,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO",+91 95935 97784,N/A,4.2,312.0,"Ashram More, 26, Grand Trunk Rd, Asansol, West Bengal 713303",Pathak Bari,23.682819199999997,86.9832363,ChIJqz-r_Ccf9zkRs1O4Lyk6GwU,https://www.google.com/maps/place/?q=place_id:ChIJqz-r_Ccf9zkRs1O4Lyk6GwU,part_382,2026-09-20 20:20:08
