business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Angad Bhavan,Packers and Movers,Housing complex,Housing complex,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",N/A,N/A,5.0,1,"HV72+F43, Hamrol, Jharkhand 816107",816107,24.563673599999998,87.8504049,ChIJOWn_Dntr-jkRBr4aFBOIgAo,https://www.google.com/maps/place/?q=place_id:ChIJOWn_Dntr-jkRBr4aFBOIgAo,part_382,2026-09-20 20:23:09
Gandhipur Bridge,Packers and Movers,Bridge,Bridge,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",N/A,N/A,4.5,8,"MV4W+WM2, Gandhaipur, Jharkhand 816107",816107,24.6572654,87.8966506,ChIJsXU__o9D-jkR83PyqR1N36U,https://www.google.com/maps/place/?q=place_id:ChIJsXU__o9D-jkR83PyqR1N36U,part_382,2026-09-20 20:23:09
Tezz Packers And Movers Company,Packers and Movers,Packaging company,"Packaging company, Moving service",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 76777 25577,http://tezzpackersandmover.com/,4.9,233,"Kishoreganj, Samridhi Squre, Harmu Rd, Ranchi, Jharkhand 834001",Kumhartoli,23.3699236,85.3114597,ChIJVzErE1bg9DkRUge--22qiCk,https://www.google.com/maps/place/?q=place_id:ChIJVzErE1bg9DkRUge--22qiCk,part_382,2026-09-20 20:23:09
Amrit Packers And Movers,Packers and Movers,Packaging company,Packaging company,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 94711 58709,http://www.amritpackersmovers.com/,4.3,164,"Hanuman Market, Kunwar Singh Colony, Chass, Bokaro Steel City, Jharkhand 827013",Ramnagar Colony,23.6368187,86.1600733,ChIJsSdgnu4j9DkRFI6r1tQyous,https://www.google.com/maps/place/?q=place_id:ChIJsSdgnu4j9DkRFI6r1tQyous,part_382,2026-09-20 20:23:09
Swarnrekha Packers And Movers,Packers and Movers,Transportation service,Transportation service,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 94315 51675,https://swarnrekhapackersandmovers.com/,4.9,186,"Harmu Rd, opp. vishal mega mart, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.375335999999997,85.314295,ChIJLwlRmx3h9DkRE2-UujUY4HY,https://www.google.com/maps/place/?q=place_id:ChIJLwlRmx3h9DkRE2-UujUY4HY,part_382,2026-09-20 20:23:09
Dayal Packers And Movers,Packers and Movers,Packaging company,"Packaging company, Transportation service",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 73678 87766,https://dayalpacker.in/,4.8,196,"Naya Basti, Naya Bazar, Jugsalai, Bagbera, Jamshedpur, Jharkhand 831006","Naya Basti, Naya Bazar, Jugsalai",22.7699465,86.1808039,ChIJY1oPKxX99TkRAc9fJSYKb0E,https://www.google.com/maps/place/?q=place_id:ChIJY1oPKxX99TkRAc9fJSYKb0E,part_382,2026-09-20 20:23:09
MS PACKERS & MOVERS,Packers and Movers,Moving service,"Moving service, Courier service, Packaging company, Transportation service",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 62005 30296,http://mspackers.com/,4.9,508,"NH- 33, Dimna Basti Rd, near DVC Main Gate, opposite Vasundhara Estate, Dimna, Mango, Jamshedpur, Jharkhand 831012","Dimna, Mango",22.839983,86.221898,ChIJ1UcGu7Dj9TkR2AVj0EFwYQU,https://www.google.com/maps/place/?q=place_id:ChIJ1UcGu7Dj9TkR2AVj0EFwYQU,part_382,2026-09-20 20:23:09
South Packers And Movers,Packers and Movers,Transportation service,"Transportation service, Logistics service, Moving service, Packaging company, Storage facility",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 95705 91198,https://www.southpackersmovers.com/,4.9,220,"dindli basti sher e punjab chowk, Jamshedpur, Jharkhand 831013","Dindli Basti, Adityapur",22.7883089,86.163172,ChIJm1HkYr3k9TkR5CWGJ9xWg6M,https://www.google.com/maps/place/?q=place_id:ChIJm1HkYr3k9TkR5CWGJ9xWg6M,part_382,2026-09-20 20:23:09
Maa Bhawani packers & movers,Packers and Movers,Transportation service,Transportation service,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 99737 78307,https://www.maabhawanipackers.com/,4.5,581,"Near, Pahari Mandir Ln, Kumhartoli, Ranchi, Jharkhand 834001",Kumhartoli,23.3756259,85.31160589999999,ChIJc9OGM-Lg9DkRW1a2EjOx1U8,https://www.google.com/maps/place/?q=place_id:ChIJc9OGM-Lg9DkRW1a2EjOx1U8,part_382,2026-09-20 20:23:09
Yash Packers & Movers,Packers and Movers,Moving service,"Moving service, Trucking company",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 94711 10017,http://www.yashpackers.com/,4.5,266,"Garikhana Chowk, Harmu Rd, near P.N.B Bank, Jharkhand 834001",Upper Bazar,23.3728844,85.31363689999999,ChIJpWKAp-Lg9DkREMi_yqbo4p4,https://www.google.com/maps/place/?q=place_id:ChIJpWKAp-Lg9DkREMi_yqbo4p4,part_382,2026-09-20 20:23:09
Oms Packers And Movers in Ranchi,Packers and Movers,Packaging company,"Packaging company, Logistics service, Transportation service",816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 77392 04410,https://omspackers.in/,4.9,91,"Vikash, By Pass, Ranchi Ring Rd, Neori, Ranchi, Jharkhand 835217",816107,23.443162899999997,85.40181849999999,ChIJc8Py4vHl9DkRnj_FIud3kCk,https://www.google.com/maps/place/?q=place_id:ChIJc8Py4vHl9DkRnj_FIud3kCk,part_382,2026-09-20 20:23:09
हर्ष पैकर्स & मूवर्स-,Packers and Movers,Packaging company,Packaging company,816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO",+91 93080 05164,http://harshpackersmovers.com/,4.9,142,"Gautam Green City, Near, Booty More Rd, Vijay Nagar, Ohdar Village, Ranchi, Jharkhand 834012","Vijay Nagar, Ohdar Village",23.3991258,85.3882015,ChIJBbUJ4wbj9DkRs6FQrzJJtCE,https://www.google.com/maps/place/?q=place_id:ChIJBbUJ4wbj9DkRs6FQrzJJtCE,part_382,2026-09-20 20:23:09
