business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MSME PCI OFFICE SAHEBGANJ JHARKHAND,Offices,Association / Organization,Association / Organization,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,https://msmepromotioncouncilindia.com/,5.0,1.0,"1st FLOOR, GORABARI, Stadium Rd, near B.D.O. OFFICE, Hatai Parisar, Sahibganj, Jharkhand 816109",Hatai Parisar,25.2375507,87.6322199,ChIJY20XPwCZ-jkRhnT97kdqlXI,https://www.google.com/maps/place/?q=place_id:ChIJY20XPwCZ-jkRhnT97kdqlXI,part_382,2026-09-20 20:25:05
Adani sahebganj office,Offices,Corporate office,Corporate office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,4.5,2.0,"6JGW+R4W, Sahibganj PART, Jharkhand 816109",816109,25.2271222,87.6453179,ChIJ2Snm9hWZ-jkRLHQ8bs5bUA4,https://www.google.com/maps/place/?q=place_id:ChIJ2Snm9hWZ-jkRLHQ8bs5bUA4,part_382,2026-09-20 20:25:05
AME/Sahibganj office,Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,4.0,1.0,"6JWP+62G, Sahibganj, Jharkhand 816109",816109,25.2456559,87.6348647,ChIJNeowwHWZ-jkRg5bDWKXbKcE,https://www.google.com/maps/place/?q=place_id:ChIJNeowwHWZ-jkRg5bDWKXbKcE,part_382,2026-09-20 20:25:05
Forest Office,Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,4.3,4.0,"6JQM+G4W, Hatai Parisar, Sahibganj, Jharkhand 816109",Hatai Parisar,25.2388749,87.6328174,ChIJEcMiJceY-jkRyijIszk8IbU,https://www.google.com/maps/place/?q=place_id:ChIJEcMiJceY-jkRyijIszk8IbU,part_382,2026-09-20 20:25:05
Central Excise Office,Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,https://www.cbic.gov.in/,5.0,2.0,"Sri Hanumat Niwas, St Xaviers Rd, Sakrogarh, Sahibganj, Jharkhand 816109",Sakrogarh,25.243308199999998,87.6461095,ChIJ2a0O5JKY-jkRTVf6BcSqkzU,https://www.google.com/maps/place/?q=place_id:ChIJ2a0O5JKY-jkRTVf6BcSqkzU,part_382,2026-09-20 20:25:05
"Ultratech cement office, Sahibganj",Offices,Corporate office,Corporate office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,4.0,1.0,"6JJW+2XP, Stadium Rd, Chota Panchgar, Sahibganj, Sahibganj PART, Jharkhand 816109",Chota Panchgar,25.2301663,87.647109,ChIJq36CAQCZ-jkRl1bqRi3ITGw,https://www.google.com/maps/place/?q=place_id:ChIJq36CAQCZ-jkRl1bqRi3ITGw,part_382,2026-09-20 20:25:05
"OHE cum PSI DEPOT/TRD , SAHIBGANJ",Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,5.0,3.0,"6JRJ+7GF, Sahibganj, Jharkhand 816109",816109,25.2406921,87.6313095,ChIJqb3pPACZ-jkR411EddpLCm0,https://www.google.com/maps/place/?q=place_id:ChIJqb3pPACZ-jkR411EddpLCm0,part_382,2026-09-20 20:25:05
JSLPS BMMU OFFICE SAHEBGANJ,Offices,District government office,District government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,2.7,7.0,"6JHX+JM7, Chota Panchgar, Sahibganj, Santinagar, Jharkhand 816109",Chota Panchgar,25.229026899999997,87.6491636,ChIJFUOHo_qY-jkRDqgkak4wLjg,https://www.google.com/maps/place/?q=place_id:ChIJFUOHo_qY-jkRDqgkak4wLjg,part_382,2026-09-20 20:25:05
"SBM(G)OFFICE,SAHIBGANJ",Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,4.0,1.0,"JAP-9 Road, Sahibganj PART, Jharkhand 816109",816109,25.2251099,87.64583089999999,ChIJR4TKrYqZ-jkRTBtMpNPqHTk,https://www.google.com/maps/place/?q=place_id:ChIJR4TKrYqZ-jkRTBtMpNPqHTk,part_382,2026-09-20 20:25:05
Sahibganj helth office meain brance,Offices,Government office,Government office,816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO",N/A,N/A,,,"6JQW+64G, Sahibganj, Santinagar, Jharkhand 816109",816109,25.238053599999997,87.6453413,ChIJ5VFUawCZ-jkRU02YLtgJhcE,https://www.google.com/maps/place/?q=place_id:ChIJ5VFUawCZ-jkRU02YLtgJhcE,part_382,2026-09-20 20:25:05
