business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ShizzB Makeover & academy,Bridal Makeup Artist,Make-up artist,Make-up artist,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 79061 07631,N/A,4.7,,"Chowk, Shimla Bypass Rd, near Post Office, Subhash Nagar, Dehradun, Shewala Kala, Uttarakhand 248171",Subhash Nagar,30.293291999999997,77.99834179999999,ChIJb9Q7vcUrCTkRmTCGK52pKtc,https://www.google.com/maps/place/?q=place_id:ChIJb9Q7vcUrCTkRmTCGK52pKtc,part_382,2026-09-20 20:30:57
Beauty Hub Makeup Studio Academy,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 99329 40643,https://www.facebook.com/share/191v2U4gCG/,4.9,,"2nd floor, Police Station, Bagnan Station Rd N, near Bagnan, above Meddicure, Bagnan, West Bengal 711303",818142,22.466913899999998,87.9670568,ChIJUx677sibAjoRWxoNjZYW3aY,https://www.google.com/maps/place/?q=place_id:ChIJUx677sibAjoRWxoNjZYW3aY,part_382,2026-09-20 20:30:57
Akki Makeovers & Academy,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Beauty Parlour, Charter school, Educational institution",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 90245 19168,https://akkimakeovers.in/,4.9,,"Metro pillar no 789, housing complex Hari Om gahlot marg, Shop no 313, 1st floor, Dwarka Mor, Dwarka, Delhi, 110059","Dwarka Mor, Nishat Park, Sector 15 Dwarka, Dwarka",28.617202199999998,77.028567,ChIJtX-BIDQFDTkRl6037o4xfSU,https://www.google.com/maps/place/?q=place_id:ChIJtX-BIDQFDTkRl6037o4xfSU,part_382,2026-09-20 20:30:57
ARUNDHATI'S Makeover Studio And Academy,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 94319 54344,N/A,4.9,,"Bargachia - Hantal Rd, opposite Modern Nurshing Home, Bargachia, Bankul, West Bengal 711404",818142,22.6606073,88.1378989,ChIJ100A1hd_-DkRllrM2Ikc13M,https://www.google.com/maps/place/?q=place_id:ChIJ100A1hd_-DkRllrM2Ikc13M,part_382,2026-09-20 20:30:57
Makeover by Pooja Gowda,Bridal Makeup Artist,Make-up artist,Make-up artist,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 81051 87383,https://www.instagram.com/makeoverby_poojagowda,5.0,,"JR Enclave, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034","Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector",12.9283971,77.6370652,ChIJ2fTVvycVrjsRpFuAlIYgJj0,https://www.google.com/maps/place/?q=place_id:ChIJ2fTVvycVrjsRpFuAlIYgJj0,part_382,2026-09-20 20:30:57
Be Chique By Pallaavi,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 82798 90396,N/A,4.8,,"First Floor Khasra No 337/2, Pargana Parwa, Sahastradhara Rd, above Dominos, Old Mauza, Adhoiwala, Dehradun, Uttarakhand 248001","Old Mauza, Adhoiwala",30.323775899999998,78.06464749999999,ChIJt1R2Dt8pCTkRNd6JVnofjB0,https://www.google.com/maps/place/?q=place_id:ChIJt1R2Dt8pCTkRNd6JVnofjB0,part_382,2026-09-20 20:30:57
Donna Beauty Clinic,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Beauty Parlour, Nail salon",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 98913 26231,https://donnabeautyworld.in/,4.5,,"B 3, First Floor, R.K.Tower, Main Market, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh 201019","Sector 4, Vaishali",28.6432702,77.3400549,ChIJ____P9r6DDkRf9NKuRw5H9A,https://www.google.com/maps/place/?q=place_id:ChIJ____P9r6DDkRf9NKuRw5H9A,part_382,2026-09-20 20:30:57
Sohni Juneja : Best Bridal Makeup Artist in Dehradun,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 99999 63537,https://sohnijuneja.com/,4.6,116.0,"123, lane, opp. Sai Baba Devasthanam Sai Temple, Emerald Hills, Dehradun, Uttarakhand 248009","Emerald Hills, IAS Officers Colony, Rajpur",30.3809297,78.0860452,ChIJWUcs5pjXCDkRh7ccDT-T6BM,https://www.google.com/maps/place/?q=place_id:ChIJWUcs5pjXCDkRh7ccDT-T6BM,part_382,2026-09-20 20:30:57
Shalini make-up Studio & Academy,Bridal Makeup Artist,Make-up artist,Make-up artist,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 86683 29476,https://makupstudio.com/,4.5,35.0,"Baner Annex, Baner, Pune, Maharashtra 411045","Baner Annex, Baner",18.5574257,73.7665949,ChIJ4U_h-J2_wjsRFfhI85D8uuA,https://www.google.com/maps/place/?q=place_id:ChIJ4U_h-J2_wjsRFfhI85D8uuA,part_382,2026-09-20 20:30:57
Moumita'ss Makeup Artistry,Bridal Makeup Artist,Make-up artist,Make-up artist,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 98369 99119,https://moumitassmakeupartistry.in/,4.6,49.0,"Shivam Apartment, 368/D, SN Roy Rd, Sahapur, New Alipore, Kolkata, Flat2E, West Bengal 700038","Sahapur, New Alipore",22.5076496,88.3304208,ChIJ8V2wButxAjoRnz41MF2zEGk,https://www.google.com/maps/place/?q=place_id:ChIJ8V2wButxAjoRnz41MF2zEGk,part_382,2026-09-20 20:30:57
