business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SI FABRICATION - Metal Steel Fabricators in Bangalore,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Metal fabricator, Shed builder, Fabrication Engineer, Truss manufacturer",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 99003 62177,https://sifabrication.in/,4.9,77.0,"15, Y.V. ANNAIAH ROAD, POST, near VENKATESHWARA TEMPLE, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560111","Jarganahalli, Yelachenahalli, J. P. Nagar",12.8990001,77.5698233,ChIJaX3MjE8VrjsROfdK0mtmikM,https://www.google.com/maps/place/?q=place_id:ChIJaX3MjE8VrjsROfdK0mtmikM,part_382,2026-09-20 20:31:15
Fabricators India,Steel Fabrication Workshop,Laser Cutting Service Provider,"Laser Cutting Service Provider, Metal fabricator",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 90510 38888,http://www.fabricatorsindia.com/,4.2,16.0,"Rm No. 66, Chitrakoot Building, 230a, AJC Bose Rd, North Block, Bhowanipore, Kolkata, West Bengal 700020","North Block, Bhowanipore",22.5410209,88.35391829999999,ChIJFcjtq6h3AjoRzlnocuPgNPk,https://www.google.com/maps/place/?q=place_id:ChIJFcjtq6h3AjoRzlnocuPgNPk,part_382,2026-09-20 20:31:15
SAMRAJ ENGINEERING CONTROL (Pvt) LTD,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 94426 28601,http://www.samrajmetalfabricators.com/,4.4,63.0,"Mettupalayam, Tamil Nadu 631604",818142,12.8726773,79.9167452,ChIJZ-kPn5_yUjoR6qeHeEq_PQo,https://www.google.com/maps/place/?q=place_id:ChIJZ-kPn5_yUjoR6qeHeEq_PQo,part_382,2026-09-20 20:31:15
Bharathi Steel Building Solutions - PEB Manufacturer,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Badminton court, Building consultant, Civil engineering company, Real Estate Builders & Construction Company, Pickleball court, Roofing contractor, Shed builder, Steel construction company, Warehouse",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 98944 25882,http://www.pebsheds.com/,4.6,13.0,"22/5, Elumalai St, West Tambaram, Tambaram, Tamil Nadu 600045","West Tambaram, Tambaram",12.926067,80.1126486,ChIJd9RApHdfUjoRNxg3G54DCl4,https://www.google.com/maps/place/?q=place_id:ChIJd9RApHdfUjoRNxg3G54DCl4,part_382,2026-09-20 20:31:15
Steel Age Building System- Best Steel Construction company,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, General contractor, Metal construction company, Metal fabricator, Sheet metal contractor, Steel erector, Steel construction company, Steel framework contractor, Steelwork design service",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 97177 30426,https://www.steelagebuildingsystem.com/,4.8,37.0,"2nd floor, 224, 23rd Main Rd, 5th Phase, KR Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078","5th Phase, KR Layout, JP Nagar Phase 6, J. P. Nagar",12.9056245,77.58627659999999,ChIJ2TO9cv0VrjsRkwjPYIFt734,https://www.google.com/maps/place/?q=place_id:ChIJ2TO9cv0VrjsRkwjPYIFt734,part_382,2026-09-20 20:31:15
HOWRAH FABRICATORS,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 98744 80172,http://www.howrahfabricators.com/,4.8,5.0,"Ichapur, Howrah, West Bengal 711104",Ichapur,22.589733499999998,88.3063241,ChIJmVBwF8p5AjoR_8RgUIU00V8,https://www.google.com/maps/place/?q=place_id:ChIJmVBwF8p5AjoR_8RgUIU00V8,part_382,2026-09-20 20:31:15
Rohilla Engineering & Welding Works,Steel Fabrication Workshop,Fabrication Engineer,Fabrication Engineer,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 74048 08090,N/A,4.5,25.0,"50 Foot Road, Rohtak,, Dlf Colony, near Dav School, Rohtak, Haryana 124001",Sanjay Colony,28.8912533,76.59325299999999,ChIJv31htKmFDTkR7qGBUoeWQe4,https://www.google.com/maps/place/?q=place_id:ChIJv31htKmFDTkR7qGBUoeWQe4,part_382,2026-09-20 20:31:15
Sri Mahalakshmi Engineering Industries,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Industrial consultant, Industrial engineer, Mechanical contractor, Metal fabricator, Fabrication Engineer, Structural engineer, Water treatment plant",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 98840 37320,http://www.srimahalakshmiengineeringindustries.com/,5.0,2.0,"No,28,29, Geason housing colony, Galaxy Rd, Ponniaman Nagar, Kil Ayanambakkam, Thiruverkadu, Tamil Nadu 600095","Ponniaman Nagar, Kil Ayanambakkam",13.075536999999999,80.1532428,ChIJcatuw0xhUjoRmcq84yTdl4w,https://www.google.com/maps/place/?q=place_id:ChIJcatuw0xhUjoRmcq84yTdl4w,part_382,2026-09-20 20:31:15
Manabendra Metal Industries,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Manufacturer",818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 97354 18308,N/A,4.7,3.0,"Mansinhapur, West Bengal 711404",818142,22.6551731,88.1440995,ChIJq2OlB714AjoR3e5Ybl_B8nk,https://www.google.com/maps/place/?q=place_id:ChIJq2OlB714AjoR3e5Ybl_B8nk,part_382,2026-09-20 20:31:15
Top fabrication,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,818142,Jharkhand Circle,Ranchi Region,Dhanbad Division,Jhinaki BO,+91 88677 88588,N/A,4.9,,"126, 7th Main, Jain Temple Road, opp. Traffic Police Station, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","4th Block, Jayanagar",12.9282946,77.58166969999999,ChIJTxz-4GMVrjsRZ1LxfDX45HQ,https://www.google.com/maps/place/?q=place_id:ChIJTxz-4GMVrjsRZ1LxfDX45HQ,part_382,2026-09-20 20:31:15
