business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Everyday Herbal Beauty Care,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",N/A,http://www.everydayherbalcare.com/,4.9,73,"SURVEY NO. 272, SWASTIK COMMERCIAL CENTER, PLOT NO. 1, NH8A, opp. RAILWAY STATION, Samakhiali, Gujarat 370150",821101,23.3084152,70.5046972,ChIJGftdMPN0WjkRSF1zJijXcbI,https://www.google.com/maps/place/?q=place_id:ChIJGftdMPN0WjkRSF1zJijXcbI,part_382,2026-09-20 20:31:45
Patanjali Mega Store,Herbal and Ayurvedic Cosmetic Products,Indian grocery store,Indian grocery store,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 80843 69549,N/A,3.9,59,"Grand Trunk Rd, near Government Hospital, Mohania, Bihar 821109",821101,25.166017099999998,83.6222104,ChIJlcVjYlvhjTkRqiYiAhYYF7w,https://www.google.com/maps/place/?q=place_id:ChIJlcVjYlvhjTkRqiYiAhYYF7w,part_382,2026-09-20 20:31:45
Shri Herbal & Ayurveda,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 81039 94748,N/A,5.0,11,"Near Pendari Kanan Zoo Park, Mungeli, Main Road, Pendari, Chhattisgarh 495003",821101,22.1208617,82.0501759,ChIJKVX96H8NKDoRgz1gvTWebCc,https://www.google.com/maps/place/?q=place_id:ChIJKVX96H8NKDoRgz1gvTWebCc,part_382,2026-09-20 20:31:45
Patanjali Mega Store,Herbal and Ayurvedic Cosmetic Products,Indian grocery store,Indian grocery store,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 88048 50495,https://patanjalistores.patanjaliayurved.org/patanjali-mega-store-aditya-traders-ayurvedic-clinic-chandni-chowk-mohania-323835/Home?utm_source=locator&utm_medium=googleplaces,3.7,3,"Ward No 7, Chandani Chowk, near Government Hospital, near Govt Hospital, Mohania, Bihar 821109",821101,25.166055699999998,83.62189479999999,ChIJbzgo1ijhjTkRs9wn6l_7wss,https://www.google.com/maps/place/?q=place_id:ChIJbzgo1ijhjTkRs9wn6l_7wss,part_382,2026-09-20 20:31:47
"Himalaya Wellness Store - Nayatola, Patna",Herbal and Ayurvedic Cosmetic Products,Cosmetics store,"Cosmetics store, Beauty supply store, Health and beauty shop, Pet supply store",821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 91179 98562,https://storelocator.himalayawellness.in/himalaya-wellness/patna/Nayatola/himalaya-wellness-store-in-Nayatola-patna--385sjq/home,5.0,520,"Shop No B, Hasan Complex, Sapna, Ramnabagh, nearby Sapna Gents Parour, Naya Tola, Lalbagh, Patna, Bihar 800016","Naya Tola, Lalbagh",25.6154256,85.1644104,ChIJ_____85Y7TkRAgCrHimp2UE,https://www.google.com/maps/place/?q=place_id:ChIJ_____85Y7TkRAgCrHimp2UE,part_382,2026-09-20 20:31:47
Balu Herbals Ayurvedic Medical Store - Miyapur Shop,Herbal and Ayurvedic Cosmetic Products,Herb shop,"Herb shop, Ayurvedic clinic, Health food store, Herbal medicine store, Natural goods store",821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 81218 20004,https://baluherbals.com/,4.8,124,"H.No.1, 133, dist, near Bus Stop, Nandini Nagar, Ambedkar Nagar, Hafeezpet, Serilingampalle (M), Miyapur, Telangana 500049","Nandini Nagar, Ambedkar Nagar, Hafeezpet",17.495522299999998,78.357903,ChIJFc7nhGuSyzsRLGoX2XOVeug,https://www.google.com/maps/place/?q=place_id:ChIJFc7nhGuSyzsRLGoX2XOVeug,part_382,2026-09-20 20:31:47
Anjali churi ghar,Herbal and Ayurvedic Cosmetic Products,Cosmetics store,"Cosmetics store, Bangle Shop, General store, Gift shop",821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 90979 19250,N/A,4.4,19,"Kriparam pul, Chowk Bazar, Dilawer Pur, Munger, Bihar 811201",Dilawer Pur,25.3774727,86.47469559999999,ChIJxT0qfOTu8TkRLjJfOVBZvYs,https://www.google.com/maps/place/?q=place_id:ChIJxT0qfOTu8TkRLjJfOVBZvYs,part_382,2026-09-20 20:31:48
Sri Sona Ayurved Bhawan,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",N/A,N/A,4.4,9,"Islampur Road, Islampur, Muzaffarpur, Bihar 842001",Islampur,26.122026599999998,85.3848982,ChIJe9cw8u8Q7TkRkCV1xFusS8o,https://www.google.com/maps/place/?q=place_id:ChIJe9cw8u8Q7TkRkCV1xFusS8o,part_382,2026-09-20 20:31:48
Priyanshu Herbal India,Herbal and Ayurvedic Cosmetic Products,Wholesaler,"Wholesaler, Alternative medicine practitioner",821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 85214 75555,N/A,2.3,3,"WMPP+VVW Birauli, Chowk, Morsand, Bihar 848115",821101,25.937243199999998,85.687193,ChIJfUpyntOY7TkR_BxkT77CxFg,https://www.google.com/maps/place/?q=place_id:ChIJfUpyntOY7TkR_BxkT77CxFg,part_382,2026-09-20 20:31:48
Nancy shringar and general store,Herbal and Ayurvedic Cosmetic Products,Cosmetics store,Cosmetics store,821101,Bihar Circle,Patna HQ Region,Rohtas Division,"Bhabua SO, Akhlaspur BO, Darauli BO",+91 92639 05111,N/A,4.6,30,"IOC Colony Rd, Maurya Vihar Colony, Kumhrar, Patna, Bihar 800026","Maurya Vihar Colony, Kumhrar",25.5945908,85.1871444,ChIJx5GIOWZZ7TkRg85vPyXI8NQ,https://www.google.com/maps/place/?q=place_id:ChIJx5GIOWZZ7TkRg85vPyXI8NQ,part_382,2026-09-20 20:31:48
