business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CHAI - O - BAR,Tea Stall / Chai Cafe,Cafe,Cafe,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",+91 99112 82689,N/A,4.3,216.0,"Infront of RK College, Baingra, Madhubani, Bihar 847215",Baingra,26.3585104,86.0638644,ChIJ01dwJK7N7TkR6MxaWX--VV4,https://www.google.com/maps/place/?q=place_id:ChIJ01dwJK7N7TkR6MxaWX--VV4,part_382,2026-09-20 20:33:34
Mahadeva Tea Shop,Tea Stall / Chai Cafe,Tea store,Tea store,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",N/A,N/A,4.3,15.0,"Sasaram, Takia, Bihar 821115",821104,24.967691799999997,84.0102209,ChIJW07VJQC3jTkRLWK1fzLv9zM,https://www.google.com/maps/place/?q=place_id:ChIJW07VJQC3jTkRLWK1fzLv9zM,part_382,2026-09-20 20:33:34
TEA WORLD CAFE,Tea Stall / Chai Cafe,Tea store,Tea store,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",N/A,N/A,5.0,26.0,"chowk, opposite S.K High school, Pandaul, Bihar 847234",821104,26.2486379,86.07677919999999,ChIJ_QMqBpHP7TkRDK2CEW4r8ok,https://www.google.com/maps/place/?q=place_id:ChIJ_QMqBpHP7TkRDK2CEW4r8ok,part_382,2026-09-20 20:33:34
Kailash Tea Stall,Tea Stall / Chai Cafe,Cafe,"Cafe, Breakfast restaurant, Coffee shop, Restaurant",821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",N/A,N/A,4.0,42.0,"Kedarnath Road, Kalyani, Musahri, Muzaffarpur, Bihar 842001","Kalyani, Musahri",26.1199138,85.3917139,ChIJ0VpTXPcQ7TkRJUPczn6WCok,https://www.google.com/maps/place/?q=place_id:ChIJ0VpTXPcQ7TkRJUPczn6WCok,part_382,2026-09-20 20:33:34
Tea Leaf,Tea Stall / Chai Cafe,Cafe,Cafe,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",N/A,N/A,4.8,5.0,"Tarapuram, Andhra Pradesh 535579",821104,18.5030146,83.25136839999999,ChIJfxdBsgCYOzoRVw534-oGDA0,https://www.google.com/maps/place/?q=place_id:ChIJfxdBsgCYOzoRVw534-oGDA0,part_382,2026-09-20 20:33:34
Guru Tea Cafe,Tea Stall / Chai Cafe,Restaurant,Restaurant,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",+91 80840 62685,N/A,5.0,1.0,"00, Road, nearby Narayan Medical University, Jamuhar, Patna, Bihar 821305",821104,24.9443233,84.1019334,ChIJVTP3L7mvjTkRkWfhXCMHlZ0,https://www.google.com/maps/place/?q=place_id:ChIJVTP3L7mvjTkRkWfhXCMHlZ0,part_382,2026-09-20 20:33:34
CHAI SUTTA,Tea Stall / Chai Cafe,Restaurant,Restaurant,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",+91 70614 20878,N/A,5.0,5.0,"Road, near Gas Godam, Saguna More, Danapur, Patna, Bihar 801503",Saguna More,25.624161599999997,85.0417465,ChIJ8c2FvdhX7TkR3_lnp6vH5rQ,https://www.google.com/maps/place/?q=place_id:ChIJ8c2FvdhX7TkR3_lnp6vH5rQ,part_382,2026-09-20 20:33:34
Ganesh Chay Dukan,Tea Stall / Chai Cafe,Hotel,Hotel,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",+91 91553 10908,N/A,4.1,16.0,"4437+JRM, Nonsari - Nokha Rd, Garh Nokha, Bihar 802215",821104,25.1040955,84.1145473,ChIJ32LcsjujjTkR9oaurERsUkk,https://www.google.com/maps/place/?q=place_id:ChIJ32LcsjujjTkR9oaurERsUkk,part_382,2026-09-20 20:33:34
Abs Chaiwala Private limited,Tea Stall / Chai Cafe,Cafe,Cafe,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",+91 62045 30167,N/A,4.2,311.0,"B23 sachivalaya colony kendryie bidhalaya, KVS ROAD, Kankarbagh, Patna, Bihar 800020","Sachiwalay Colony, Kankarbagh, Bankman Colony",25.5972044,85.1598593,ChIJ5-3zbZFZ7TkReXC3wl9RQR8,https://www.google.com/maps/place/?q=place_id:ChIJ5-3zbZFZ7TkReXC3wl9RQR8,part_382,2026-09-20 20:33:34
MR.CHAI cafe,Tea Stall / Chai Cafe,Cafe,Cafe,821104,Bihar Circle,Patna HQ Region,Rohtas Division,"Chenari SO, Amaon Baraon BO, Bhitari Bandh BO",N/A,N/A,4.4,,"Nh 16, Pulaparthi, Andhra Pradesh 531055",821104,17.4841744,82.7861499,ChIJd6kMGwCjOToRdrBirDF2g7U,https://www.google.com/maps/place/?q=place_id:ChIJd6kMGwCjOToRdrBirDF2g7U,part_382,2026-09-20 20:33:35
