business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indian Help Diagnostic & Imaging Centre,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",N/A,N/A,5.0,8.0,"ASHOKA TOWER, Rauza Rd, opposite SADAR HOSPITAL, Navaratan Bazar, Laxkariganj, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.951945799999997,84.0115521,ChIJ2cWOdgC3jTkRR3fQwkQcmHo,https://www.google.com/maps/place/?q=place_id:ChIJ2cWOdgC3jTkRR3fQwkQcmHo,part_382,2026-09-20 20:38:47
National Diagnostic centre,Diagnostic Center,Diagnostic center,Diagnostic center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",+91 99734 54828,https://nationaldiagnosticcentre.com/,5.0,1.0,"Kachhari petrol pump wali gali me dr kanhaiya mahto ke samne, Rauza Rd, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.952410699999998,84.0120513,ChIJkyvCoGG3jTkRxI3X4nyPoqU,https://www.google.com/maps/place/?q=place_id:ChIJkyvCoGG3jTkRxI3X4nyPoqU,part_382,2026-09-20 20:38:47
S.S. ULTRASOUND & DIAGNOSTIC CENTER,Diagnostic Center,Diagnostic center,Diagnostic center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",N/A,N/A,5.0,2.0,"Rauza Rd, Laxkariganj, Sasaram, Bihar 821115",Laxkariganj,24.950784499999997,84.0110014,ChIJK1izKay3jTkRVcTjYeOJ9f0,https://www.google.com/maps/place/?q=place_id:ChIJK1izKay3jTkRVcTjYeOJ9f0,part_382,2026-09-20 20:38:47
Shukritdev pharmacy,Diagnostic Center,Medical diagnostic imaging center,"Medical diagnostic imaging center, Medical clinic",821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",+91 97717 24210,N/A,,,"Chenari rode, mode, Shivsagar, Bihar 821111",mode,24.972012199999998,83.9095562,ChIJmQWoYADHjTkRcEA9ep7JtAM,https://www.google.com/maps/place/?q=place_id:ChIJmQWoYADHjTkRcEA9ep7JtAM,part_382,2026-09-20 20:38:47
Famous Diagnostic Centre,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",+91 80021 36963,http://www.famousdiagnosticcentersasaram.com/,4.7,18.0,"Shri Shri Balaji Plaza, Beside Allahabad ATM Raj Colony , G. T. Road, Below Indian Overseas Bank Just Before Dr. Chitranjan, East of Indian Oil Petrol Pump, Sasaram, Bihar 821115","Raj Colony, Geeta Ghat Colony",24.953348599999998,84.0070356,ChIJ0QO1NnJ1jTkRpeSymQyU0-M,https://www.google.com/maps/place/?q=place_id:ChIJ0QO1NnJ1jTkRpeSymQyU0-M,part_382,2026-09-20 20:38:47
Heath care diagnostics center rauza road sasaram,Diagnostic Center,Alternative medicine practitioner,Alternative medicine practitioner,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",N/A,N/A,5.0,1.0,"X226+WWX, Navaratan Bazar, Laxkariganj, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.952312799999998,84.0122997,ChIJJ010RwC3jTkR35aylGI7ew0,https://www.google.com/maps/place/?q=place_id:ChIJJ010RwC3jTkR35aylGI7ew0,part_382,2026-09-20 20:38:47
Jai Maa Diagnostic Sasaram (A Unit Of JM Diagno),Diagnostic Center,Diagnostic center,Diagnostic center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",N/A,N/A,5.0,1.0,"RAJ COLONY GATE, Grand Trunk Rd, near INDIAN BANK ATM, Sasaram, Bihar 821115","Raj Colony, Geeta Ghat Colony",24.953357399999998,84.00696409999999,ChIJw9z3hju3jTkRbkBtZ7h7zMM,https://www.google.com/maps/place/?q=place_id:ChIJw9z3hju3jTkRbkBtZ7h7zMM,part_382,2026-09-20 20:38:47
Raj diagnostic centre,Diagnostic Center,Diagnostic center,Diagnostic center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",N/A,N/A,3.5,2.0,"Sukha Rauza Rd, Navaratan Bazar, Laxkariganj, Sasaram, Bihar 821115","Navaratan Bazar, Laxkariganj",24.9521962,84.0122025,ChIJD59AQe23jTkRPWHtY4n07DM,https://www.google.com/maps/place/?q=place_id:ChIJD59AQe23jTkRPWHtY4n07DM,part_382,2026-09-20 20:38:47
"Shree Diagnostic Centre, SASARAM",Diagnostic Center,Diagnostic center,"Diagnostic center, Pathologist",821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",+91 92623 66421,http://shreediagnosticcentre.in/#bookTest.%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://whatsapp.com/channel/0029Vb9nadDHAdNTjLYHhL3M,5.0,9.0,"Roza road, Dilia, Sasaram, Bihar 821115",Dilia,24.953880299999998,84.01428659999999,ChIJ-6F6TgC3jTkRf5H5qTKlJ2E,https://www.google.com/maps/place/?q=place_id:ChIJ-6F6TgC3jTkRf5H5qTKlJ2E,part_382,2026-09-20 20:38:47
Sadbhawna Diagnostic centre,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,821111,Bihar Circle,Patna HQ Region,Rohtas Division,"Sheosagar SO, Baraila BO, Dumari Sahpur BO",+91 95048 11822,N/A,5.0,1.0,"Civil line, near dr.Anil singh, Dilia, Sasaram, Bihar 821115",Dilia,24.953880299999998,84.01428659999999,ChIJy82BF0u3jTkRuwxUNuLWmAo,https://www.google.com/maps/place/?q=place_id:ChIJy82BF0u3jTkRuwxUNuLWmAo,part_382,2026-09-20 20:38:47
