business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hyderabadi Biryani House,Non-Veg Biryani Restaurant,Hyderabadi restaurant,Hyderabadi restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 96428 38275,N/A,4.0,809.0,"Opp: Bharat Gas Godown, Nizamabad - Mancherial - Jagdalpur Rd, Armur, Telangana 503224",821302,18.7871463,78.2835648,ChIJU1ibeHbAzTsRUWKGOX-iG0Q,https://www.google.com/maps/place/?q=place_id:ChIJU1ibeHbAzTsRUWKGOX-iG0Q,part_382,2026-09-20 20:42:12
Arsalan Biryani,Non-Veg Biryani Restaurant,Mughlai restaurant,Mughlai restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 62015 80372,N/A,4.1,1009.0,"Kurji, Patna, Bihar 800010",Kurji,25.6366572,85.1083472,ChIJOd03I9tZ7TkRxsnxk5_g5tY,https://www.google.com/maps/place/?q=place_id:ChIJOd03I9tZ7TkRxsnxk5_g5tY,part_382,2026-09-20 20:42:12
GRAND BIRYANI MAHAL,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 96310 72666,N/A,3.5,1517.0,"H6VG+HX7, Chowk, Shikarpur, Patna, Bihar 800008","Shikarpur, Kali Asthan",25.5939163,85.2274065,ChIJdR6mCXlf7TkRN1shBPCoC2c,https://www.google.com/maps/place/?q=place_id:ChIJdR6mCXlf7TkRN1shBPCoC2c,part_382,2026-09-20 20:42:12
Hyderabadi Chicken Biryani Restaurants,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",N/A,N/A,3.9,11.0,"M6M3+CHV, SH36, Ram Nagar, Uttar Pradesh 222202",821302,25.683601099999997,82.2039178,ChIJGbjl3sCnmjkR-GtmcA7gaxo,https://www.google.com/maps/place/?q=place_id:ChIJGbjl3sCnmjkR-GtmcA7gaxo,part_382,2026-09-20 20:42:12
New Biryani Hotel,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 88970 32899,N/A,3.9,43.0,"JXX5+R9W, Amalapuram Bobbarlanka Rd, Mukkamala, Andhra Pradesh 533241",821302,16.6496142,81.9584534,ChIJO0VdCIXvNzoRDP4-OXs4HFk,https://www.google.com/maps/place/?q=place_id:ChIJO0VdCIXvNzoRDP4-OXs4HFk,part_382,2026-09-20 20:42:12
Angeethi Cafe,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Cafe",821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 77639 99400,http://angeethicafe.in/,4.0,668.0,"Kateshar, Bihar 801103",821302,25.5540433,84.86589289999999,ChIJGV4pa-ZVjTkRh_28Hs8Qyfg,https://www.google.com/maps/place/?q=place_id:ChIJGV4pa-ZVjTkRh_28Hs8Qyfg,part_382,2026-09-20 20:42:13
Biryani Darbar,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 85820 60001,N/A,3.6,453.0,"Ashok Rajpath Rd, BNR Complex, Gujari Bazar, Sadikpur, Patna, Bihar 800008","BNR Complex, Gujari Bazar, Sadikpur",25.60156,85.2130535,ChIJ_UIqcWlf7TkR0bx_ooYka10,https://www.google.com/maps/place/?q=place_id:ChIJ_UIqcWlf7TkR0bx_ooYka10,part_382,2026-09-20 20:42:13
Amaan Biryani & Grill Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,Non Vegetarian Restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",N/A,N/A,,,"Khan market Surya hospital ke bagal 221503, Handia, Uttar Pradesh 221503",821302,25.365268999999998,82.18248369999999,ChIJj6nORR5VhTkRzL-HNUk1pmc,https://www.google.com/maps/place/?q=place_id:ChIJj6nORR5VhTkRzL-HNUk1pmc,part_382,2026-09-20 20:42:13
Zaika Chicken Biryani House,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 97736 58351,N/A,4.5,16.0,"J3MP+HG4, Ghurdaur Rd, Rajeev Nagar, Digha Ghat, Patna, Bihar 800024","Rajeev Nagar, Digha Ghat",25.6338853,85.08632209999999,ChIJUcPRZulX7TkRMNFvNZ7E9C4,https://www.google.com/maps/place/?q=place_id:ChIJUcPRZulX7TkRMNFvNZ7E9C4,part_382,2026-09-20 20:42:14
Skyline Biryani House,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Continental restaurant, North Indian restaurant",821302,Bihar Circle,Patna HQ Region,Rohtas Division,"Amjhore Camp SO, Nawadih Karma BO",+91 92342 02307,https://skylinebiryanihouse.in/,4.0,433.0,"Pillar 35, Bijay Complex, 2nd Floor, Bailey Road, Towards, BMP Rd, Patna, Bihar 800014","Ashiana More, Khajpura",25.604850199999998,85.0803887,ChIJMRSNMfdX7TkR-nZNREyjYMk,https://www.google.com/maps/place/?q=place_id:ChIJMRSNMfdX7TkR-nZNREyjYMk,part_382,2026-09-20 20:42:14
