business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Truck Servicee,Tempo and Mini Truck Service,Trucking company,"Trucking company, Service establishment",821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 70780 59045,N/A,5.0,,"Truck Servicee, 821307, India",821307,30.0909235,79.3087491,ChIJBVVrWoylCTkRg-42w3KBIlA,https://www.google.com/maps/place/?q=place_id:ChIJBVVrWoylCTkRg-42w3KBIlA,part_382,2026-09-20 20:45:55
Shobi dehrdaun ( car luggage carrier accessories ),Tempo and Mini Truck Service,Auto bodywork mechanic,Auto bodywork mechanic,821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 84498 73011,N/A,4.8,,"Shop number 2/32, Tyagi Rd, Virmani Market, Govind Nagar, Race Course, Dehradun, Uttarakhand 248001","Virmani Market, Govind Nagar, Race Course",30.315035599999998,78.03700959999999,ChIJ68VlbsEpCTkRYrKBp_eg3F0,https://www.google.com/maps/place/?q=place_id:ChIJ68VlbsEpCTkRYrKBp_eg3F0,part_382,2026-09-20 20:45:55
Mini truck union,Tempo and Mini Truck Service,Transportation service,Transportation service,821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",N/A,N/A,,,"J78J+44, Pipaliya, Uttarakhand 263680",821307,29.615343,79.28035,ChIJO5z7XQAFCjkRZq5ChUsCUW0,https://www.google.com/maps/place/?q=place_id:ChIJO5z7XQAFCjkRZq5ChUsCUW0,part_382,2026-09-20 20:45:55
Bhagwati Tempo Carrier,Tempo and Mini Truck Service,Transportation service,"Transportation service, Freight Forwarding Agency, Logistics service, Moving service, Moving supply store, Packaging company, Trucking company",821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 94117 76866,https://www.bhagwatitempocarrier.com/,5.0,,"31, Jhanda Bazar, Arhat Bazaar, Ramnagar, Dehradun, Uttarakhand 248001","Jhanda Bazar, Arhat Bazaar, Ramnagar",30.316917999999998,78.02991569999999,ChIJ1R_As1opCTkReB0VS_dhtU4,https://www.google.com/maps/place/?q=place_id:ChIJ1R_As1opCTkReB0VS_dhtU4,part_382,2026-09-20 20:45:55
Uttarakhand tempo service,Tempo and Mini Truck Service,Transportation service,"Transportation service, Logistics service, Packaging company",821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 70888 86622,http://uttarakhandtemposervice.com/,4.8,,"D-3, Transport Nagar, Subhash Nagar, Dehradun, Sewla Khurd, Uttarakhand 248171","Transport Nagar, Subhash Nagar",30.282024999999997,77.99033899999999,ChIJTwtIAFErCTkRhb6pJym2a2c,https://www.google.com/maps/place/?q=place_id:ChIJTwtIAFErCTkRhb6pJym2a2c,part_382,2026-09-20 20:45:55
Amrit Truck and Trailer service,Tempo and Mini Truck Service,Transportation service,Transportation service,821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",N/A,N/A,5.0,,"Tula's Palace, 5, Araghar, chowk, Dehradun, Uttarakhand 248001","East Rest Camp, Araghar, chowk",30.3107933,78.04826489999999,ChIJj1DhblwpCTkRMZFtOUX8SN8,https://www.google.com/maps/place/?q=place_id:ChIJj1DhblwpCTkRMZFtOUX8SN8,part_382,2026-09-20 20:45:55
SP Loading Service,Tempo and Mini Truck Service,Transportation service,Transportation service,821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",N/A,N/A,5.0,,"90, 76, Shiv Colony, Patel Nagar, Dehradun, Uttarakhand 248001","Shiv Colony, Patel Nagar",30.3136208,78.0172845,ChIJ_crD8lErCTkRkgdZbw-MD3g,https://www.google.com/maps/place/?q=place_id:ChIJ_crD8lErCTkRkgdZbw-MD3g,part_382,2026-09-20 20:45:55
Mulla ji truck body maker,Tempo and Mini Truck Service,Truck repair shop,"Truck repair shop, Steel erector, Steel fabricator",821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 98374 07694,N/A,5.0,,"near nissan showroom, Kargi Chowk, Kanhaiya Vihar, Kargi, Dehradun, Uttarakhand 248121","Kargi Chowk, Kanhaiya Vihar, Kargi",30.288422699999998,78.0190276,ChIJAdnbIy8rCTkRTi2SIo-qYSw,https://www.google.com/maps/place/?q=place_id:ChIJAdnbIy8rCTkRTi2SIo-qYSw,part_382,2026-09-20 20:45:55
Duty Trucks,Tempo and Mini Truck Service,Transportation service,Transportation service,821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",N/A,N/A,3.7,,"chamunda vihar, Ramnagar Rd, near guest house, Kashipur, Uttarakhand 244713",821307,29.223143,78.970247,ChIJA0QzQsxDCjkR1RrLZsF3kjU,https://www.google.com/maps/place/?q=place_id:ChIJA0QzQsxDCjkR1RrLZsF3kjU,part_382,2026-09-20 20:45:55
Tata Motors Commercial Vehicle Dealer - Dpm Trucking,Tempo and Mini Truck Service,Truck repair shop,"Truck repair shop, Motor vehicle dealer, Truck parts supplier, Truck dealer",821307,Bihar Circle,Patna HQ Region,Rohtas Division,"Dehrionsone SO, Dehri BMP SO, Dehri R S SO",+91 93194 86138,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-dpm-trucking-truck-dealers-haridwar-roorkee-190512/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Piran Kaliyar Rd, opp. COER COLLAGE, Roorkee, Belara, Uttarakhand 247667",821307,29.8962392,77.9549684,ChIJGWIW96hLCTkRGJ3WfnhMsIM,https://www.google.com/maps/place/?q=place_id:ChIJGWIW96hLCTkRGJ3WfnhMsIM,part_382,2026-09-20 20:45:55
