business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ritik Ice Cream Shop,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,,,"V4GM+QJ2, Nawadih, Bihar 821305",821308,24.8768957,84.13402529999999,ChIJaTlnvtCtjTkRy5DAzt4mTPc,https://www.google.com/maps/place/?q=place_id:ChIJaTlnvtCtjTkRy5DAzt4mTPc,part_382,2026-09-20 20:46:24
Ritik ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,,,"V4FR+646, Laxman Bigha Rd, Shankarpur, Bihar 821308",821308,24.8730446,84.14025079999999,ChIJ2yVcPgCtjTkRsYWPsnphJDA,https://www.google.com/maps/place/?q=place_id:ChIJ2yVcPgCtjTkRsYWPsnphJDA,part_382,2026-09-20 20:46:24
Bigan singh,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,,,"V4RQ+37Q, Bhaluari, Bihar 821305",821308,24.8902051,84.1382368,ChIJaTFbYrmvjTkRFt4oWe7rXL0,https://www.google.com/maps/place/?q=place_id:ChIJaTFbYrmvjTkRFt4oWe7rXL0,part_382,2026-09-20 20:46:24
Milk Badam Ice Cream Cold Coffee,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,4.6,5.0,"Varanasi, Uttar Pradesh 221005",821308,25.2656892,82.9896261,ChIJAbBXYikyjjkRztnpi1y49Ag,https://www.google.com/maps/place/?q=place_id:ChIJAbBXYikyjjkRztnpi1y49Ag,part_382,2026-09-20 20:46:25
GUPTA Vadilal icecream shop,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Restaurant",821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",+91 85458 80399,N/A,4.2,10.0,"Barahi kala, Kathiraon, Barhikala, Uttar Pradesh 221207",821308,25.488135399999997,82.7225875,ChIJq0HsKG0nkDkRJ0L26-0tD2U,https://www.google.com/maps/place/?q=place_id:ChIJq0HsKG0nkDkRJ0L26-0tD2U,part_382,2026-09-20 20:46:25
Indian Dairy Icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",+91 91402 03254,https://indian-dairy-icecream.ueniweb.com/,5.0,9.0,"Kanwera Manda Road, Manda Road, Uttar Pradesh 212104",821308,25.15372,82.2413426,ChIJ2RdNQMz1jzkRnzyrqcaquTg,https://www.google.com/maps/place/?q=place_id:ChIJ2RdNQMz1jzkRnzyrqcaquTg,part_382,2026-09-20 20:46:25
Vaishnavi ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,5.0,1.0,"369J+77M, Gauraha, Uttar Pradesh 222302",821308,26.068144999999998,82.2306296,ChIJWZdo1VN5kDkRcxS0_B10QA4,https://www.google.com/maps/place/?q=place_id:ChIJWZdo1VN5kDkRcxS0_B10QA4,part_382,2026-09-20 20:46:25
Anchal Ice Cream Parlour & Baker's,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,4.0,4.0,"JM4R+2V9, Vijaygir, Khalika, Uttar Pradesh 222136",821308,25.6050942,82.6922831,ChIJg6URQwAlkDkRLGFr024tHik,https://www.google.com/maps/place/?q=place_id:ChIJg6URQwAlkDkRLGFr024tHik,part_382,2026-09-20 20:46:25
Dairy Milk Ice Cream,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Store",821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,4.1,9.0,"5QRH+V92, Anpara, Uttar Pradesh 231225",821308,24.1921456,82.77839639999999,ChIJDXDIr6AljzkRYCJKThpLc-0,https://www.google.com/maps/place/?q=place_id:ChIJDXDIr6AljzkRYCJKThpLc-0,part_382,2026-09-20 20:46:25
DIAMOND DREAM ICE CREAM,Ice Cream Parlour,Ice cream shop,Ice cream shop,821308,Bihar Circle,Patna HQ Region,Rohtas Division,"Indrapuri SO, Nawadih BO, Shankarpuri BO",N/A,N/A,4.0,2.0,"63M4+JR3, NH 35, Samahan, Uttar Pradesh 212303",821308,25.234002699999998,82.0570377,ChIJsbxHzJ1bhTkRa4Y3jvk61SE,https://www.google.com/maps/place/?q=place_id:ChIJsbxHzJ1bhTkRa4Y3jvk61SE,part_382,2026-09-20 20:46:25
