business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tiwary complex,Commercial Complex,Market,Market,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,5.0,,"Tarari, Bihar 802209",821309,25.210969,84.41534709999999,ChIJldcwNABzjTkR_HpeGSBHND8,https://www.google.com/maps/place/?q=place_id:ChIJldcwNABzjTkR_HpeGSBHND8,part_382,2026-09-20 20:47:36
S.K POINT (BAGNAHA),Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,3.9,,"485W+96M, Unnamed Road, Kesuari, Deo, Bihar 802214",821309,25.1084636,84.3455487,ChIJC0nrpo0LjTkR50FmaRlLVgs,https://www.google.com/maps/place/?q=place_id:ChIJC0nrpo0LjTkR50FmaRlLVgs,part_382,2026-09-20 20:47:36
Tiwari market,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,4.0,,"Tiwary Market, Sh-81, Gharwasdih, Oswan, Gharwasdih, Bihar 821310",Gharwasdih,25.103863099999998,84.3626568,ChIJwYJyXHafjTkRgSRPPTT_6zo,https://www.google.com/maps/place/?q=place_id:ChIJwYJyXHafjTkRgSRPPTT_6zo,part_382,2026-09-20 20:47:36
Suhag Mahal,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 91222 42345,N/A,4.3,,"P.S, Mahabir Sthan, Vill+P.O-Shamsher Nagar, Daudnagar, Bihar 824143",821309,25.086603099999998,84.45737369999999,ChIJbxKgxB8SjTkRJZcJtJELoOo,https://www.google.com/maps/place/?q=place_id:ChIJbxKgxB8SjTkRJZcJtJELoOo,part_382,2026-09-20 20:47:36
Pratibha Studieo,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 99395 38249,N/A,4.0,,"Sakaddi - Chandi - Bihta - Nasriganj Rd, Karath, Bihar 802205",821309,25.2019077,84.3711799,ChIJteWnFWpzjTkRMUuzgt-K-fY,https://www.google.com/maps/place/?q=place_id:ChIJteWnFWpzjTkRMUuzgt-K-fY,part_382,2026-09-20 20:47:36
Shit Basant Complex,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,,,"49F4+FQF, Deomarkanday, Bihar 802214",821309,25.1236981,84.3569239,ChIJibFdBIQNjTkR79RYGrDnn3U,https://www.google.com/maps/place/?q=place_id:ChIJibFdBIQNjTkR79RYGrDnn3U,part_382,2026-09-20 20:47:36
Rameshwar Singh market,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,3.7,,"49H5+WRP, Parsar, Bihar 821309",821309,25.129837799999997,84.3595653,ChIJixaOtmsNjTkR7Yzy2pR-cjk,https://www.google.com/maps/place/?q=place_id:ChIJixaOtmsNjTkR7Yzy2pR-cjk,part_382,2026-09-20 20:47:36
Munna readyment Kushi bazar,Commercial Complex,Shopping mall,"Shopping mall, Market",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 75498 04831,N/A,1.5,,"Noor vastraly, Kusi, Bihar 802205",821309,25.151928299999998,84.36484109999999,ChIJXw5GYpwNjTkRqnt63CdpCdI,https://www.google.com/maps/place/?q=place_id:ChIJXw5GYpwNjTkRqnt63CdpCdI,part_382,2026-09-20 20:47:36
K G N REDIMENT SHOPE,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 80766 94088,N/A,,,"Ravidas Tola Rd, Amona, Bihar 821309",821309,25.1473572,84.3962253,ChIJeXaMLCINjTkROXkon34gSWI,https://www.google.com/maps/place/?q=place_id:ChIJeXaMLCINjTkROXkon34gSWI,part_382,2026-09-20 20:47:36
Kumar Interprises,Commercial Complex,Shopping mall,Shopping mall,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,3.0,,"Soni General Stores, 821309, Patliputra Industrial Area, Patliputra Colony, Lalji Tola, Bihar 821309","Patliputra Industrial Area, Patliputra Colony",25.157283399999997,84.423755,ChIJFZ-UOEINjTkRk-oUPoBIUeA,https://www.google.com/maps/place/?q=place_id:ChIJFZ-UOEINjTkRk-oUPoBIUeA,part_382,2026-09-20 20:47:36
