business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
श्री शिवाजी क्रेन सर्विस ब्रेक डाउन,Crane and Towing Service,Towing service,Towing service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 96310 15118,http://www.shreeshivajicrean.in/,4.8,,"Saguna More, Sagunamor, Patna, Bihar 801503",Saguna More,25.622474,85.040269,ChIJm55X1WRX7TkRG6CZdUGZyy4,https://www.google.com/maps/place/?q=place_id:ChIJm55X1WRX7TkRG6CZdUGZyy4,part_382,2026-09-20 20:47:14
Crane service Arwal,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 99310 27894,N/A,5.0,,"Baidrabad - Arwal Rd, Arwal Sipah Panchayat, Baidrabad, Bihar 804402",821309,25.2223422,84.642704,ChIJoyJ4PABBjTkRlL4zYwMGLpY,https://www.google.com/maps/place/?q=place_id:ChIJoyJ4PABBjTkRlL4zYwMGLpY,part_382,2026-09-20 20:47:14
Mandeep Recovery Patna | Breakdown Services | Car Towing Services |,Crane and Towing Service,Towing service,"Towing service, Crane service",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 77386 98643,N/A,4.8,,"near HDFC Bank, Kankarbagh Colony More, RBI Flats Colony, Bankman Colony, Patna, Bihar 800020","Kankarbagh Colony More, RBI Flats Colony, Bankman Colony",25.6023806,85.14723819999999,ChIJ-WMMqABZ7TkRhe1V3zJhUfQ,https://www.google.com/maps/place/?q=place_id:ChIJ-WMMqABZ7TkRhe1V3zJhUfQ,part_382,2026-09-20 20:47:14
Baiju crane & break down servic patna es,Crane and Towing Service,Towing service,"Towing service, Towing equipment provider, Crane service",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 95080 31610,https://www.baijucraneservicespatna.com/,5.0,,"Kankarbagh Colony More, RBI Flats Colony, Bankman Colony, Patna, Bihar 800020","Kankarbagh Colony More, RBI Flats Colony, Bankman Colony",25.602595299999997,85.1472984,ChIJlTzdI2xZ7TkRI-gQMlLjZ9A,https://www.google.com/maps/place/?q=place_id:ChIJlTzdI2xZ7TkRI-gQMlLjZ9A,part_382,2026-09-20 20:47:14
Gaya Crane Service,Crane and Towing Service,Towing service,"Towing service, Crane service",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 91100 45960,https://www.gayacraneservice.in/,4.3,,"Indian Red cross, Bihar 823001",Jaiprakash Nagar,24.7869319,84.99475509999999,ChIJn6QO-C4r8zkRM8RNdB9KNJg,https://www.google.com/maps/place/?q=place_id:ChIJn6QO-C4r8zkRM8RNdB9KNJg,part_382,2026-09-20 20:47:14
Ritik crane service,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 94308 78307,N/A,5.0,,"Nagra, Arwa, Bihar 841442",821309,25.903937499999998,84.74493749999999,ChIJOdibvYi5kjkRnYX5DhZi47Y,https://www.google.com/maps/place/?q=place_id:ChIJOdibvYi5kjkRnYX5DhZi47Y,part_382,2026-09-20 20:47:14
BABA BASUKINATH CRANE SERVICE,Crane and Towing Service,Towing service,Towing service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 76317 68276,https://bababasukinathcraneservice.autos/,5.0,,"Main Rd, near 14 numbar, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Kankarbagh, Lohia Nagar",25.5889576,85.1496892,ChIJf1Aebh2n8jkRVGzpsu1bSSc,https://www.google.com/maps/place/?q=place_id:ChIJf1Aebh2n8jkRVGzpsu1bSSc,part_382,2026-09-20 20:47:14
Raj Crane rental Service,Crane and Towing Service,Crane service,"Crane service, Crane rental agency",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.justdial.com/Arrah/Raj-Crane-Service/9999P6182-6182-180906192030-Z6P1_BZDET&ved=2ahUKEwiDtOy21p7yAhXtH7cAHY74Bb0QFnoECCkQAg&usg=AOvVaw0GdDBoE1_GYJizeCWBoeKK&cshid=1628331281979,4.4,,"By Pass Road ,Baluhiya Market , Motitola, Nasriganj - Chandi - Bihta - Piro Rd, Shivganj, Arrah, Bihar 802301",Shivganj,25.5616241,84.6823175,ChIJL3NfN3dfjTkRX54N9Gi7kPs,https://www.google.com/maps/place/?q=place_id:ChIJL3NfN3dfjTkRX54N9Gi7kPs,part_382,2026-09-20 20:47:14
ARA AND SASARAM CRANE SERVICE (TIWARI & SONS),Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,5.0,,"Sapna Cinema Road, in front of IMA building, Shivganj, Arrah, Bihar 802301",Shivganj,25.5584487,84.6768731,ChIJKep3mdFfjTkRI3xSm4y6iFU,https://www.google.com/maps/place/?q=place_id:ChIJKep3mdFfjTkRI3xSm4y6iFU,part_382,2026-09-20 20:47:14
SHIVA PICK AND DROP SERVICE,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 96619 55248,N/A,5.0,,"GWRH+7HM, Ghir Sindi Kalan, Bihar 824220",821309,24.5407238,84.92891709999999,ChIJfTzQZQDNjDkRoKkJ1B0YbzM,https://www.google.com/maps/place/?q=place_id:ChIJfTzQZQDNjDkRoKkJ1B0YbzM,part_382,2026-09-20 20:47:14
Jay Bhole Nath | Breakdown Services Patna | Car Towing services Patna| Towing Services Patna | Car Breakdown Services Patna |,Crane and Towing Service,Towing service,Towing service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 70047 57764,N/A,4.8,,"nearby HDFC bank, Kankarbagh Colony More, Mithapur, Patna, Bihar 800001","Kankarbagh Colony More, Mithapur",25.603323699999997,85.1473062,ChIJ5y4Bnq5Z7TkRlQgEM45aoGc,https://www.google.com/maps/place/?q=place_id:ChIJ5y4Bnq5Z7TkRlQgEM45aoGc,part_382,2026-09-20 20:47:15
Akash Crane Service,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,5.0,,"Chhapra Mohammadpur Rd, Gopalbaari, Masrakh, Bihar 841417",Gopalbaari,26.0922952,84.7998174,ChIJYfzNFuLPkjkRwN3Oza1ykHE,https://www.google.com/maps/place/?q=place_id:ChIJYfzNFuLPkjkRwN3Oza1ykHE,part_382,2026-09-20 20:47:15
Rk crane service,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 62076 77286,N/A,5.0,,"Dayal Kunj, Kolhaura, Bihar 824234",Dayal Kunj,24.6984045,84.96107769999999,ChIJIbQQlg8t8zkRThaKn5UANbE,https://www.google.com/maps/place/?q=place_id:ChIJIbQQlg8t8zkRThaKn5UANbE,part_382,2026-09-20 20:47:15
Bihar Crane Service,Crane and Towing Service,Crane service,Crane service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 99349 74045,N/A,4.4,,"NH-31, bypass, near DD HONDA, Bihar Sharif, Bihar 803216",Sherpur,25.1911493,85.5068184,ChIJy9_6AVvz8jkR2YB6AX5P2kE,https://www.google.com/maps/place/?q=place_id:ChIJy9_6AVvz8jkR2YB6AX5P2kE,part_382,2026-09-20 20:47:15
Raj Mobil Lubricants & Crane Service,Crane and Towing Service,Crane rental agency,"Crane rental agency, Auto parts store, Smog inspection station",821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 92623 71093,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.justdial.com/Arrah/Raj-Crane-Service/9999P6182-6182-180906192030-Z6P1_BZDET&ved=2ahUKEwiDtOy2,5.0,,"Gidha Industrial Area, Giddha, Arrah, Bihar 802314",Gidha Industrial Area,25.5868018,84.736656,ChIJt-nbC2mnkjkRVvUgUxpnKQc,https://www.google.com/maps/place/?q=place_id:ChIJt-nbC2mnkjkRVvUgUxpnKQc,part_382,2026-09-20 20:47:15
Gopal Crane Service,Crane and Towing Service,Towing service,Towing service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",+91 95232 75454,N/A,,,"near Bazar Samiti, Sandha Mathiya, Prabhunath Nagar, Chapra, Bihar 841301","Sandha Mathiya, Prabhunath Nagar",25.7901131,84.7519586,ChIJpTKJ5SO7kjkRkLfIIZnCV38,https://www.google.com/maps/place/?q=place_id:ChIJpTKJ5SO7kjkRkLfIIZnCV38,part_382,2026-09-20 20:47:16
Ramsewk Rk crane service,Crane and Towing Service,Transportation service,Transportation service,821309,Bihar Circle,Patna HQ Region,Rohtas Division,"Kachhwa SO Rohtas, Amaura BO, B Kaithi BO",N/A,N/A,4.9,11.0,"MXX9+9CC, Domuhan-Bodhgaya Rd, Dhandhwa, Kolhaura, Bihar 824231",821309,24.6984292,84.9685216,ChIJN6LB1k8t8zkRog16YXGEvP4,https://www.google.com/maps/place/?q=place_id:ChIJN6LB1k8t8zkRog16YXGEvP4,part_382,2026-09-20 20:47:16
