business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Palamu Properties,Real Estate Agents,Real estate consultant,Real estate consultant,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 62037 49023,N/A,,,"Sadik Manjil Chowk, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.036139199999997,84.0660489,ChIJq01YLFZ3jDkR1ByabJ6b950,https://www.google.com/maps/place/?q=place_id:ChIJq01YLFZ3jDkR1ByabJ6b950,part_382,2026-09-20 20:50:02
PALAMU PROPERTIES DEALER,Real Estate Agents,Property investment company,"Property investment company, Commercial real estate agency, Real Estate Builders & Construction Company",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 82103 40518,N/A,4.7,,"Redma chowk, SL PALAZA, near Shiv Mandir Lane, North Redma, Medininagar, Jharkhand 822102",North Redma,24.0375223,84.0778079,ChIJsy_vTtl3jDkRo3AUBlgsEko,https://www.google.com/maps/place/?q=place_id:ChIJsy_vTtl3jDkRo3AUBlgsEko,part_382,2026-09-20 20:50:02
Pathak Residential Apartment,Real Estate Agents,Apartment complex,"Apartment complex, Real estate rental agency",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 91101 56920,N/A,4.0,,"Kejriwal Campus, near power grid, Bank Colony, SUDNA, Medininagar, Jharkhand 822101","Bank Colony, SUDNA",24.0623011,84.0679983,ChIJT9fZrDt3jDkRZNYH69b2tps,https://www.google.com/maps/place/?q=place_id:ChIJT9fZrDt3jDkRZNYH69b2tps,part_382,2026-09-20 20:50:02
SHAIL COMPLEX,Real Estate Agents,Market,"Market, Retail space rental agency",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 78570 33001,N/A,,,"MAIN ROAD, opposite BARI MASJID, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0401422,84.062651,ChIJLQzAyX93jDkRXPFqFVoPGRQ,https://www.google.com/maps/place/?q=place_id:ChIJLQzAyX93jDkRXPFqFVoPGRQ,part_382,2026-09-20 20:50:02
Pandey properties,Real Estate Agents,Housing society,Housing society,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,,,"392, South Redma, Medininagar, Rerma, Jharkhand 822102",South Redma,24.029330899999998,84.08590099999999,ChIJvQeYTgCJizkRW1TgU4f7AsI,https://www.google.com/maps/place/?q=place_id:ChIJvQeYTgCJizkRW1TgU4f7AsI,part_382,2026-09-20 20:50:02
सिंघानिया मेडिकल्स,Real Estate Agents,Retail space rental agency,Retail space rental agency,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 91426 03115,N/A,,,"Zila School Rd, CHOK, Daltenganj, Medininagar, Jharkhand 822101","CHOK, Daltenganj",24.0390357,84.062123,ChIJk4t4k8V3jDkRRqWKKty4qas,https://www.google.com/maps/place/?q=place_id:ChIJk4t4k8V3jDkRRqWKKty4qas,part_382,2026-09-20 20:50:02
N S Associates,Real Estate Agents,Land surveying office,"Land surveying office, Industrial real estate agency, Land surveyor, Mapping service",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 72779 77174,N/A,,,"Infront of JRG Bank, Church Rd, Belwatika, Medininagar, Jharkhand 822101",Belwatika,24.0363643,84.0703315,ChIJ66iUCFZ3jDkR6imSoHDc41M,https://www.google.com/maps/place/?q=place_id:ChIJ66iUCFZ3jDkR6imSoHDc41M,part_382,2026-09-20 20:50:02
SonaPari Homes,Real Estate Agents,Apartment building,Apartment building,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,,,"23RG+VMW, Abadganj, Medininagar, Jharkhand 822101",Abadganj,24.042239199999997,84.076713,ChIJeXa2UhV3jDkRd_EQKvoXhV4,https://www.google.com/maps/place/?q=place_id:ChIJeXa2UhV3jDkRd_EQKvoXhV4,part_382,2026-09-20 20:50:02
A.M. Infratech,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,5.0,,"251223, Chowk, North Redma, Medininagar, Jharkhand 822102",North Redma,24.033576699999998,84.07845929999999,ChIJOa24OgB3jDkRtDewsurRX7U,https://www.google.com/maps/place/?q=place_id:ChIJOa24OgB3jDkRtDewsurRX7U,part_382,2026-09-20 20:50:02
Skyline Infraventures,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,,,"23QP+M5F, North Redma, Medininagar, Jharkhand 822102",North Redma,24.039154,84.08542589999999,ChIJCbzeOAB3jDkRP6w4z-UGgoc,https://www.google.com/maps/place/?q=place_id:ChIJCbzeOAB3jDkRP6w4z-UGgoc,part_382,2026-09-20 20:50:02
