business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sholay Cricket Academy,Sports Academy and Turf Ground,Sports club,Sports club,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,3.0,,"satkar bhavan, Hno 25, bye pass road, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.038164,84.0669545,ChIJrbanblR3jDkR6rlWN1ApdGU,https://www.google.com/maps/place/?q=place_id:ChIJrbanblR3jDkR6rlWN1ApdGU,part_382,2026-09-20 20:49:57
Zila School Field,Sports Academy and Turf Ground,Playground,"Playground, Cricket ground",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,4.0,,"23Q7+9CJ, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0384593,84.06352009999999,ChIJf_iaMdJ3jDkRkIhy4l-xjOY,https://www.google.com/maps/place/?q=place_id:ChIJf_iaMdJ3jDkRkIhy4l-xjOY,part_382,2026-09-20 20:49:57
TOWN HALL PLAY GROUND,Sports Academy and Turf Ground,Playground,Playground,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,3.9,,"23P6+2JW, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0351192,84.0615638,ChIJWZm7f9N3jDkRLk6s7f6H6Bo,https://www.google.com/maps/place/?q=place_id:ChIJWZm7f9N3jDkRLk6s7f6H6Bo,part_382,2026-09-20 20:49:57
Kutku Colony Ground,Sports Academy and Turf Ground,Cricket ground,Cricket ground,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,3.5,,"SUDNA, Medininagar, Jharkhand 822101",SUDNA,24.046091099999998,84.0735613,ChIJ-YiKFcR3jDkRNdYQzjq-zZY,https://www.google.com/maps/place/?q=place_id:ChIJ-YiKFcR3jDkRNdYQzjq-zZY,part_382,2026-09-20 20:49:57
Brahman Vidayala Ground,Sports Academy and Turf Ground,Playground,Playground,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,3.6,,"23X9+X8V, SUDNA, Medininagar, Jharkhand 822101",SUDNA,24.0499771,84.0682884,ChIJX-2kghx3jDkR2G5iBVugYUA,https://www.google.com/maps/place/?q=place_id:ChIJX-2kghx3jDkR2G5iBVugYUA,part_382,2026-09-20 20:49:57
Aryans Cricket Academy daltonganj,Sports Academy and Turf Ground,Cricket club,Cricket club,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,4.5,19.0,"333H+7GQ, Adarsh Nagar, Housing Colony, Medininagar, Jharkhand 822102","Adarsh Nagar, Housing Colony",24.053200099999998,84.07884829999999,ChIJK5TxDAB3jDkRKbCxdlHxoiA,https://www.google.com/maps/place/?q=place_id:ChIJK5TxDAB3jDkRKbCxdlHxoiA,part_382,2026-09-20 20:49:58
Hussainabad Cricket Academy,Sports Academy and Turf Ground,Cricket club,Cricket club,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 82718 07669,N/A,4.2,5.0,"Gulbag Stadium, Japla, Jharkhand 822116",822101,24.5221561,83.99762199999999,ChIJT_thEaFHjDkRTaCdLsDDTa0,https://www.google.com/maps/place/?q=place_id:ChIJT_thEaFHjDkRTaCdLsDDTa0,part_382,2026-09-20 20:49:58
CH. DEEPCHAND SPORTS COMPLEX,Sports Academy and Turf Ground,Sports complex,"Sports complex, Badminton court, Cricket ground, Soccer practice, Taekwondo Coaching Center",822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",+91 87509 48500,https://www.cdcsports.com/,4.7,126.0,"C-483, Deoli, Raju Park, Sangam Vihar, New Delhi, Delhi 110080","Deoli, Raju Park, Sangam Vihar",28.503352699999997,77.2281337,ChIJb-kgibThDDkRTOygD9Q_jxo,https://www.google.com/maps/place/?q=place_id:ChIJb-kgibThDDkRTOygD9Q_jxo,part_382,2026-09-20 20:49:58
FOOTBALL STADIUM,Sports Academy and Turf Ground,Sports complex,Sports complex,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,4.0,,"Unnamed Road, Baralota, Medininagar, Jharkhand 822102",Baralota,24.0503958,84.0946376,ChIJQ580R_B3jDkRFgNJASRXCB0,https://www.google.com/maps/place/?q=place_id:ChIJQ580R_B3jDkRFgNJASRXCB0,part_382,2026-09-20 20:49:58
"Dhoni cricket academy, Daltonganj",Sports Academy and Turf Ground,Cricket club,Cricket club,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,https://www.facebook.com/share/14HpTpuLJbH/,4.4,,"23RR+FFP, DevKunj, Baralota, Medininagar, Jharkhand 822102","DevKunj, Baralota",24.0412246,84.0912156,ChIJOea5OQB3jDkRok6BWALNW6w,https://www.google.com/maps/place/?q=place_id:ChIJOea5OQB3jDkRok6BWALNW6w,part_382,2026-09-20 20:49:58
Roof cricket,Sports Academy and Turf Ground,Playground,Playground,822101,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj HO, Belwatikar Nd SO, Daltonganj Bazar SO",N/A,N/A,5.0,,"Harbansh Bhawan, Abadganj, Medininagar, Jharkhand 822101",Abadganj,24.040916,84.076589,ChIJvRmwcGh3jDkRA2t5fAKNf8Y,https://www.google.com/maps/place/?q=place_id:ChIJvRmwcGh3jDkRA2t5fAKNf8Y,part_382,2026-09-20 20:49:58
