business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Baba dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,3.7,249.0,"NH39, Jorkat, Medininagar, Jharkhand 822102",822102,23.9883225,84.1328865,ChIJ0Z1hcOOHizkRBBuQLWTgocQ,https://www.google.com/maps/place/?q=place_id:ChIJ0Z1hcOOHizkRBBuQLWTgocQ,part_382,2026-09-20 20:50:14
Apna Dhaba Family Restaurant & R K S Hotel & Rest house 🛏️,Dhaba and Highway Restaurant,Restaurant,Restaurant,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",+91 62030 60635,N/A,3.9,120.0,"NH39, Jorkat, Medininagar, Jharkhand 822102",822102,23.987927799999998,84.1328537,ChIJn2HGYreHizkRf7ecPbsQoi4,https://www.google.com/maps/place/?q=place_id:ChIJn2HGYreHizkRf7ecPbsQoi4,part_382,2026-09-20 20:50:14
Highway Inn Family Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",+91 79879 70541,N/A,3.8,,"3X87+9WX, Pandripan, Chhattisgarh 494001",822102,19.0659994,81.9648555,ChIJM6E6qZwTMDoRdJBrptvgv-w,https://www.google.com/maps/place/?q=place_id:ChIJM6E6qZwTMDoRdJBrptvgv-w,part_382,2026-09-20 20:50:14
Madanwal Dhaba,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,4.0,,"6GHQ+5G5, Ghaghra, Anadhradih, Jharkhand 835208",822102,23.2278892,84.5388498,ChIJpdkDjKXhijkRnFKnW3PNSz0,https://www.google.com/maps/place/?q=place_id:ChIJpdkDjKXhijkRnFKnW3PNSz0,part_382,2026-09-20 20:50:14
Keshloor Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",+91 94062 27031,N/A,3.7,,"NH 63, Sosanpal, Chhattisgarh 494442",822102,19.0174241,81.91606639999999,ChIJjQrhWdEUMDoRq49jOxWi9dc,https://www.google.com/maps/place/?q=place_id:ChIJjQrhWdEUMDoRq49jOxWi9dc,part_382,2026-09-20 20:50:14
Jagmohan Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,3.9,35.0,"GF6X+HW6, Palu, Jharkhand 835219",822102,23.511405999999997,85.4997522,ChIJC0r-06Hw9DkRbO9pZi36O1g,https://www.google.com/maps/place/?q=place_id:ChIJC0r-06Hw9DkRbO9pZi36O1g,part_382,2026-09-20 20:50:15
DJ Dhaba,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,4.0,18.0,"6VCF+C8G, Bharno, Jharkhand 835203",822102,23.2210592,84.8733159,ChIJfTLsdADVijkRqEHD7aD2kVU,https://www.google.com/maps/place/?q=place_id:ChIJfTLsdADVijkRqEHD7aD2kVU,part_382,2026-09-20 20:50:15
Raj Dhaba And Restaurants,Dhaba and Highway Restaurant,Dhaba,Dhaba,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,3.8,105.0,"F2HR+27J, Karkat, Jharkhand 835214",822102,23.4775851,85.0406486,ChIJF8lDbOnR9DkRdRnvO-Jwl8c,https://www.google.com/maps/place/?q=place_id:ChIJF8lDbOnR9DkRdRnvO-Jwl8c,part_382,2026-09-20 20:50:15
Hill view Dhaba,Dhaba and Highway Restaurant,Indian restaurant,Indian restaurant,822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",N/A,N/A,3.9,86.0,"NH-33, Pundag, Jharkhand 835219",822102,23.5404308,85.50032639999999,ChIJFXMbWW7x9DkR2uOhxkVEv_8,https://www.google.com/maps/place/?q=place_id:ChIJFXMbWW7x9DkR2uOhxkVEv_8,part_382,2026-09-20 20:50:15
Jharkhand Dhaba,Dhaba and Highway Restaurant,Food court,"Food court, Dhaba",822102,Jharkhand Circle,Ranchi Region,Palamau Division,"Daltonganj College SO, Chiyanki BO, I E Sudna BO",+91 99114 22351,N/A,3.9,23.0,"2, Gali No. 8, Wazirabad, Delhi, 110084",Wazirabad,28.7264923,77.2191126,ChIJ-WTHhk7_DDkRMunu9iFh-Ag,https://www.google.com/maps/place/?q=place_id:ChIJ-WTHhk7_DDkRMunu9iFh-Ag,part_382,2026-09-20 20:50:15
