business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CHANDAN JAISWAL INSURANCE ADVISOR,Insurance Agent,Insurance agency,Insurance agency,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 72775 12022,N/A,,,"C/O- JAISWAL STUDIO, MAIN ROAD, DIST, Shri Banshidhar Nagar, Jharkhand 822121",822112,24.2835203,83.49488699999999,ChIJp-Gj2WuljjkROs7CW-_JqtU,https://www.google.com/maps/place/?q=place_id:ChIJp-Gj2WuljjkROs7CW-_JqtU,part_382,2026-09-20 20:52:34
Surendra Yadav Lic Adviser House,Insurance Agent,Life insurance agency,Life insurance agency,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 62076 76150,N/A,,,"Vill Tharka Post Chitvishram, Ps, Shri Banshidhar Nagar, Jharkhand 822121",822112,24.2398953,83.4624614,ChIJGcGhYTuljjkREn48lbLFsG4,https://www.google.com/maps/place/?q=place_id:ChIJGcGhYTuljjkREn48lbLFsG4,part_382,2026-09-20 20:52:34
Harsh General Store,Insurance Agent,Insurance agency,"Insurance agency, Business banking service, General store, Life insurance agency",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 91623 42236,N/A,3.0,2.0,"Kushdand, near School, Ahirpurwa, Jharkhand 822121",822112,24.2636012,83.5198642,ChIJCa5uvxqnjjkRjrhoWqLTrnI,https://www.google.com/maps/place/?q=place_id:ChIJCa5uvxqnjjkRjrhoWqLTrnI,part_382,2026-09-20 20:52:34
Fino Payments Bank,Insurance Agent,Insurance agency,"Insurance agency, ATM, Financial institution, Money transfer service",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 97090 65152,https://www.finobank.com/,5.0,2.0,"Ward No 2, Vill -Adar Post-Adar Ps, Manjhiaon Rd, Adar, Garhwa, Jharkhand 822134",Adar,24.3390217,83.7060467,ChIJHdncsl0ZjDkRIDwao9R849k,https://www.google.com/maps/place/?q=place_id:ChIJHdncsl0ZjDkRIDwao9R849k,part_382,2026-09-20 20:52:34
Fino Payments Bank,Insurance Agent,Insurance agency,"Insurance agency, Bank, Money transfer service, Savings bank",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 99569 91988,https://www.finobank.com/,5.0,1.0,"288, gram kone pashchchmi, post kone,thanakone, Ramgarh, Uttar Pradesh 822121",822112,24.341615599999997,83.46618889999999,ChIJDbCXyJijjjkRmg8rDKs6H5s,https://www.google.com/maps/place/?q=place_id:ChIJDbCXyJijjjkRmg8rDKs6H5s,part_382,2026-09-20 20:52:34
Tata Capital Limited,Insurance Agent,Insurance agency,"Insurance agency, Financial advisor, Financial institution, Loan agency",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 1860 267 6060,https://branches.tatacapital.com/tata-capital-limited-bhawnathpur-financial-institutions-bhawnathpur-garhwa-282745/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor Bhawnathpur, Plot No 414, near Karuri Chowk, Bansani, Chapri, Jharkhand 822112",822112,24.39471,83.5751658,ChIJIZt6ewifjjkR_UwZy76skgc,https://www.google.com/maps/place/?q=place_id:ChIJIZt6ewifjjkR_UwZy76skgc,part_382,2026-09-20 20:52:34
"Reliance Nippon life insurance,Advisar, Mukesh Kumar Gupta",Insurance Agent,Insurance agency,Insurance agency,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,,,"CCW4+C72, Raje, Jharkhand 822112",822112,24.4460028,83.40564379999999,ChIJo3YELQCXjjkRt-edWsncQU8,https://www.google.com/maps/place/?q=place_id:ChIJo3YELQCXjjkRt-edWsncQU8,part_382,2026-09-20 20:52:34
Shriram Life Insurance company Ltd.,Insurance Agent,Insurance agency,Insurance agency,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,5.0,1.0,"Chiniya Rd, Chinia More, Nehru Nagar, Bishunpur, Garhwa, Jharkhand 822114","Chinia More, Nehru Nagar, Bishunpur",24.1563657,83.80124819999999,ChIJG1axNgAPjDkRxoXrHvXkya4,https://www.google.com/maps/place/?q=place_id:ChIJG1axNgAPjDkRxoXrHvXkya4,part_382,2026-09-20 20:52:34
Star health allied insurance,Insurance Agent,Insurance company,Insurance company,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,,,"Dr S kumar complex, Main road, Eriquee Mohalla, Garhwa, Jharkhand 822114",Eriquee Mohalla,24.161216099999997,83.8085261,ChIJO6jKanoPjDkR45mp_IqO7SE,https://www.google.com/maps/place/?q=place_id:ChIJO6jKanoPjDkR45mp_IqO7SE,part_382,2026-09-20 20:52:34
Motilal Oswal Financial Services Limited,Insurance Agent,Stock broker,"Stock broker, Financial advisor, Investment company, Online Share Trading Center",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 98215 20268,https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-rekha-sharma-stock-broker-kharaundhi-garhwa-309439/Home?utm_source=locator&utm_medium=googleplaces,,,"Ward No 1, Garhwa, Kharaundhi, Nawadih, Jharkhand 822112",Garhwa,24.458947799999997,83.57107889999999,ChIJAQLaXtyfjjkR48aGBHzSbTY,https://www.google.com/maps/place/?q=place_id:ChIJAQLaXtyfjjkR48aGBHzSbTY,part_382,2026-09-20 20:52:34
Bajaj Life Insurance,Insurance Agent,Life insurance agency,"Life insurance agency, Insurance agency",822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",+91 20 6712 1212,https://branch.bajajlifeinsurance.com/bajaj-life-insurance-sahijana-life-insurance-sahijana-garhwa-163113/Home?utm_source=locator&utm_medium=googleplaces,4.9,230.0,"Chiniya Road, Sahijana Rd, beside GP Plaza, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1575016,83.80229779999999,ChIJGTZVVQEPjDkRc8Ux6Vfw7r0,https://www.google.com/maps/place/?q=place_id:ChIJGTZVVQEPjDkRc8Ux6Vfw7r0,part_382,2026-09-20 20:52:34
Dev Kumar Yadav,Insurance Agent,Insurance agency,Insurance agency,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,,,"CCCH+2MV, Vill - Sundi ( Parswan, Kharaundhi, Jharkhand 822112",822112,24.420109699999998,83.4291622,ChIJ-U-JfwCZjjkRp34bHIAceKA,https://www.google.com/maps/place/?q=place_id:ChIJ-U-JfwCZjjkRp34bHIAceKA,part_382,2026-09-20 20:52:34
LIC GARHWA BRANCH OFFICE,Insurance Agent,Government office,Government office,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,3.9,77.0,"5R53+25W, Chinia More, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Chinia More, Nehru Nagar, Pipra Khurd",24.1576198,83.8029428,ChIJ8ef1sQEPjDkRUJ0mdkEvwQQ,https://www.google.com/maps/place/?q=place_id:ChIJ8ef1sQEPjDkRUJ0mdkEvwQQ,part_382,2026-09-20 20:52:35
Imate Insurance Marketing Pvt Ltd,Insurance Agent,Corporate office,Corporate office,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,,,"5R54+WWX all insurance problems served here, Eriquee Mohalla, Garhwa, Jharkhand 822114",Eriquee Mohalla,24.159855999999998,83.8073608,ChIJP36_FgkPjDkRRpo1UlA0hJI,https://www.google.com/maps/place/?q=place_id:ChIJP36_FgkPjDkRRpo1UlA0hJI,part_382,2026-09-20 20:52:35
"LIC of India, Branch Office",Insurance Agent,Insurance company,Insurance company,822112,Jharkhand Circle,Ranchi Region,Palamau Division,"Bhawnathpur SO, Amrora BO, Arangi BO",N/A,N/A,3.5,14.0,"House Of Sri R.K. Pandey, KUTCHERY ROAD, Garhwa, Jharkhand 822124",822112,24.2189472,83.88644169999999,ChIJKRi9rX0SjDkR1kOeqjyhKkQ,https://www.google.com/maps/place/?q=place_id:ChIJKRi9rX0SjDkR1kOeqjyhKkQ,part_382,2026-09-20 20:52:35
