business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bhavya Consultancy Services,B2B Appointment-Setting Agencies,Software company,Software company,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80511 62515,http://www.bhavyaconsultancyservices.com/,5.0,1.0,"House no 230 , Ward, 11, Sahijana Rd, Chinia More, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Chinia More, Nehru Nagar, Pipra Khurd",24.155737,83.8047064,ChIJNUkmtNAPjDkRfWPicw7AWCI,https://www.google.com/maps/place/?q=place_id:ChIJNUkmtNAPjDkRfWPicw7AWCI,part_383,2026-09-20 20:52:16,3763
Bijaylaxmi Recruitment Point,B2B Appointment-Setting Agencies,Consultant,"Consultant, BPO Placement Agency, Unemployment office, Employment center, Employment consultant, Human resource consulting",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 82990 15212,https://sites.google.com/view/bijaylaxmirecruitmentpoint/,5.0,23.0,"Shop no 09, Guru Govind Singh Complex, Pared Kothi, Maldahiya, Chetganj, Varanasi, Uttar Pradesh 221001","Pared Kothi, Maldahiya, Chetganj",25.325621599999998,82.9925099,ChIJbbFIv1AtjjkRzIGynrG8aLU,https://www.google.com/maps/place/?q=place_id:ChIJbbFIv1AtjjkRzIGynrG8aLU,part_383,2026-09-20 20:52:16,3764
Webmobilez Inc,B2B Appointment-Setting Agencies,Employment consultant,"Employment consultant, Service establishment",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 96424 64660,http://webmobilez.com/,5.0,1.0,"Webmobilez Inc, 822114, India",822114,21.0680074,82.7525294,ChIJ1_wj78WQyzsRrzbgc8i6BYE,https://www.google.com/maps/place/?q=place_id:ChIJ1_wj78WQyzsRrzbgc8i6BYE,part_383,2026-09-20 20:52:16,3765
Kaam Paye : Job and Staff Placement Company,B2B Appointment-Setting Agencies,Employment consultant,Employment consultant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,https://www.kaampaye.in/,5.0,1.0,"Power House, Public School, Sakari Road, near DAV Road, Gangwara, Sara Mohanpur, Bihar 846007",Gangwara,26.171934099999998,85.9333415,ChIJ-_sjOP3H7TkRQA7A6hJ3wAg,https://www.google.com/maps/place/?q=place_id:ChIJ-_sjOP3H7TkRQA7A6hJ3wAg,part_383,2026-09-20 20:52:16,3766
Kumar Consultancy,B2B Appointment-Setting Agencies,Corporate office,"Corporate office, Computer support and services",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 70702 31313,N/A,5.0,2.0,"BBC Rd, Jai Prakash Nagar, Giridih, Jharkhand 834001",Jai Prakash Nagar,24.1860002,86.3108116,ChIJLxnfYrtV8TkRSOl8SF8tJw8,https://www.google.com/maps/place/?q=place_id:ChIJLxnfYrtV8TkRSOl8SF8tJw8,part_383,2026-09-20 20:52:16,3767
Open calls details,B2B Appointment-Setting Agencies,BPO Placement Agency,"BPO Placement Agency, Employment center, Training center",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 90065 57363,N/A,5.0,2.0,"98CQ+7FJ, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.37071,85.3386539,ChIJ-UOnO3Lh9DkRzq4twjkHavQ,https://www.google.com/maps/place/?q=place_id:ChIJ-UOnO3Lh9DkRzq4twjkHavQ,part_383,2026-09-20 20:52:16,3768
Jk Sales And Service,B2B Appointment-Setting Agencies,Shopping mall,Shopping mall,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 92965 61240,https://www.facebook.com/share/18XLfry1Qt/,4.7,15.0,"2nd floor, jk saleas and service, vioray plaza, Deoghar, Jharkhand 814112",Williams Town,24.491564,86.6915767,ChIJQ3-zmUwX8TkRbjg4Rzx7dSU,https://www.google.com/maps/place/?q=place_id:ChIJQ3-zmUwX8TkRbjg4Rzx7dSU,part_383,2026-09-20 20:52:16,3769
Rural BPO,B2B Appointment-Setting Agencies,BPO Placement Agency,BPO Placement Agency,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"62Q5+JXM, Dumka - Jamtara Rd, Palajori, Nawadih, Jharkhand 814146",822114,24.2390942,87.0099261,ChIJ-Y59vIzR8DkRq0mwgkvOxT4,https://www.google.com/maps/place/?q=place_id:ChIJ-Y59vIzR8DkRq0mwgkvOxT4,part_383,2026-09-20 20:52:16,3770
Nirmal Gyan Enterprises - HR Solutions,B2B Appointment-Setting Agencies,Employment agency,Employment agency,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80102 80101,https://www.meravyapaar.com/,4.9,23.0,"Number 11, 227 A, Lane, Sahastradhara Rd, near IT PARK SAHASTRADHARA ROAD, DEHRADUN, Rajeshwar Nagar Phase 2, Dehradun, Uttarakhand 248013","Rajeshwar Nagar Phase 2, Govind Vihar",30.3583115,78.0877774,ChIJu2CCUTABDTkR4UjZYB2ZsoQ,https://www.google.com/maps/place/?q=place_id:ChIJu2CCUTABDTkR4UjZYB2ZsoQ,part_383,2026-09-20 20:52:16,3771
Post Offis Ajent,B2B Appointment-Setting Agencies,Travel agency,Travel agency,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 70048 93615,N/A,,,"Bind Muhalla, Ds28177, Jharkhand 825401",822114,24.144071999999998,84.8501141,ChIJm-6Yl0KpjDkR6UnDc6drb1s,https://www.google.com/maps/place/?q=place_id:ChIJm-6Yl0KpjDkR6UnDc6drb1s,part_383,2026-09-20 20:52:16,3772
Alpran Software Pvt. Ltd. (Recruitment Agency - PAN India),B2B Appointment-Setting Agencies,Human resource consulting,Human resource consulting,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98399 55309,http://www.alpransoftware.com/,3.8,349.0,"Maruti Suzuki Showroom, Arjun Complex, B38/1K, Rathyatra - Mahmoorganj Rd, Mahmoorganj, Varanasi, Uttar Pradesh 221010",Mahmoorganj,25.305868,82.9849857,ChIJ9_XfngcyjjkRw1DD885U_j8,https://www.google.com/maps/place/?q=place_id:ChIJ9_XfngcyjjkRw1DD885U_j8,part_383,2026-09-20 20:52:16,3773
Online Sewa : Digital Marketing Company Darbhanga,B2B Appointment-Setting Agencies,Internet marketing service,Internet marketing service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91552 18218,https://www.onlinesewa.in/,4.8,43.0,"DAV Road, Sara Mohanpur, Bihar 846007",822114,26.1711624,85.9321253,ChIJxczXzv657TkRgw6ohu0mKFQ,https://www.google.com/maps/place/?q=place_id:ChIJxczXzv657TkRgw6ohu0mKFQ,part_383,2026-09-20 20:52:16,3774
Jharkhand Online Sewa,B2B Appointment-Setting Agencies,Coaching Center,Coaching Center,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62031 41066,N/A,,,"Rajrappa Road, near Gola Block, Gola, Heramdaga, Jharkhand 829110",822114,23.542504899999997,85.71968919999999,ChIJB5Dgf8Nb9DkR_ItEkEYhI5E,https://www.google.com/maps/place/?q=place_id:ChIJB5Dgf8Nb9DkR_ItEkEYhI5E,part_383,2026-09-20 20:52:16,3775
The Job Creator Consultancy and Services,B2B Appointment-Setting Agencies,Human resource consulting,Human resource consulting,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 70704 12567,https://jobcreatorservices.com/,4.9,,"Ahead, Singh More, opp. NIFT, Patel Nagar, Ekta Nagar, Ranchi, Jharkhand 834003","Patel Nagar, Ekta Nagar",23.2927225,85.31172099999999,ChIJIbeC__Qf9TkRMI94a22r0rM,https://www.google.com/maps/place/?q=place_id:ChIJIbeC__Qf9TkRMI94a22r0rM,part_383,2026-09-20 20:52:55,8700
PlacementIndia.com,B2B Appointment-Setting Agencies,Employment center,"Employment center, BPO Placement Agency, City employment department, Employment consultant, Recruiter",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 89291 75342,https://www.placementindia.com/,3.2,,"33 & 33A, Rama Road, Industrial Area, Near Kirti Nagar Metro Station, New Delhi, Delhi 110015","Block C, Najafgarh Road Industrial Area",28.6602242,77.1517968,ChIJq90UAP8CDTkR9FiGjqLIsfs,https://www.google.com/maps/place/?q=place_id:ChIJq90UAP8CDTkR9FiGjqLIsfs,part_383,2026-09-20 20:52:55,8701
Jobs Today,B2B Appointment-Setting Agencies,Employment agency,Employment agency,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 76310 01200,http://www.jobstodayindia.in/know-us.htm,4.6,,"Ark Complex, 3rd Floor, Shop No 2, Beside Lalpur Thana, Lalpur, Ranchi, Jharkhand 834001","Income Tax Colony, Lalpur",23.3715652,85.3356161,ChIJZ4A7lnLh9DkRS1fYjUEd5JI,https://www.google.com/maps/place/?q=place_id:ChIJZ4A7lnLh9DkRS1fYjUEd5JI,part_383,2026-09-20 20:52:55,8702
SWOT India,B2B Appointment-Setting Agencies,Recruiter,"Recruiter, Employment consultant",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 95467 02666,http://swotindia.com/,4.9,,"Ground Floor, Sandhya Dwarika, MIG-617, near Prabhat Park, Dindli Basti, Adityapur, Jamshedpur, Jharkhand 831013","Dindli Basti, Adityapur",22.7886466,86.169426,ChIJT-i0huHl9TkR_GEOAiSn9kw,https://www.google.com/maps/place/?q=place_id:ChIJT-i0huHl9TkR_GEOAiSn9kw,part_383,2026-09-20 20:52:55,8703
RANCHI JOBS,B2B Appointment-Setting Agencies,Employment agency,"Employment agency, BPO Placement Agency, Call center, Corporate office, Data Entry Service Provider, Employment center, Employment consultant, Recruiter, Security guard service, Shipping service, Unemployment office",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 91994 46378,http://www.ranchijobs.in/,4.5,,"1st Floor, R.B Complex Sharda Babu Ln, Albert Ekka Chowk, Ranchi, Jharkhand 834001","Deputy Para, Ahirtoli",23.3710955,85.32495,ChIJu8Hfwxrh9DkRx-3pWXKOqrM,https://www.google.com/maps/place/?q=place_id:ChIJu8Hfwxrh9DkRx-3pWXKOqrM,part_383,2026-09-20 20:52:55,8704
Gyanvi Solutions,B2B Appointment-Setting Agencies,Employment consultant,Employment consultant,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 82497 39591,http://gyanvisolutions.co.in/,4.1,,"Q55H+WXM, Adityapur, Main Rd, Gamharia, Jamshedpur, Jharkhand 831002","Samoijhupri, Gamharia",22.7598278,86.179932,ChIJG3z8-av89TkRVFidSHFY8m0,https://www.google.com/maps/place/?q=place_id:ChIJG3z8-av89TkRVFidSHFY8m0,part_383,2026-09-20 20:52:55,8705
JOBS.COM,B2B Appointment-Setting Agencies,Employment center,"Employment center, Business to business service, Career guidance service, Education center, Employment consultant, Human resource consulting, Recruiter, Talent agency, Training center, Unemployment office",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 95721 15515,http://jobs.com/,4.3,,"2nd Floor, New Market Complex, Hazaribagh Rd, near Indian Petrol Pump, Tharpakhna, Ranchi, Jharkhand 834001",Tharpakhna,23.37152,85.32904599999999,ChIJkdytgszj9DkRcajnBb1Puq4,https://www.google.com/maps/place/?q=place_id:ChIJkdytgszj9DkRcajnBb1Puq4,part_383,2026-09-20 20:52:55,8706
Job mart asansol job placement consultancy,B2B Appointment-Setting Agencies,Employment consultant,"Employment consultant, BPO Placement Agency, Consultant, Human resource consulting, Recruiter, Unemployment office",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 76996 90367,http://www.jobmartasansol.in/,4.7,,"Budha Rd, near pnt Kali mandir, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6845477,86.9623841,ChIJpd7CtrUf9zkRQ935r5rKZbQ,https://www.google.com/maps/place/?q=place_id:ChIJpd7CtrUf9zkRQ935r5rKZbQ,part_383,2026-09-20 20:52:55,8707
APS Job Center,B2B Appointment-Setting Agencies,Employment agency,"Employment agency, Unemployment office",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 98703 19133,N/A,3.6,5.0,"Sinha Bhawan, Nirmal Path, Gamharia, Chota Gamaria, Jamshedpur, Jharkhand 832108",Gamharia,22.8171063,86.0991714,ChIJM0FyQ4Hl9TkRrXxdx0sjEic,https://www.google.com/maps/place/?q=place_id:ChIJM0FyQ4Hl9TkRrXxdx0sjEic,part_383,2026-09-20 20:52:55,8708
Talent Management Center,B2B Appointment-Setting Agencies,Education center,Education center,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 62065 10351,https://www.tmcjsr.in/,4.9,,"Ground Floor, behind City Style, Gamharia, Jamshedpur, Jharkhand 832108",Gamharia,22.8152652,86.1015836,ChIJXf3qjSPl9TkRq7CDnuGMfYs,https://www.google.com/maps/place/?q=place_id:ChIJXf3qjSPl9TkRq7CDnuGMfYs,part_383,2026-09-20 20:52:55,8709
