business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Adity Birla Chemicals (India) Ltd.,Chemical Wholesalers,Chemical plant,Chemical plant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 6584 262 211,N/A,4.0,60.0,"Rehla, Jharkhand 822124",822114,24.228287899999998,83.88433649999999,ChIJAx0H9mMSjDkRbmrSL3du_pI,https://www.google.com/maps/place/?q=place_id:ChIJAx0H9mMSjDkRbmrSL3du_pI,part_383,2026-09-20 20:52:12,3480
Ashwin Chemical And Minerals (Mfg. Of Ferric Alum),Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 87891 27552,http://www.purifikem.com/,3.0,2.0,"Main Road, beside सेन्ट्रल बैंक ऑफ़ इंडिया, Ramgarh Cantonment, Jharkhand 829122",822114,23.6307296,85.5134181,ChIJNWw2n1bz9DkRy4skhh1r1BU,https://www.google.com/maps/place/?q=place_id:ChIJNWw2n1bz9DkRy4skhh1r1BU,part_383,2026-09-20 20:52:12,3481
B S Enterprises,Chemical Wholesalers,Transportation service,Transportation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 172 262 4893,N/A,,,"5R32+79R, Unnamed Road, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Nehru Nagar, Pipra Khurd",24.153232,83.800899,ChIJxa3-eXcPjDkRjFAsaFISrWg,https://www.google.com/maps/place/?q=place_id:ChIJxa3-eXcPjDkRjFAsaFISrWg,part_383,2026-09-20 20:52:12,3482
Om Chemical Works,Chemical Wholesalers,FMCG Manufacturer,FMCG Manufacturer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,8.0,"Grand Trunk Rd, Kandra, Dhanbad, Jharkhand 828109",822114,23.844431,86.4896234,ChIJi1_TzMK79jkRQyiJXpDyY8g,https://www.google.com/maps/place/?q=place_id:ChIJi1_TzMK79jkRQyiJXpDyY8g,part_383,2026-09-20 20:52:12,3483
Hemant Traders,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Chemical Exporter, Chemical plant, Chemical Manufacturer, Importer",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,http://www.hemanttraders.com/,4.6,45.0,"Shop No G1, Ground Floor, Ranjit Residency, Baralal St, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.3721288,85.3170123,ChIJ94obOUzg9DkRFq8mgt08fyI,https://www.google.com/maps/place/?q=place_id:ChIJ94obOUzg9DkRFq8mgt08fyI,part_383,2026-09-20 20:52:12,3484
Dashmesh Chemicals,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Industrial consultant",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 87898 58560,N/A,4.4,,"Purulia Rd, near Chas college, Divanganj, Chas, Bokaro Steel City, Jharkhand 827013","Divanganj, Chas",23.5823872,86.1974446,ChIJAT4SDXgh9DkRWipz80dqYkM,https://www.google.com/maps/place/?q=place_id:ChIJAT4SDXgh9DkRWipz80dqYkM,part_383,2026-09-20 20:52:13,3485
India Scientific & Chemical Enterprises,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98355 31699,N/A,5.0,,"Bus Stand, Patel Nagar, Dhanbad, Jharkhand 826007",Patel Nagar,23.806833299999997,86.43255099999999,ChIJO4wZwKS89jkRmEU5NUMJx0s,https://www.google.com/maps/place/?q=place_id:ChIJO4wZwKS89jkRmEU5NUMJx0s,part_383,2026-09-20 20:52:13,3486
Shree Laxmi Chemicals.,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Bathroom supply store, Chemical Exporter, Chemical plant, Chemical Manufacturer, Cleaning products supplier, Supplier, Household chemicals supplier, Industrial chemicals wholesaler, Manufacturer",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98350 45201,http://www.shreelaxmichemical.com/,4.7,262.0,"more, opposite Electric Transformer, Jhauganj, Chamdoriya, Patna, Bihar 800008","Jhauganj, Chamdoriya",25.5960793,85.2321827,ChIJp3l9pYJf7TkReLtEvtSXF-s,https://www.google.com/maps/place/?q=place_id:ChIJp3l9pYJf7TkReLtEvtSXF-s,part_383,2026-09-20 20:52:14,3487
Prosperous World Chemical,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Laboratory equipment supplier, Water treatment supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 6542 233 508,http://www.pwchemical.in/,2.0,2.0,"HF-13, CITY CENTRE, near OBC BANK, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6662288,86.1483421,ChIJFeLRlbQj9DkRQFwni5i_hXo,https://www.google.com/maps/place/?q=place_id:ChIJFeLRlbQj9DkRQFwni5i_hXo,part_383,2026-09-20 20:52:14,3488
Chaudhari Chemicals Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 81401 46545,https://www.chaudharichemicals.com/,4.7,39.0,"Shed No. C/4, Atria Business zone Complex, Naroda Rd, opp. Arvind Mills, Aditya Nagar, D Colony, Ahmedabad, Gujarat 382345","Aditya Nagar, D Colony",23.0452969,72.6158641,ChIJra3hVA2FXjkRNNqs1JZcpfo,https://www.google.com/maps/place/?q=place_id:ChIJra3hVA2FXjkRNNqs1JZcpfo,part_383,2026-09-20 20:52:14,3489
