business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SRI KHATU SHYAM FLEX PRINTING,Flex and Banner Printing,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 74886 41566,N/A,5.0,,"Eriquee Mohalla, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Eriquee Mohalla, Nehru Nagar, Pipra Khurd",24.159073499999998,83.8085091,ChIJcRA2cQoPjDkRq-VHPpJY-ZU,https://www.google.com/maps/place/?q=place_id:ChIJcRA2cQoPjDkRq-VHPpJY-ZU,part_383,2026-09-20 20:52:07,2803
Brother' Flex Printing,Flex and Banner Printing,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 89878 09769,N/A,4.9,,"Peterbar, Jharkhand 829121",822114,23.6163933,85.8540227,ChIJRyMCDQBB9DkRP4CArah0Zpg,https://www.google.com/maps/place/?q=place_id:ChIJRyMCDQBB9DkRP4CArah0Zpg,part_383,2026-09-20 20:52:07,2804
Sri Mangalam Graphics,Flex and Banner Printing,Commercial printer,Commercial printer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93347 57111,N/A,4.1,,"5R64+2CV, Eriquee Mohalla, Dipwan Mohalla, Garhwa, Jharkhand 822114","Eriquee Mohalla, Dipwan Mohalla",24.1601021,83.80605609999999,ChIJ5____wMPjDkRZS4dUC0VOK8,https://www.google.com/maps/place/?q=place_id:ChIJ5____wMPjDkRZS4dUC0VOK8,part_383,2026-09-20 20:52:07,2805
Barnwal Flex,Flex and Banner Printing,Print shop,Print shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 92636 36326,N/A,4.5,,"Buxidih Rd, Buxidih, Giridih, Jharkhand 815301",Buxidih,24.185637999999997,86.30624739999999,ChIJN3sfni9U8TkRo4tCOQPg6D8,https://www.google.com/maps/place/?q=place_id:ChIJN3sfni9U8TkRo4tCOQPg6D8,part_383,2026-09-20 20:52:45,7680
Latehar flex Printing,Flex and Banner Printing,Print shop,"Print shop, Printing equipment supplier",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 83058 14645,N/A,5.0,14.0,"Main Rd, Karkat, Latehar, Jharkhand 829206",Karkat,23.7440464,84.4996113,ChIJU8DO1INtizkR_3iThVtBvdU,https://www.google.com/maps/place/?q=place_id:ChIJU8DO1INtizkR_3iThVtBvdU,part_383,2026-09-20 20:52:46,7681
Rainbow Flex,Flex and Banner Printing,Print shop,"Print shop, Store",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 84700 34649,N/A,5.0,10.0,"Tamkuhi Raj, Nh-28b, Gorakhpur, Uttar Pradesh 273152",822115,26.698943399999997,84.1850868,ChIJRXYawRmZkzkRka-jTqzHXXk,https://www.google.com/maps/place/?q=place_id:ChIJRXYawRmZkzkRka-jTqzHXXk,part_383,2026-09-20 20:52:46,7682
SHAH PRINTCITY,Flex and Banner Printing,Print shop,"Print shop, Offset Printer",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 97091 28720,N/A,4.8,201.0,"98F6+XXH Bano Manzil, Shah villa, Harmu Rd, near Pahari mandir Ranchi, Ranchi, Jharkhand 834001","Shahbag Colony, Kumhartoli",23.374764199999998,85.3126044,ChIJS4h0ajnh9DkRnaxOtFL1LxE,https://www.google.com/maps/place/?q=place_id:ChIJS4h0ajnh9DkRnaxOtFL1LxE,part_383,2026-09-20 20:52:46,7683
Maa vindhyavasini printing press,Flex and Banner Printing,Print shop,Print shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 96519 49654,N/A,5.0,164.0,"Ward 13, Hamid nagar, near nagar palika office, Hameed Nagar, Tagore Nagar, Robertsganj, Uttar Pradesh 231216","Hameed Nagar, Tagore Nagar",24.6875313,83.0676129,ChIJObH1zc_5jjkRhXRNV5TrR10,https://www.google.com/maps/place/?q=place_id:ChIJObH1zc_5jjkRhXRNV5TrR10,part_383,2026-09-20 20:52:46,7684
Gayatri Computers Printing Works,Flex and Banner Printing,Print shop,Print shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 72929 06263,N/A,4.8,25.0,"Bijulia Talab Road, Rd Number 2, Surya Nagar, Ramgarh Cantonment, Jharkhand 829122","Surya Nagar, Bijulia",23.6228707,85.5159633,ChIJ97QRpXzz9DkRMnmc8EmNQ2k,https://www.google.com/maps/place/?q=place_id:ChIJ97QRpXzz9DkRMnmc8EmNQ2k,part_383,2026-09-20 20:52:46,7685
A R FLEX DIGITAL PRINTING PRESS,Flex and Banner Printing,Digital printing service,Digital printing service,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.8,11.0,"S1/129A, opposite UCO Bank - Shivpur Branch, Patrkarpuram, Gilat Bazar, Bhojuveer, Varanasi, Uttar Pradesh 221002","Patrkarpuram, Gilat Bazar, Bhojuveer",25.3523882,82.96925929999999,ChIJ2V-GJ8gtjjkRXhDLE_QEU7E,https://www.google.com/maps/place/?q=place_id:ChIJ2V-GJ8gtjjkRXhDLE_QEU7E,part_383,2026-09-20 20:52:46,7686
Flex Printing Advertising Agency,Flex and Banner Printing,Digital printing service,Digital printing service,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 98898 12151,N/A,5.0,118.0,"36, 71, Mahatma Gandhi Marg, Civil Lines, Prayagraj, Uttar Pradesh 211001",Civil Lines,25.4493688,81.8394706,ChIJ12I4uD3LmjkRVolBSrrXgw0,https://www.google.com/maps/place/?q=place_id:ChIJ12I4uD3LmjkRVolBSrrXgw0,part_383,2026-09-20 20:52:46,7687
Jai Bajrang offset & Flex Printers,Flex and Banner Printing,Print shop,Print shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.9,18.0,"Narayan katra gopiganj infront of post office Gopiganj, road, Gyanpur, Uttar Pradesh 221303",822115,25.2864179,82.4330243,ChIJP8OBvcTljzkRHYxRm4qR8t8,https://www.google.com/maps/place/?q=place_id:ChIJP8OBvcTljzkRHYxRm4qR8t8,part_383,2026-09-20 20:52:46,7688
Vinayak Art flex printing Press naugachia,Flex and Banner Printing,Digital printing service,Digital printing service,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 93043 67170,N/A,5.0,108.0,"Gaushala Rd, near Bal Bharti Vidyalaya, Naugachhia, Bihar 853204",822115,25.386671,87.100978,ChIJ7bAahTs78DkRFcQDUOxtDj8,https://www.google.com/maps/place/?q=place_id:ChIJ7bAahTs78DkRFcQDUOxtDj8,part_383,2026-09-20 20:52:46,7689
Vidya Vinayak Advertiser,Flex and Banner Printing,Banner store,Banner store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.4,13.0,"Jodhadih More, Main Rd, near Neelam Hospital, Bihar Colony, Chas, Bokaro Steel City, Jharkhand 827013","Bihar Colony, Chas",23.6323083,86.18333729999999,ChIJ7w7Z1UUh9DkRUnbPc6TlsJc,https://www.google.com/maps/place/?q=place_id:ChIJ7w7Z1UUh9DkRUnbPc6TlsJc,part_383,2026-09-20 20:52:46,7690
DREAM MEDIA - Flex Printing Services | Banner Printing | 3D Letter Board | Signage in Prayagraj Allahabad,Flex and Banner Printing,Digital printing service,"Digital printing service, Offset Printer, Screen printing shop",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 83184 34853,N/A,4.9,14.0,"Mansarovar Chauraha, 41/42, KP Kakkar Rd, beside Bharat Petroleum, Gosai Tola, Zero Road, Prayagraj, Uttar Pradesh 211003","Gosai Tola, Zero Road",25.4386381,81.8410954,ChIJi0868TjLmjkRvmykn5_tVhI,https://www.google.com/maps/place/?q=place_id:ChIJi0868TjLmjkRvmykn5_tVhI,part_383,2026-09-20 20:52:46,7691
VV DIGITAL Flex Banners Printing & Designing,Flex and Banner Printing,Print shop,"Print shop, Digital printing service",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 97051 54824,N/A,3.6,34.0,"OPP: mahalaxmi medical shop, almasguda gram Panchayat Road, Almasguda, Telangana 500112",Visaka Nagar,17.3083244,78.5339056,ChIJIQ_d-7WjyzsRwAY0O7-iT3I,https://www.google.com/maps/place/?q=place_id:ChIJIQ_d-7WjyzsRwAY0O7-iT3I,part_383,2026-09-20 20:52:47,7692
SK Graphics Flex Printing & Led Sign Boards,Flex and Banner Printing,Digital printing service,Digital printing service,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 99081 78937,https://www.google.com/search?sca_esv=2a19a3414e05e997&rlz=1CDGOYI_enIN1109IN1109&hl=en-GB&sxsrf=ADLYWIJ6uZkhh6yoASbM_6nLYLJlVHJOLw:1721663005260&q=www.skgraphicsflexprinting&nfpr=1&sa=X&ved=2ahUKEwjTz-e-_rqHAxU63TgGHUmvOdkQvgUoAXoECAoQAg&biw=393&bih=665&dpr=3,4.8,93.0,"Infront of Muhammadi majid, Survey of India Colony, Diamondhill, Puppalguda, Hyderabad, Telangana 500089","Survey of India Colony, Diamondhill, Puppalguda",17.3951063,78.3841353,ChIJPdtmZrOVyzsRRzj2Mlycb2A,https://www.google.com/maps/place/?q=place_id:ChIJPdtmZrOVyzsRRzj2Mlycb2A,part_383,2026-09-20 20:52:47,7693
