business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tiranga Flour Mill,Flour Mill,Flour mill,"Flour mill, Food court",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80848 24037,N/A,4.0,1.0,"Chiniya Rd, Chinia More, Nahar Chowk, Pipra Khurd, Garhwa, Jharkhand 822114","Chinia More, Nahar Chowk, Pipra Khurd",24.157425099999998,83.8034333,ChIJx5c3DJwPjDkR061Xb3HCznA,https://www.google.com/maps/place/?q=place_id:ChIJx5c3DJwPjDkR061Xb3HCznA,part_383,2026-09-20 20:51:37,1
Madheshiya Flour And Oil Mills,Flour Mill,Flour mill,"Flour mill, General store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91423 68928,N/A,,,"Chiniya Rd, near Devidham, Garhwa, Belri alias Chinia, Jharkhand 822114",822114,24.04805,83.6269435,ChIJdy87cQABjDkRJB-LZycu3HQ,https://www.google.com/maps/place/?q=place_id:ChIJdy87cQABjDkRJB-LZycu3HQ,part_383,2026-09-20 20:51:37,2
Gupta Moon Event,Flour Mill,Flour mill,"Flour mill, Dairy store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80839 61577,N/A,5.0,144.0,"Rocky Muhalla, Eriquee Mohalla, Garhwa, Jharkhand 822114",Eriquee Mohalla,24.161293099999998,83.8098291,ChIJaQfSWv8OjDkR4MRvpmXSCL4,https://www.google.com/maps/place/?q=place_id:ChIJaQfSWv8OjDkR4MRvpmXSCL4,part_383,2026-09-20 20:51:37,3
Garhwa,Flour Mill,Flour mill,Flour mill,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"5Q5V+747, Kutchery Rd, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1581518,83.7928017,ChIJnQWHbAAPjDkRHX-bQK6VE9M,https://www.google.com/maps/place/?q=place_id:ChIJnQWHbAAPjDkRHX-bQK6VE9M,part_383,2026-09-20 20:51:37,4
Sukrit Flour Mill,Flour Mill,General store,General store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 97099 47585,N/A,,,"Chiniya Rd, near Shanti School, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1556581,83.8003356,ChIJZwx6Mv0PjDkRMQEgP9dKtn4,https://www.google.com/maps/place/?q=place_id:ChIJZwx6Mv0PjDkRMQEgP9dKtn4,part_383,2026-09-20 20:51:37,5
ANAND BHOG ATTA,Flour Mill,Flour mill,Flour mill,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98015 27577,N/A,,,"Chhatarpur, Jharkhand 822114",822114,24.1613077,83.7622404,ChIJwVhE4fgFjDkRXy8QoRSl_x8,https://www.google.com/maps/place/?q=place_id:ChIJwVhE4fgFjDkRXy8QoRSl_x8,part_383,2026-09-20 20:51:37,6
ANUBHAV TRADERS,Flour Mill,Flour mill,"Flour mill, Animal feed store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 92045 37202,N/A,5.0,1.0,"Main Road, Garhwa, Jharkhand 822114",822114,24.161905899999997,83.8092448,ChIJa-q0DC4PjDkR6fiQndihNvU,https://www.google.com/maps/place/?q=place_id:ChIJa-q0DC4PjDkR6fiQndihNvU,part_383,2026-09-20 20:51:37,7
Prakash Traders,Flour Mill,Machining manufacturer,"Machining manufacturer, Food machinery supplier, Machine shop, Manufacturer, Metal machinery supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 97988 11455,https://www.prakashtraders.shop/,5.0,12.0,"Dandila Khurd, Rehla, Jharkhand 822124",822114,24.230163599999997,83.8890243,ChIJm3ru0wkTjDkRkH-Cdo6dYgc,https://www.google.com/maps/place/?q=place_id:ChIJm3ru0wkTjDkRkH-Cdo6dYgc,part_383,2026-09-20 20:51:37,8
Mansi mill,Flour Mill,Flour mill,Flour mill,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"8Q4C+3RG, harigawan, Rampur, Manjhiaon, Jharkhand 822134",harigawan,24.305191699999998,83.7720934,ChIJW6SgFQAXjDkR_rFOzPTk3GY,https://www.google.com/maps/place/?q=place_id:ChIJW6SgFQAXjDkR_rFOzPTk3GY,part_383,2026-09-20 20:51:37,9
Gupta Flour Mills & Cattle Feed,Flour Mill,Feed manufacturer,"Feed manufacturer, Food manufacturer",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 95701 86853,N/A,5.0,1.0,"Darji Muhalla, Ranka, Jharkhand 822125",Darji Muhalla,23.9897824,83.7894871,ChIJXZUpPzX3izkRksjtCS3BmyA,https://www.google.com/maps/place/?q=place_id:ChIJXZUpPzX3izkRksjtCS3BmyA,part_383,2026-09-20 20:51:37,10
