business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Sai Baba gahana Ghar,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Gold dealer, Goldsmith",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,2.0,"near HP gas agency, Bisrampur, Sordiha, Jharkhand 822132",822114,24.2513619,83.9258146,ChIJW6V439YTjDkRUTTRBElfkD0,https://www.google.com/maps/place/?q=place_id:ChIJW6V439YTjDkRUTTRBElfkD0,part_383,2026-09-20 20:51:44,760
Sonu Jewelers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62013 14349,N/A,,,"Dhurki, Tatidiri, Jharkhand 822128",822114,24.1363466,83.5252266,ChIJaUIsXnmpjjkRxqrCnrI71OM,https://www.google.com/maps/place/?q=place_id:ChIJaUIsXnmpjjkRxqrCnrI71OM,part_383,2026-09-20 20:51:44,761
Aarush Alankar Jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99315 38917,https://aarushalankarjeweler.wixsite.com/my-site,5.0,7.0,"000, Bisrampur, Jharkhand 822132",822114,24.2509412,83.9285573,ChIJ1TYJQEATjDkRo1OGWMAdyEE,https://www.google.com/maps/place/?q=place_id:ChIJ1TYJQEATjDkRo1OGWMAdyEE,part_383,2026-09-20 20:51:44,762
Roamer Watch & Electronics Co.,Goldsmith and Jewellery Repair,Watch store,Watch store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 92792 72512,N/A,5.0,230.0,"Main road, Garhwa near BP plaza, Garhwa, Jharkhand 822114",822114,24.1615456,83.8090761,ChIJ7-XnAy4PjDkR9woEb9SLNAY,https://www.google.com/maps/place/?q=place_id:ChIJ7-XnAy4PjDkR9woEb9SLNAY,part_383,2026-09-20 20:51:45,763
"Bharat Watch,garhwa",Goldsmith and Jewellery Repair,Store,Store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 70334 12627,N/A,3.1,11.0,"5R75+CVH, main road garhwa, Garhwa, Jharkhand 822114",822114,24.1635578,83.8097191,ChIJzYjt0FUOjDkR6jX0GOPV4y0,https://www.google.com/maps/place/?q=place_id:ChIJzYjt0FUOjDkR6jX0GOPV4y0,part_383,2026-09-20 20:51:45,764
Chand Watch,Goldsmith and Jewellery Repair,Watch store,Watch store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93348 78271,N/A,4.3,114.0,"Besides BP Palaza, Main road, Pathan Toli Muhalla, Garhwa, Jharkhand 822114",Pathan Toli Muhalla,24.161615299999998,83.8087491,ChIJ6RIT1FUOjDkRVE3RzYnQiVE,https://www.google.com/maps/place/?q=place_id:ChIJ6RIT1FUOjDkRVE3RzYnQiVE,part_383,2026-09-20 20:51:45,765
Kumar hardware,Goldsmith and Jewellery Repair,Hardware store,Hardware store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62029 90660,N/A,4.5,24.0,"5R65+RJ3, Main road, Pathan Toli Muhalla, Garhwa, Jharkhand 822114",Pathan Toli Muhalla,24.162062499999998,83.8090625,ChIJYfUeMXEPjDkRSTQ92m-_7dE,https://www.google.com/maps/place/?q=place_id:ChIJYfUeMXEPjDkRSTQ92m-_7dE,part_383,2026-09-20 20:51:45,766
Om alankar jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 99555 06660,http://www.omalankar.in/,4.8,32.0,"Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0403977,84.0609391,ChIJw-x55vV3jDkRR0NlYupQ104,https://www.google.com/maps/place/?q=place_id:ChIJw-x55vV3jDkRR0NlYupQ104,part_383,2026-09-20 20:52:24,4983
SAGUN GEMS AND JEWELLERY PVT. LTD.,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.9,12.0,"Engineering Rd, near SBI bazar branch, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0395462,84.0611812,ChIJHVwoFSV3jDkRajw3tIh93t4,https://www.google.com/maps/place/?q=place_id:ChIJHVwoFSV3jDkRajw3tIh93t4,part_383,2026-09-20 20:52:24,4984
Ganga Jewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 75498 44249,N/A,5.0,25.0,"Palamau, Panchmuhan chowk, Jain mandir road, opposite Jain mandir, Medininagar, Jharkhand 822101",Daltenganj,24.040404,84.0607563,ChIJv8v-nKl3jDkRjqClQzd5axM,https://www.google.com/maps/place/?q=place_id:ChIJv8v-nKl3jDkRjqClQzd5axM,part_383,2026-09-20 20:52:24,4985
SONA MAHAL THE JEWELLERY MALL,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Gold dealer, Jeweler",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 87975 97530,http://www.sonamahal.in/,4.3,257.0,"THANA ROAD, MAIN, MARKET, Medininagar, Jharkhand 822101",Daltenganj,24.0409701,84.06175879999999,ChIJYZIXndJ3jDkRfAl7C51AIXM,https://www.google.com/maps/place/?q=place_id:ChIJYZIXndJ3jDkRfAl7C51AIXM,part_383,2026-09-20 20:52:24,4986
