business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Indian poultri farm,Meat and Poultry Shop,Poultry farm,Poultry farm,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62047 24436,N/A,,,"near reliance petrol pump, Garhwa, Jobraiya, Jharkhand 822114",822114,24.1838516,83.7836403,ChIJj5KGql4PjDkRvOYcwkcVig4,https://www.google.com/maps/place/?q=place_id:ChIJj5KGql4PjDkRvOYcwkcVig4,part_383,2026-09-20 20:51:37,116
Alka poultry feed,Meat and Poultry Shop,Poultry store,Poultry store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 82921 56395,https://www.indiamart.com/alka-poultry-feed/,5.0,5.0,"Nearest tempo stand, Village+ post :, Sangrahe Kalan, Jharkhand 822134",822114,24.2541865,83.8393474,ChIJs6weAs4RjDkR8qIYxtF6QNY,https://www.google.com/maps/place/?q=place_id:ChIJs6weAs4RjDkR8qIYxtF6QNY,part_383,2026-09-20 20:51:37,117
Sabji Market Garhwa,Meat and Poultry Shop,Market,Market,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.0,493.0,"5R94+FCV, Garhwa, Jharkhand 822114",822114,24.1683848,83.80708249999999,ChIJTYhcPlMOjDkRJIJ3qvd_gmY,https://www.google.com/maps/place/?q=place_id:ChIJTYhcPlMOjDkRJIJ3qvd_gmY,part_383,2026-09-20 20:51:37,118
Max poultry farming,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 88005 37288,N/A,3.7,3.0,"muslim tola, Nainabar, Daridah, Jharkhand 822120",822114,24.480861899999997,83.73572209999999,ChIJ5zdpV7cjjDkRYFebQvU6bco,https://www.google.com/maps/place/?q=place_id:ChIJ5zdpV7cjjDkRYFebQvU6bco,part_383,2026-09-20 20:51:37,119
VICKY POULTRY FARM,Meat and Poultry Shop,Poultry farm,Poultry farm,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"VILLAGE KHARSOTA POST MORBEY PS MANJHIOAN, DIST, GARHWA, Jharkhand 822134",822114,24.383312999999998,83.8128265,ChIJVbiMCQEXjDkRa9jLKkT8McE,https://www.google.com/maps/place/?q=place_id:ChIJVbiMCQEXjDkRa9jLKkT8McE,part_383,2026-09-20 20:51:37,120
Gauraw Poultry,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 90234 95545,N/A,,,"Ketar, Jharkhand 822112",822114,24.4697659,83.55879879999999,ChIJoTaXslufjjkR3iBafNLxhFg,https://www.google.com/maps/place/?q=place_id:ChIJoTaXslufjjkR3iBafNLxhFg,part_383,2026-09-20 20:51:37,121
S.K CHICKEN SHOP,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Chicken shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80927 76637,N/A,5.0,2.0,"NH39, Chinia More, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Chinia More, Nehru Nagar, Pipra Khurd",24.159493899999998,83.8073706,ChIJSaF9oY8PjDkR_-juTiwbgro,https://www.google.com/maps/place/?q=place_id:ChIJSaF9oY8PjDkR_-juTiwbgro,part_383,2026-09-20 20:51:37,122
Shahid Poultry Feed & Chiks,Meat and Poultry Shop,Poultry farm,Poultry farm,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.5,2.0,"5R93+Q4C, Garhwa, Jharkhand 822114",822114,24.1694376,83.8027755,ChIJmVZh-6wPjDkRnh8VFoPmHes,https://www.google.com/maps/place/?q=place_id:ChIJmVZh-6wPjDkRnh8VFoPmHes,part_383,2026-09-20 20:51:37,123
Poultry Centre,Meat and Poultry Shop,General store,General store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98016 43660,N/A,,,"Garhwa, Jharkhand 822114",822114,24.1576843,83.81987529999999,ChIJYwBjQEIPjDkRuJVrpsx-Qhk,https://www.google.com/maps/place/?q=place_id:ChIJYwBjQEIPjDkRuJVrpsx-Qhk,part_383,2026-09-20 20:51:37,124
MagicMeat,Meat and Poultry Shop,Meat products store,Meat products store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 82716 63388,http://magicmeat.in/,5.0,84.0,"Laxmi Narayan Nagar, near Shanti Ashram, Hurhuru, Hazaribagh, Jharkhand 825301",Hurhuru,23.977606299999998,85.3599837,ChIJDegB1Q2b9DkRNWcoq9O0nts,https://www.google.com/maps/place/?q=place_id:ChIJDegB1Q2b9DkRNWcoq9O0nts,part_383,2026-09-20 20:51:38,125
