business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
District office Garhwa,Offices,Government office,Government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,3.9,,"5Q6R+529, Nawada, Garhwa, Jharkhand 822114",Nawada,24.1604135,83.7901026,ChIJNdYl4AkPjDkR-7GOWHKugoU,https://www.google.com/maps/place/?q=place_id:ChIJNdYl4AkPjDkR-7GOWHKugoU,part_383,2026-09-20 20:52:17,3900
D. T. O. OFFICE GARHWA,Offices,Government office,Government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.1,,"4QVQ+3QH, Garhwa, Kalyanpur, Jharkhand 822114",822114,24.142678999999998,83.7894694,ChIJ9av6EQAPjDkRyO95FuqoDos,https://www.google.com/maps/place/?q=place_id:ChIJ9av6EQAPjDkRyO95FuqoDos,part_383,2026-09-20 20:52:17,3901
District Registration Office,Offices,Government office,Government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,2.3,,"5Q2V+RFV, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.152112,83.79367649999999,ChIJqaUieg8PjDkRkr6jg9FdqoE,https://www.google.com/maps/place/?q=place_id:ChIJqaUieg8PjDkRkr6jg9FdqoE,part_383,2026-09-20 20:52:17,3902
JBVNL OFFICE GARHWA,Offices,Government office,Government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,2.1,,"5Q4P+V2V, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1572298,83.78505009999999,ChIJI4LxZxgPjDkRlqmqr6YP1I4,https://www.google.com/maps/place/?q=place_id:ChIJI4LxZxgPjDkRlqmqr6YP1I4,part_383,2026-09-20 20:52:17,3903
Bhardwaj Bharat Gas Agency Garhwa,Offices,Central Government Office,Central Government Office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.8,,"5R53+GQ8, Chinia More, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Chinia More, Nehru Nagar, Pipra Khurd",24.1587796,83.8044675,ChIJa6IOUOkPjDkRoB-ycMDTlLE,https://www.google.com/maps/place/?q=place_id:ChIJa6IOUOkPjDkRoB-ycMDTlLE,part_383,2026-09-20 20:52:17,3904
"RCD, Road Division Garhwa",Offices,Corporate office,Corporate office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.0,,"5R52+72X, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1582319,83.8001097,ChIJd3ss1wAPjDkRFwnfa5-qOws,https://www.google.com/maps/place/?q=place_id:ChIJd3ss1wAPjDkRFwnfa5-qOws,part_383,2026-09-20 20:52:17,3905
Electricity Office,Offices,Post office,Post office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 6561 222 201,N/A,1.4,,"5Q4M+VX5, National Highway 75, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.1571383,83.78497139999999,ChIJGfG_HwsPjDkRoJlf_nOYO68,https://www.google.com/maps/place/?q=place_id:ChIJGfG_HwsPjDkRoJlf_nOYO68,part_383,2026-09-20 20:52:17,3906
ESIC DCBO Garhwa,Offices,Central Government Office,Central Government Office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 6561 299 038,http://www.esic.gov.in/,5.0,,"5Q4W+48G, Bishunpur, piprakala, Garhwa, Jharkhand 822114",Bishunpur,24.155015199999998,83.7963147,ChIJGxWKq1gPjDkRkE4SiaK-O9Q,https://www.google.com/maps/place/?q=place_id:ChIJGxWKq1gPjDkRkE4SiaK-O9Q,part_383,2026-09-20 20:52:17,3907
Subdivisional Office Garhwa SDM,Offices,State government office,State government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"Garhwa District Court, Nawada, Garhwa, Jharkhand 822114",Nawada,24.1582087,83.78966779999999,ChIJx0Pr9OgPjDkRtB9AUKfHO2g,https://www.google.com/maps/place/?q=place_id:ChIJx0Pr9OgPjDkRtB9AUKfHO2g,part_383,2026-09-20 20:52:17,3908
NAGAR PANCHAYAT OFFICE GARHWA,Offices,Local government office,Local government office,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,3.6,,"5R54+7QX, Unnamed Road, Eriquee Mohalla, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Eriquee Mohalla, Nehru Nagar, Pipra Khurd",24.1582376,83.8069701,ChIJC6Kfsv8OjDkRIp_U0ArG4RY,https://www.google.com/maps/place/?q=place_id:ChIJC6Kfsv8OjDkRIp_U0ArG4RY,part_383,2026-09-20 20:52:17,3909
