business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
H. Ambalal and Company (wood saw Mill and Timber Depot),Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"Junction, Garhwa Road, Rehla Khurd, Jharkhand 822124",822114,24.2131147,83.8846688,ChIJ16F1syITjDkRGAULUV_vHig,https://www.google.com/maps/place/?q=place_id:ChIJ16F1syITjDkRGAULUV_vHig,part_383,2026-09-20 20:51:55,1693
MATIKA HARDWARE & PLY,Plywood and Timber Merchant,Hardware store,Hardware store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 87894 78546,https://www.instagram.com/matika_hardware_/profilecard/?igsh=MTY3MWZtdmp5NWVxbQ==,4.9,27.0,"Nawahata, Daltenganj, Medininagar, Jharkhand 822101","Nawahata, Daltenganj",24.0383714,84.06111969999999,ChIJOwDhNIF3jDkRcgtL3SjuFeU,https://www.google.com/maps/place/?q=place_id:ChIJOwDhNIF3jDkRcgtL3SjuFeU,part_383,2026-09-20 20:51:55,1694
Singh Hardware Store,Plywood and Timber Merchant,Hardware store,Hardware store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,3.0,"Vill, Godarmana, Jharkhand 822125",822114,23.8069573,83.70835319999999,ChIJYeapXMPkizkRFwEmJqvB4wI,https://www.google.com/maps/place/?q=place_id:ChIJYeapXMPkizkRFwEmJqvB4wI,part_383,2026-09-20 20:51:55,1695
Maa Parvati Furniture,Plywood and Timber Merchant,Shopping mall,Shopping mall,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93347 08823,N/A,4.0,9.0,"256, Pathan Toli Mohalla, Pathan Toli Muhalla, Garhwa, Jharkhand 822114",Pathan Toli Muhalla,24.1623317,83.8091069,ChIJPV_061UOjDkRoBi_KPuAQ-Y,https://www.google.com/maps/place/?q=place_id:ChIJPV_061UOjDkRoBi_KPuAQ-Y,part_383,2026-09-20 20:51:55,1696
Narayani ply,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 90319 06854,N/A,4.9,9.0,"Arhat Rd, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.038255,84.06056869999999,ChIJtYYOr4J3jDkRXSVA9GjiiPQ,https://www.google.com/maps/place/?q=place_id:ChIJtYYOr4J3jDkRXSVA9GjiiPQ,part_383,2026-09-20 20:51:56,1697
Sri ram hardware furniture,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door supplier, Hardware store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93867 72791,N/A,,,"Police line road, industrial area, Hamidganj, Medininagar, Jharkhand 822102","industrial area, Hamidganj",24.0572373,84.0669671,ChIJBdLyxDp3jDkRPuKY7LUB3eU,https://www.google.com/maps/place/?q=place_id:ChIJBdLyxDp3jDkRPuKY7LUB3eU,part_383,2026-09-20 20:51:56,1698
Vishwakarma Hardware,Plywood and Timber Merchant,Hardware store,Hardware store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80028 67205,N/A,3.7,3.0,"Meral, Jharkhand 822133",822114,24.1818428,83.70468679999999,ChIJr-LL_GkFjDkRx0OQKczjt9g,https://www.google.com/maps/place/?q=place_id:ChIJr-LL_GkFjDkRx0OQKczjt9g,part_383,2026-09-20 20:51:56,1699
Shri Ram Traders | pvc dealer | Lumber & Decorator,Plywood and Timber Merchant,Plywood and Timber Merchant,Plywood and Timber Merchant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 77177 98723,N/A,,,"daltonganj road, opp. HP petrol pump, birha, Garhwa, Garhauta, Jharkhand 822114",birha,24.1524018,83.8298214,ChIJuy_HMp8PjDkRIyLDSVh8Y2U,https://www.google.com/maps/place/?q=place_id:ChIJuy_HMp8PjDkRIyLDSVh8Y2U,part_383,2026-09-20 20:51:56,1700
Vinayaka Traders,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99311 83607,N/A,4.1,,"JG9C+C78, Main Road, Bijulia, Ramgarh Cantonment, Jharkhand 829122",Bijulia,23.618647,85.5206967,ChIJjR_WFtzz9DkR2er466A2ik4,https://www.google.com/maps/place/?q=place_id:ChIJjR_WFtzz9DkR2er466A2ik4,part_383,2026-09-20 20:51:57,1701
Goel Enterprises,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Hardware store, Wallpaper store, Wood and laminate flooring supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 88770 41887,N/A,4.6,,"Seva Sadan Rd, opp. Agrasen Bhawan, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.3709196,85.3148554,ChIJnc3-VgPh9DkR3NGH81jJ_G4,https://www.google.com/maps/place/?q=place_id:ChIJnc3-VgPh9DkR3NGH81jJ_G4,part_383,2026-09-20 20:51:57,1702
THE SOLDIERS ENTERPRISES,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Fence supply store, Plastic Products Supplier, Sanitary inspection",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 79797 41995,http://www.thesoldiersenterprises.com/,5.0,,"ON, NH 319A, nr. IOCL PETROL PUMP, Bharkhar, Bihar 821109",822114,25.1891113,83.630358,ChIJGWm7qw3hjTkR8QhTUxETvkU,https://www.google.com/maps/place/?q=place_id:ChIJGWm7qw3hjTkR8QhTUxETvkU,part_383,2026-09-20 20:51:57,1703
Sri Ram Trading,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Chimney sweep, Door supplier, Granite supplier, Mirror shop, Tile store, Window treatment store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91351 80140,N/A,4.8,,"Ratu Chatti, Ratu, Ranchi, Jharkhand 835222","Ratu Chatti, Ratu",23.417447499999998,85.2154353,ChIJJxEKWTvc9DkRpKobBiRTlxc,https://www.google.com/maps/place/?q=place_id:ChIJJxEKWTvc9DkRpKobBiRTlxc,part_383,2026-09-20 20:51:57,1704
Baba Baidyanath Plywood,Plywood and Timber Merchant,Lumber store,Lumber store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 85810 01099,N/A,4.4,,"Barmasia Chowk, near masjid, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.497869899999998,86.68543509999999,ChIJq6qqqhcW8TkRb6SmNcCfIUI,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqhcW8TkRb6SmNcCfIUI,part_383,2026-09-20 20:51:57,1705
Motion Plywood - Best Plywood Shop near me in Varanasi,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Acrylic Dealer, Building materials supplier, Real Estate Builders & Construction Company, Construction Material Wholesaler, Door shop, Hardware store, Interior Decorator, Lumber store, Wood and laminate flooring supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98892 14424,https://pashupatitrading.in/,4.8,,"Paharia Road, Ashapur Rd, Varanasi, Uttar Pradesh 221007",Asapur,25.3573794,83.0183967,ChIJmR0kTL0vjjkR0GsncB4Owf4,https://www.google.com/maps/place/?q=place_id:ChIJmR0kTL0vjjkR0GsncB4Owf4,part_383,2026-09-20 20:51:57,1706
Malik Plywood & Developer Pvt Ltd,Plywood and Timber Merchant,Lumber store,Lumber store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93347 11515,N/A,4.8,,"Station Rd, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006","Kumar Chowk, Jugsalai",22.7725385,86.1921445,ChIJ-dcbbUnj9TkRnLU-6_Qs6vA,https://www.google.com/maps/place/?q=place_id:ChIJ-dcbbUnj9TkRnLU-6_Qs6vA,part_383,2026-09-20 20:51:57,1707
