business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sivpujan bhavan garhwa,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5R84+32P, Garhwa, Jharkhand 822114",822114,24.1652167,83.8050909,ChIJU6d_4HsPjDkRHmTANJADXeI,https://www.google.com/maps/place/?q=place_id:ChIJU6d_4HsPjDkRHmTANJADXeI,part_383,2026-09-20 20:52:11,3344
Alka house Alijan khan,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 79090 98186,N/A,5.0,,"5R75+8J4, Pathan Toli Muhalla, Garhwa, Jharkhand 822114",Pathan Toli Muhalla,24.1632747,83.8090807,ChIJcZr3MgAPjDkRvEAIVPRXwvA,https://www.google.com/maps/place/?q=place_id:ChIJcZr3MgAPjDkRvEAIVPRXwvA,part_383,2026-09-20 20:52:11,3345
HILL HOUSE🏡,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,http://krpankaj.website2.me/,5.0,,"000, Nawada, Garhwa, Jobraiya, Jharkhand 822114",Nawada,24.164251,83.79430699999999,ChIJnYxwLwAPjDkReh9hmUbLp28,https://www.google.com/maps/place/?q=place_id:ChIJnYxwLwAPjDkReh9hmUbLp28,part_383,2026-09-20 20:52:11,3346
Shayma Nand Dwivedi,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.5,,"5Q4P+8FC, Bishunpur, Garhwa, Jharkhand 822114",Bishunpur,24.155918,83.786192,ChIJGwO5fgAPjDkR-ucY7WmoHyA,https://www.google.com/maps/place/?q=place_id:ChIJGwO5fgAPjDkR-ucY7WmoHyA,part_383,2026-09-20 20:52:11,3347
Yudhishthir nagar,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5RC7+649, Garhwa, Jharkhand 822114",822114,24.170485,83.81308729999999,ChIJk4biCAAPjDkRgEQcORElg58,https://www.google.com/maps/place/?q=place_id:ChIJk4biCAAPjDkRgEQcORElg58,part_383,2026-09-20 20:52:11,3348
Khadija Manzil,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5RF2+FX3 Unchari, Garhwa, Jharkhand 822114",822114,24.1736376,83.8024202,ChIJ-1gE6K0PjDkRVO1OxknrxkA,https://www.google.com/maps/place/?q=place_id:ChIJ-1gE6K0PjDkRVO1OxknrxkA,part_383,2026-09-20 20:52:11,3349
Safa & Arfa's,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5R92+HWP, Garhwa, Jharkhand 822114",822114,24.168972699999998,83.80233559999999,ChIJsfbmNQAPjDkRW5PhaQEHvDo,https://www.google.com/maps/place/?q=place_id:ChIJsfbmNQAPjDkRW5PhaQEHvDo,part_383,2026-09-20 20:52:11,3350
Kanhaiya ram,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5Q6P+W6C, Nawada, Garhwa, Jharkhand 822114",Nawada,24.1623011,83.78551949999999,ChIJgb3sTgAPjDkRY-Jje2gRiT0,https://www.google.com/maps/place/?q=place_id:ChIJgb3sTgAPjDkRY-Jje2gRiT0,part_383,2026-09-20 20:52:11,3351
"Kamlapuri Muhalla, Garhwa Jharkhand 822114",Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"5R75+HGF, Pathan Toli Muhalla, Kamlapuri Muhalla, Garhwa, Jharkhand 822114","Pathan Toli Muhalla, Kamlapuri Muhalla",24.163938899999998,83.8087937,ChIJk2fFLAAPjDkRNCFK--80TSo,https://www.google.com/maps/place/?q=place_id:ChIJk2fFLAAPjDkRNCFK--80TSo,part_383,2026-09-20 20:52:11,3352
Sahu house,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.0,,"5R72+QWP, Garhwa, Jharkhand 822114",822114,24.1644531,83.80234209999999,ChIJsfvfR_IPjDkRZVJW0wAeZlo,https://www.google.com/maps/place/?q=place_id:ChIJsfvfR_IPjDkRZVJW0wAeZlo,part_383,2026-09-20 20:52:11,3353
KANTI NIVASH GARHWA,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5Q7F+FM5, Baghmanwa, Jharkhand 822114",822114,24.1636456,83.77422779999999,ChIJJ7noNAAPjDkR907-HfQffK0,https://www.google.com/maps/place/?q=place_id:ChIJJ7noNAAPjDkR907-HfQffK0,part_383,2026-09-20 20:52:11,3354
"Pathak House, Garhwa Jharkhand",Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"K N Pathak, Dipwan, Garhwa, Jharkhand 822114",Dipwan,24.1611805,83.79956659999999,ChIJr_M3RQAPjDkRb65Hqc59cTY,https://www.google.com/maps/place/?q=place_id:ChIJr_M3RQAPjDkRb65Hqc59cTY,part_383,2026-09-20 20:52:11,3355
House of Ladla Kathu wale ka,Property Developers,Housing development,Housing development,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"5Q3X+XR3, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Nehru Nagar, Pipra Khurd",24.154898199999998,83.7995617,ChIJhfkVfAAPjDkRKocQDVLgMHs,https://www.google.com/maps/place/?q=place_id:ChIJhfkVfAAPjDkRKocQDVLgMHs,part_383,2026-09-20 20:52:11,3356
Shahrukh Mannat,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5RF4+578, Garhwa, Jharkhand 822114",822114,24.172907799999997,83.80569679999999,ChIJEbWOBgAPjDkRkhJMMdVjrFY,https://www.google.com/maps/place/?q=place_id:ChIJEbWOBgAPjDkRkhJMMdVjrFY,part_383,2026-09-20 20:52:11,3357
Chhote Sarkar area,Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"5R72+2QM, Dipwan muhhla, Garhwa, Jharkhand 822114",822114,24.162592699999998,83.8019245,ChIJBdtUD-APjDkR1TAnTal31UI,https://www.google.com/maps/place/?q=place_id:ChIJBdtUD-APjDkR1TAnTal31UI,part_383,2026-09-20 20:52:11,3358
"Singh,home",Property Developers,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,3.0,,"5Q4J+CPJ, near kaushal vikash kendra, Bishunpur, Jhaluwa, Garhwa, Jharkhand 822114",Bishunpur,24.1560939,83.7817748,ChIJE4QrFgAPjDkRf7U-l8Eng8s,https://www.google.com/maps/place/?q=place_id:ChIJE4QrFgAPjDkRf7U-l8Eng8s,part_383,2026-09-20 20:52:11,3359
