business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Udhav Agarwalla & Co,Business and Audit Services,Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Bookkeeping service, Financial audit, Financial consultant, Financial planner, Income tax help association, Tax preparation",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 83404 03955,http://www.caudhavagarwalla.co.in/,5.0,,"Second Floor, Udai Villas, Havelli Commercial, 201, Dhaiya, Dhanbad, Jharkhand 826001",Dhaiya,23.826670399999998,86.43401399999999,ChIJg171gt679jkRaT_LEc2u_u4,https://www.google.com/maps/place/?q=place_id:ChIJg171gt679jkRaT_LEc2u_u4,part_383,2026-09-20 20:52:11
S & P Associates - Legal and Tax Services,Business and Audit Services,Tax consultant,"Tax consultant, Tax assessor, Tax attorney, Tax preparation, Tax preparation service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 70508 69858,N/A,5.0,,"Bada Chowk, Rajdhanwar, Upraili Dhanwar, Jharkhand 825412",822114,24.412993399999998,85.9817714,ChIJFWgjYWrr8zkRwHfxRBz1oB8,https://www.google.com/maps/place/?q=place_id:ChIJFWgjYWrr8zkRwHfxRBz1oB8,part_383,2026-09-20 20:52:11
Singh Raushan & Company- CHARTERED ACCOUNTANTS,Business and Audit Services,Business management consultant,"Business management consultant, Accounting firm, Auditor, Chartered accountant, Consultant, Intellectual property registry, Registration office, Software company, Tax consultant",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91226 23358,https://m.facebook.com/casinghraushan,5.0,,"Between Canera Bank & New Life Hospital, 57, Kadru Main Rd, near Hotel Yuvraj Palace, Forest Officers' Colony, Doranda, Ranchi, Jharkhand 834002","Forest Officers' Colony, Doranda",23.3446718,85.323805,ChIJV2lGKlfh9DkRgaWuIcz6xQM,https://www.google.com/maps/place/?q=place_id:ChIJV2lGKlfh9DkRgaWuIcz6xQM,part_383,2026-09-20 20:52:11
The Managers Consulting India Pvt. Ltd.,Business and Audit Services,Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Income tax help association, Legal services, Software company, Website designer",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,http://www.tmcindia.in/,5.0,,"2nd Floor, Ujjala Complex, near Big Bazaar, Jhumri Telaiya, Jharkhand 825409",822114,24.436134499999998,85.53469,ChIJGU3IdE118zkRkrnvBrOBixE,https://www.google.com/maps/place/?q=place_id:ChIJGU3IdE118zkRkrnvBrOBixE,part_383,2026-09-20 20:52:11
CA Ashish Thakur and Company (CA Firm),Business and Audit Services,Chartered accountant,"Chartered accountant, Accounting firm, Auditor, Financial consultant, Financial planner, Investment service, Tax assessor, Tax consultant, Tax preparation",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99714 04524,N/A,5.0,,"V mart, Godda, Jharkhand 814133",822114,24.8403358,87.21181349999999,ChIJJaafWqf18DkRcHDwNl6b5WI,https://www.google.com/maps/place/?q=place_id:ChIJJaafWqf18DkRcHDwNl6b5WI,part_383,2026-09-20 20:52:11
K Pandeya & Co,Business and Audit Services,Chartered accountant,Chartered accountant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 94311 70139,http://kpandeya.com/,4.7,,"102, Shahdeo Enclave, Ratu Rd, near T.v Station, Indrapuri Colony, Ranchi, Jharkhand 834001",Indrapuri Colony,23.381774,85.31188499999999,ChIJq8p6ae7g9DkRwxh7f-C1y3g,https://www.google.com/maps/place/?q=place_id:ChIJq8p6ae7g9DkRwxh7f-C1y3g,part_383,2026-09-20 20:52:11
Shekhar Sharad & Co.,Business and Audit Services,Chartered accountant,Chartered accountant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93343 86432,N/A,4.7,,"Ramgarh Cantonment, Jharkhand 829122",822114,23.635555699999998,85.5136587,ChIJb4vk0W309DkRHMy-0ZeZY_I,https://www.google.com/maps/place/?q=place_id:ChIJb4vk0W309DkRHMy-0ZeZY_I,part_383,2026-09-20 20:52:11
Shashi Prakash & Associates,Business and Audit Services,Certified public accountant,Certified public accountant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 95086 96940,N/A,5.0,,"2nd Floor, Punnima Complex, Booty More Rd, above Punjab National Bank, Jai Prakash Nagar, Ranchi, Jharkhand 834012",Jai Prakash Nagar,23.3943668,85.3831141,ChIJgYnW3sHj9DkRx46OOFSAT60,https://www.google.com/maps/place/?q=place_id:ChIJgYnW3sHj9DkRx46OOFSAT60,part_383,2026-09-20 20:52:11
Minakshi Ranjan & Co.,Business and Audit Services,Certified public accountant,Certified public accountant,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99036 17587,N/A,4.8,,"Nalanda Junior's Academy, Ground Floor, Khandak Par, Bihar Sharif, Bihar 803101",Khandak Par,25.1957322,85.52568579999999,ChIJnYw-msn18jkRQPb20hmTqxc,https://www.google.com/maps/place/?q=place_id:ChIJnYw-msn18jkRQPb20hmTqxc,part_383,2026-09-20 20:52:11
SS Consultant,Business and Audit Services,Accountant,"Accountant, Chartered accountant",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 74858 83858,N/A,5.0,,"Thana Rd, near Muslim hotel, opposite Arsh Palace, Gumla, Jharkhand 835207",822114,23.0421594,84.543371,ChIJAXxuh_fpijkRhjn51gC3iPo,https://www.google.com/maps/place/?q=place_id:ChIJAXxuh_fpijkRhjn51gC3iPo,part_383,2026-09-20 20:52:11
Ca Amit Kumar Agrawal,Business and Audit Services,Certified public accountant,"Certified public accountant, Accountant, Aerospace company, Auditor, Business park, Digital printer, Industrial consultant, Tax consultant, Tax preparation",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 95239 16885,http://akagrawal.com/,5.0,,"2nd Floor, Astha City Center, Hirasingh Bagan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.8024615,86.2057574,ChIJq5C9qNvj9TkR9mEb-nxsNmw,https://www.google.com/maps/place/?q=place_id:ChIJq5C9qNvj9TkR9mEb-nxsNmw,part_383,2026-09-20 20:52:11
Accounts Solution & Services,Business and Audit Services,Consultant,"Consultant, Accountant, Accounting school, Certified public accountant, Accounting firm, Income tax help association, Insurance agency, Software company, Tax attorney, Tax consultant",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98353 22869,https://www.accountssolution.co.in/,4.6,,"107, First Floor, Mangal Murti Heights, Harmu Rd, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.3754845,85.3147772,ChIJDZbQL6vh9DkRFHYbP8UJHtg,https://www.google.com/maps/place/?q=place_id:ChIJDZbQL6vh9DkRFHYbP8UJHtg,part_383,2026-09-20 20:52:11
