business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Security care cctv camera shop,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security system installation service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 82108 25145,N/A,4.9,,"Om Shakti medical Kachhari road Near forest gate ke samne, Medininagar, Jharkhand 822101",Sarvodaya Nagar,24.0414702,84.0689124,ChIJkXeT7bp3jDkRP6IjRMOrCMg,https://www.google.com/maps/place/?q=place_id:ChIJkXeT7bp3jDkRP6IjRMOrCMg,part_383,2026-09-20 20:52:07
MAHI COMPUTER & CCTV,CCTV Installation and Security System,Computer security service,Computer security service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62040 18356,N/A,4.5,,"Bp Plaza, Room No. 04, Hazi Emam Complex, Mian Road, Garhwa, Jharkhand 822114",Pathan Toli Muhalla,24.1615514,83.808662,ChIJ487JMp4PjDkRSLH_4PrQqp4,https://www.google.com/maps/place/?q=place_id:ChIJ487JMp4PjDkRSLH_4PrQqp4,part_383,2026-09-20 20:52:07
MAA DURGA INFOTECH,CCTV Installation and Security System,Computer store,"Computer store, Computer accessories store, Computer repair service, Computer Wholesaler, Printer repair service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 77639 73131,N/A,4.9,,"First floor, Ranka More, Ghanta Ghar k samne Ranka More Nashim Vastralaya k Bagal me Upar me, Jharkhand 822114",Eriquee Mohalla,24.1600334,83.8084495,ChIJ0w0kDqgPjDkRaKohD_MWsuI,https://www.google.com/maps/place/?q=place_id:ChIJ0w0kDqgPjDkRaKohD_MWsuI,part_383,2026-09-20 20:52:07
Ayansh CCTV camera security system,CCTV Installation and Security System,Security system installation service,Security system installation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 88586 67779,N/A,4.9,,"Pragya, Gokul Puram Colony Rd, Hyderabad Gate, Susuwahi, Varanasi, Nasirpur, Uttar Pradesh 221011","Hyderabad Gate, Susuwahi",25.259786599999998,82.97421,ChIJcZWUzwQzjjkReld-BdkIJGc,https://www.google.com/maps/place/?q=place_id:ChIJcZWUzwQzjjkReld-BdkIJGc,part_383,2026-09-20 20:52:07
Jaiswal CCTV,CCTV Installation and Security System,Security system installation service,Security system installation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98355 89841,https://sites.google.com/view/jaiswal-cctv-in-main-road-ranc/contact,4.9,,"Shop No 3, Kutchery Chowk, Raj Complex, Radium Rd, near Maharaja Inn, Ahirtoli, Ranchi, Jharkhand 834001",Ahirtoli,23.379494899999997,85.3248113,ChIJr8kVPV_h9DkRHDRhHlDujDE,https://www.google.com/maps/place/?q=place_id:ChIJr8kVPV_h9DkRHDRhHlDujDE,part_383,2026-09-20 20:52:07
Alpha Security,CCTV Installation and Security System,Security system installation service,Security system installation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 63924 39954,https://alpha-secure-vista.lovable.app/,5.0,,"1/115, Kabirpur, Ramnagar, Varanasi, Uttar Pradesh 221008",Kabirpur,25.27646,83.0334524,ChIJ_XlP1x8xjjkRjyG0hlsqQ8I,https://www.google.com/maps/place/?q=place_id:ChIJ_XlP1x8xjjkRjyG0hlsqQ8I,part_383,2026-09-20 20:52:07
Adil Electronic And CCTV Camera,CCTV Installation and Security System,Electronics store,Electronics store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 97082 20787,N/A,,,"Main Road Dhurki Nagar Untari, Near, Khala Road, Dhurki Garhwa, Jharkhand 822121",Dhurki Garhwa,24.139316299999997,83.4490117,ChIJ6_AxMLOvjjkRv015UH4dbws,https://www.google.com/maps/place/?q=place_id:ChIJ6_AxMLOvjjkRv015UH4dbws,part_383,2026-09-20 20:52:07
KUSHI SECURITY SYSTEMS,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Closed circuit television, Computer security service, Electrical engineer, Electronics vending machine, Home automation company, Security system installation service, Video camera repair service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 96525 25353,https://www.kushitech.in/,5.0,,"1ST FLOOR,BLOCK NOH35, SEETHA RAMA SWAMI COMPLEX, 12-8-7D, opposite TOWN HALL, beside DAKSHIN HAVELI HOTEL, Rama Rao Peta, Kakinada, Andhra Pradesh 533001",Rama Rao Peta,16.956571699999998,82.2346614,ChIJ7bjlhDKHNzoRGDUqcrmFW_k,https://www.google.com/maps/place/?q=place_id:ChIJ7bjlhDKHNzoRGDUqcrmFW_k,part_383,2026-09-20 20:52:07
Audio Visual Security System,CCTV Installation and Security System,Security system supplier,Security system supplier,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 92296 94677,N/A,4.9,84.0,"Bhuli Hirak Rd, near St. Xavier's International School, Nawadih, Dhanbad, Jharkhand 826012",Nawadih,23.8246666,86.4134564,ChIJHbIadvWl9jkRgvrJQfXLdCU,https://www.google.com/maps/place/?q=place_id:ChIJHbIadvWl9jkRgvrJQfXLdCU,part_383,2026-09-20 20:52:08
"The Third Eye , cctv camera installation",CCTV Installation and Security System,Security system installation service,Security system installation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 83404 10833,N/A,5.0,4.0,"Telo, Jharkhand 828403",822114,23.8111686,86.12700509999999,ChIJZ6gOCgAb9DkRD9waeTh-DsI,https://www.google.com/maps/place/?q=place_id:ChIJZ6gOCgAb9DkRD9waeTh-DsI,part_383,2026-09-20 20:52:08
"SUSHIL COMPUTERS, CCTV, SALES & SERVICE",CCTV Installation and Security System,Computer support and services,Computer support and services,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,1.0,"H/O, Arvind Gupta, Garhwa - Manjhiaon Rd, Sankhdia, pachferi more, Ranchi, Okhargar, Jharkhand 822114","Sankhdia, pachferi more",24.225057699999997,83.7856717,ChIJd4K61SMRjDkR3kWC7ItVMrQ,https://www.google.com/maps/place/?q=place_id:ChIJd4K61SMRjDkR3kWC7ItVMrQ,part_383,2026-09-20 20:52:08
YOUR HOME SECURITY CCTV CAMERA SAlES AND SERVICE godda Jharkhand,CCTV Installation and Security System,Security system supplier,Security system supplier,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 95944 37297,N/A,5.0,144.0,"नियर पुलिस स्टेशनगोड्डा, Godda, Jharkhand 814133",822114,24.8236809,87.2128025,ChIJNS7MOzX18DkRTwNq3OizQHQ,https://www.google.com/maps/place/?q=place_id:ChIJNS7MOzX18DkRTwNq3OizQHQ,part_383,2026-09-20 20:52:08
Aditya Security System,CCTV Installation and Security System,Security system installation service,Security system installation service,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62096 22923,https://www.facebook.com/profile.php?id=61554923967134&mibextid=ZbWKwL,5.0,31.0,"32P9+J2V, Pathar alias Narsinhapur, Jharkhand 822110",822114,24.0865664,84.0174861,ChIJs-tGQAB3jDkRKhHwVA7v_6Q,https://www.google.com/maps/place/?q=place_id:ChIJs-tGQAB3jDkRKhHwVA7v_6Q,part_383,2026-09-20 20:52:08
GURUKRIPA SURVEILLANCE SUPPORT PVT LTD.,CCTV Installation and Security System,Security system supplier,Security system supplier,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 95076 85007,https://www.gurukripacctv.in/,4.9,903.0,"New Ashoka market, near Garga Bridge, near city style, Ramnagar Colony, Chas, Bokaro Steel City, Jharkhand 827013",Ramnagar Colony,23.638569699999998,86.1596603,ChIJXdtgSKQj9DkRhOK4De0ZV4c,https://www.google.com/maps/place/?q=place_id:ChIJXdtgSKQj9DkRhOK4De0ZV4c,part_383,2026-09-20 20:52:08
India Waals Tech Solutions,CCTV Installation and Security System,Camera store,"Camera store, Computer consultant, Computer networking service, Fire alarm supplier, Security service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 73660 32317,http://www.indiawaalstechsolution.com/,4.9,267.0,"1St Floor, Suraj Bhawan Kabristan, Sai TVS, Ratu Rd, nr. Bank of Baroda, Ranchi, Jharkhand 834001","Aryapuri, Indrapuri Colony",23.3798609,85.3087833,ChIJtWKpN_zh9DkRBZP4IsoVvS4,https://www.google.com/maps/place/?q=place_id:ChIJtWKpN_zh9DkRBZP4IsoVvS4,part_383,2026-09-20 20:52:08
RS DIGITAL SECURITY |Best CCTV Camera Sales & Installation Service,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Computer service, Security system supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 74888 36363,https://rsvisionhub.com/,4.9,123.0,"DT 1895 QUATERS, TANKI SIDE, near SHIV MANDIR, CTI Colony, Sector 4, Dhurwa, Ranchi, Jharkhand 834004","CTI Colony, Sector 4, Dhurwa",23.3044355,85.27541169999999,ChIJEQylkjAf9TkRSUVtmPbU4FY,https://www.google.com/maps/place/?q=place_id:ChIJEQylkjAf9TkRSUVtmPbU4FY,part_383,2026-09-20 20:52:08
Giriraj Services,CCTV Installation and Security System,Security system supplier,"Security system supplier, Safety equipment supplier, Electronics store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99341 71458,http://www.cctvindia.org/,4.8,273.0,"Chankyapuri Colony, Chira Chas, Bokaro Steel City, Jharkhand 827015","Chankyapuri Colony, Chira Chas",23.6603218,86.1739089,ChIJw-dtt9cj9DkR8cg3ciUp4Xg,https://www.google.com/maps/place/?q=place_id:ChIJw-dtt9cj9DkR8cg3ciUp4Xg,part_383,2026-09-20 20:52:08
MAXMILE PROTECH PVT LTD,CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera store, Security service, Security system installation service",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99000 08700,https://www.maxmileprotech.com/,4.9,310.0,"H-85, (Sanskriti, Harmu Housing Colony, Harmu, Ranchi, Jharkhand 834002","Harmu Housing Colony, Harmu",23.360715199999998,85.3110842,ChIJXaf43vLj9DkRhGokFI2dfMc,https://www.google.com/maps/place/?q=place_id:ChIJXaf43vLj9DkRhGokFI2dfMc,part_383,2026-09-20 20:52:08
"CCTV , SECURE SERVICES",CCTV Installation and Security System,Security system installation service,"Security system installation service, Burglar alarm store, Home automation company",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 82923 66665,N/A,4.5,22.0,"Ho no :-01, near RVM, near Bisamunda school, Teachers Colony, Chas, Bokaro Steel City, Jharkhand 827013","Teachers Colony, Chas",23.634444,86.18293039999999,ChIJrXkydbIh9DkRVFtLO0UN1y0,https://www.google.com/maps/place/?q=place_id:ChIJrXkydbIh9DkRVFtLO0UN1y0,part_383,2026-09-20 20:52:08
