business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahindra Tractors - Republic Tractor Motor Pvt Ltd,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93343 86593,https://www.mahindratractor.com/,5.0,1.0,"Rehla Road, Rajhara - Garhwa Rd, nearby RKVS School, Garhwa, Jharkhand 822114",822114,24.171359199999998,83.8191748,ChIJp1yBJ28PjDkReINGpgzkpmI,https://www.google.com/maps/place/?q=place_id:ChIJp1yBJ28PjDkReINGpgzkpmI,part_383,2026-09-20 20:51:51
Swaraj Tractors - M/S Palamau Tractor Agency,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80 4526 2381,https://dealers.swarajtractors.com/swaraj-tractors/tractor-showroom-in-garhwa/tractor-showroom-in-Manjhiao-Road/swaraj-tractors-ms-palamau-tractor-agency-in-Manjhiao-Road-garhwa--1hrXMK/home,4.9,17.0,"Ground Floor, Manjhiaon Rd, nearby Bazar Samiti, Garhwa, Jharkhand 822114",822114,24.167814099999998,83.80767469999999,ChIJQ8hj9MEPjDkRoA7uPgzv_Co,https://www.google.com/maps/place/?q=place_id:ChIJQ8hj9MEPjDkRoA7uPgzv_Co,part_383,2026-09-20 20:51:51
Eicher Tractors Dealerships - Maa Garhdevi Tractors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Auto market, Tire repair shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 79 4716 6955,https://dealers.eichertractors.in/eicher-tractors-maa-garhdevi-tractors-in-jharkhand-garhwa-rela-road-44572/Home?utm_source=gmbeicher&utm_medium=googlewebsite,,,"Sonpurwa Rd, Eriquee Mohalla, Chowk, Rehla, Garhwa, Jharkhand 822114","Eriquee Mohalla, Chowk, Rehla",24.15995,83.80821999999999,ChIJi6tmAhEPjDkRApPyA_KDsHY,https://www.google.com/maps/place/?q=place_id:ChIJi6tmAhEPjDkRApPyA_KDsHY,part_383,2026-09-20 20:51:51
Tractor Auto Deal,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Used car dealer, Used truck dealer",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 94717 53577,N/A,4.9,10.0,"Nagar Untari, Mangardah, Jharkhand 822121",822114,24.2670682,83.4736906,ChIJlfP8n_OljjkRVnPnWIm4o38,https://www.google.com/maps/place/?q=place_id:ChIJlfP8n_OljjkRVnPnWIm4o38,part_383,2026-09-20 20:51:51
Swaraj Tractors - M/S Mahavir Motors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Agricultural service, Farm equipment supplier, Tractor repair shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80 3790 8411,https://dealers.swarajtractors.com/swaraj-tractors/tractor-showroom-in-dantewada/tractor-showroom-in-geedam/swaraj-tractor-ms-mahavir-motors-in-geedam-dantewada--dd69c7d0-6763-4b2e-a7b9-f25798b9d591/home,4.7,19.0,"Dantewada Road, School, opposite Nirmal Niketan, Haram Chowk, Geedam, Chhattisgarh 494441",Haram Chowk,18.9743574,81.38863769999999,ChIJf3WJmV23MToReCssT8iqxoI,https://www.google.com/maps/place/?q=place_id:ChIJf3WJmV23MToReCssT8iqxoI,part_383,2026-09-20 20:51:52
Cholamandalam Investment and Finance Company Limited,Commercial Vehicle and Tractor Dealer,Loan agency,"Loan agency, Car finance and loan company, Finance broker, Financial institution, Mortgage lender",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 80 4446 5612,https://www.cholamandalam.com/branch/ali-abbas-nagar,4.7,10.0,"1st Floor, Alka Complex, Kutchery Rd, above Axis Bank, Ali Abbas Nagar, Garhwa, Jharkhand 822114",Ali Abbas Nagar,24.1587626,83.79746039999999,ChIJGS7PirEPjDkRVCSjYNDOcJs,https://www.google.com/maps/place/?q=place_id:ChIJGS7PirEPjDkRVCSjYNDOcJs,part_383,2026-09-20 20:51:52
Mahindra Implements - Maa Laxmi Enterprises,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 62035 78599,https://www.mahindra.com/,4.0,,"Sonpurwa Rd, nearby New Bus Stand, Garhwa, Jharkhand 822114",822114,24.1697845,83.81180309999999,ChIJKyNTsxQPjDkRmUNdAfwoz3Q,https://www.google.com/maps/place/?q=place_id:ChIJKyNTsxQPjDkRmUNdAfwoz3Q,part_383,2026-09-20 20:51:53
Maa Durga Automobiles,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,,"Main road, near new Bus stand, Garhwa, Jharkhand 822114",822114,24.16951,83.8119032,ChIJG9j2CwAPjDkRKDWWNv1aEz0,https://www.google.com/maps/place/?q=place_id:ChIJG9j2CwAPjDkRKDWWNv1aEz0,part_383,2026-09-20 20:51:53
M/s Sahdeo Tractors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 94315 03037,N/A,4.5,,"2GQW+XH7, Palkot Rd, Gumla, Jharkhand 835207",822114,23.039922,84.54642199999999,ChIJg1UFyBnpijkR5uSTYgxl7uA,https://www.google.com/maps/place/?q=place_id:ChIJg1UFyBnpijkR5uSTYgxl7uA,part_383,2026-09-20 20:51:53
Mahindra Tractors - Tekriwal Tractors Pvt. Ltd,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier, Tractor repair shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 8071 639 257,https://dealer.mahindratractor.com/mahindra-tractors/tractor-showroom-in-godda/tractor-showroom-in-jamua/mahindra-tractors-tekriwal-tractors-pvt-ltd-in-jamua-godda--6d051e7e-a2de-4bc1-8234-8b1040df13b0/home,4.1,,"College Road Jamua, nearby Muffahshil Thana, Sarkanda, Godda, Jharkhand 814133",822114,24.80416,87.2128171,ChIJ03Manrf08DkRjbkwJ_oJhhI,https://www.google.com/maps/place/?q=place_id:ChIJ03Manrf08DkRjbkwJ_oJhhI,part_383,2026-09-20 20:51:53
