business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bittu Malakar Flower Decoration And Supplier,Flower Decorator,Florist,Florist,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 98359 32359,N/A,1.0,1.0,"123A, Main Road, Garhwa, Jharkhand 822114",822114,24.1637329,83.8097595,ChIJ1Qgp7vMPjDkRbdgz_ufiOcM,https://www.google.com/maps/place/?q=place_id:ChIJ1Qgp7vMPjDkRbdgz_ufiOcM,part_383,2026-09-20 20:52:01
Amar Ful Decoration,Flower Decorator,Florist,Florist,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 88095 14935,N/A,5.0,2.0,"Tandwa Garhwa, near Puranchan Chowk, Jharkhand 822114",822114,24.1581796,83.81906459999999,ChIJfRZ7H2sPjDkRmOCerL9X0I4,https://www.google.com/maps/place/?q=place_id:ChIJfRZ7H2sPjDkRmOCerL9X0I4,part_383,2026-09-20 20:52:01
Raju flower Decoration,Flower Decorator,Florist,Florist,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 74889 84800,N/A,,,"station Road, near RDS Hotal, Garhwa, Jharkhand 822114",822114,24.1733208,83.8137984,ChIJ-f6ser8PjDkRdDKk62f3HwU,https://www.google.com/maps/place/?q=place_id:ChIJ-f6ser8PjDkRdDKk62f3HwU,part_383,2026-09-20 20:52:01
Milan Flower Decoration,Flower Decorator,Music instructor,Music instructor,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99730 70271,N/A,4.8,4.0,"6WXG+MF9, Sordiha, Jharkhand 822132",822114,24.249155899999998,83.926223,ChIJwZlj-9ESjDkRd10ldQyBfT4,https://www.google.com/maps/place/?q=place_id:ChIJwZlj-9ESjDkRd10ldQyBfT4,part_383,2026-09-20 20:52:01
Muskan flower decoration Baligarh (Pankaj),Flower Decorator,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,,,"3VQ9+W63, Baligarh, Jharkhand 822114",822114,24.089751099999997,83.8680491,ChIJH6VC3zgLjDkRP71R2_Vc1oc,https://www.google.com/maps/place/?q=place_id:ChIJH6VC3zgLjDkRP71R2_Vc1oc,part_383,2026-09-20 20:52:01
Kajal flowers decoration,Flower Decorator,Housing complex,Housing complex,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,5.0,2.0,"7RHW+X77, Darua, Kalianpur, Jharkhand 822132",822114,24.2799034,83.8456762,ChIJafbHSwARjDkR9ftq_ocBGrc,https://www.google.com/maps/place/?q=place_id:ChIJafbHSwARjDkR9ftq_ocBGrc,part_383,2026-09-20 20:52:01
Rohit Kumar Choubey,Flower Decorator,Florist,Florist,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 94307 75203,N/A,,,"Eriquee Mohalla, Garhwa, Jharkhand 822114",Eriquee Mohalla,24.1608248,83.8083724,ChIJ3cq3p1YPjDkRSGsjxHQ65CE,https://www.google.com/maps/place/?q=place_id:ChIJ3cq3p1YPjDkRSGsjxHQ65CE,part_383,2026-09-20 20:52:01
DS Jaymala and Flowers decoration OBRA,Flower Decorator,Housing society,Housing society,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.5,6.0,"8QMC+Q4H, Obra, Manjhiaon, Jharkhand 822134",822114,24.3344293,83.77037039999999,ChIJe_v2OQAXjDkR5du3_70vGrc,https://www.google.com/maps/place/?q=place_id:ChIJe_v2OQAXjDkR5du3_70vGrc,part_383,2026-09-20 20:52:01
MADNI FLOWER DECORATION,Flower Decorator,General store,General store,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91109 19538,N/A,,,"Dhurki, Dhurki Garhwa, Ranchi, Jharkhand 822121",Dhurki Garhwa,24.138690999999998,83.4493742,ChIJ4e8sCAWvjjkR8Jc1fBoRAS4,https://www.google.com/maps/place/?q=place_id:ChIJ4e8sCAWvjjkR8Jc1fBoRAS4,part_383,2026-09-20 20:52:01
Manpasand Flower Decoration,Flower Decorator,Mechanic,Mechanic,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 72507 38051,N/A,,,"Chaturbhuj Palace, Road Bhawnathpur, Ketar, Chapri, Jharkhand 822112",822114,24.395647699999998,83.5750557,ChIJlVUm-wWfjjkRwiGtSa-2akU,https://www.google.com/maps/place/?q=place_id:ChIJlVUm-wWfjjkRwiGtSa-2akU,part_383,2026-09-20 20:52:01
