business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gausiya Printing Works,Wedding Invitation Card Printer,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99340 41185,https://gausiyaprintingworks.blogspot.com/?m=1,4.4,,"Raki muhalla, near zia medical, Garhwa, Jharkhand 822114",822114,24.1623669,83.81045429999999,ChIJdaStD1YOjDkRwk2JRuFEcog,https://www.google.com/maps/place/?q=place_id:ChIJdaStD1YOjDkRwk2JRuFEcog,part_383,2026-09-20 20:52:06
Arvind Cards,Wedding Invitation Card Printer,Print shop,"Print shop, Marriage Consultant",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91109 74522,N/A,,,"Joda Mandir Rd, Keshri Muhalla, Main bazar, Garhwa, Jharkhand 822114","Keshri Muhalla, Main bazar",24.164419199999998,83.81183879999999,ChIJ1WgviwAPjDkR0cNC-vnJgKU,https://www.google.com/maps/place/?q=place_id:ChIJ1WgviwAPjDkR0cNC-vnJgKU,part_383,2026-09-20 20:52:06
"Kachaharee road, Garhwa",Wedding Invitation Card Printer,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",N/A,N/A,4.3,,"5Q5R+682, Garhwa, Jharkhand 822114",822114,24.1580071,83.7907584,ChIJ1V1YlKEPjDkR_7wIxz1Vyvc,https://www.google.com/maps/place/?q=place_id:ChIJ1V1YlKEPjDkR_7wIxz1Vyvc,part_383,2026-09-20 20:52:06
NANCY CARD GALLERY,Wedding Invitation Card Printer,Greeting card shop,Greeting card shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 93081 69568,N/A,3.9,,"23Q5+MW3, Arhat Road, Daltenganj, Medininagar, Jharkhand 822101",Daltenganj,24.0391352,84.0598071,ChIJcwVJxtJ3jDkRhHscUFjt7sc,https://www.google.com/maps/place/?q=place_id:ChIJcwVJxtJ3jDkRhHscUFjt7sc,part_383,2026-09-20 20:52:06
Vaishnavi Printing Press,Wedding Invitation Card Printer,Print shop,"Print shop, Computer support and services, Mobile phone repair shop, Screen printing shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 91283 27385,N/A,,,"Main Bazaar, Peska, Jharkhand 822114",822114,24.099628799999998,83.7309666,ChIJ4Y4drCcHjDkRLwC20_6l3B0,https://www.google.com/maps/place/?q=place_id:ChIJ4Y4drCcHjDkRLwC20_6l3B0,part_383,2026-09-20 20:52:06
Shivam Printers,Wedding Invitation Card Printer,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 92045 34375,N/A,1.0,,"Gupta Niwas, Indra Gandhi Rd, Garhwa, Jharkhand 822114",822114,24.1660747,83.81185649999999,ChIJHdQg1RMPjDkRDgNj3_4KQec,https://www.google.com/maps/place/?q=place_id:ChIJHdQg1RMPjDkRDgNj3_4KQec,part_383,2026-09-20 20:52:06
Vishwakarma Printing Press,Wedding Invitation Card Printer,Print shop,Print shop,822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99554 25481,N/A,3.0,,"Main Road, near Bus Stand, Eriquee Mohalla, Garhwa, Jharkhand 822114",Eriquee Mohalla,24.161273599999998,83.81196849999999,ChIJrdrC5hoPjDkRbRq_Sa7DAMQ,https://www.google.com/maps/place/?q=place_id:ChIJrdrC5hoPjDkRbRq_Sa7DAMQ,part_383,2026-09-20 20:52:06
Weditations - Best Online WhatsApp Wedding Invitation Video | E Wedding Cards,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Digital printer, Service establishment, Greeting card shop, Video editing service, Wedding service, Wedding store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 99669 99583,https://www.youtube.com/channel/UCZtecYz2NQOTrGtwyiV2WRw?sub_confirmation=1,4.9,,"Weditations - Best Online WhatsApp Wedding Invitation Video | E Wedding Cards, 822114, India",822114,20.8581652,80.45728009999999,ChIJTxaJ2JfntTsRc0dmqOzbZNM,https://www.google.com/maps/place/?q=place_id:ChIJTxaJ2JfntTsRc0dmqOzbZNM,part_383,2026-09-20 20:52:07
Happy Invites - Invitation Card & Video Ecard Maker,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Animation Studio, Design agency, Service establishment, Greeting card shop, Wedding service, Wedding store",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 88797 94909,https://happyinvites.co/wedding-invitation-video/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,,"Happy Invites - Invitation Card & Video Ecard Maker, 822114, India",822114,21.0680074,82.7525294,ChIJbdoY-zG55zsRiz65LQrJnMA,https://www.google.com/maps/place/?q=place_id:ChIJbdoY-zG55zsRiz65LQrJnMA,part_383,2026-09-20 20:52:07
Abhinix Printing,Wedding Invitation Card Printer,Advertising agency,"Advertising agency, Acrylic Dealer, Branding agency, Digital printer, Graphic designer, Neon sign shop, Offset Printer, Print shop, Sign shop",822114,Jharkhand Circle,Ranchi Region,Palamau Division,"Garhwa SO, Adar BO, Anraj Nawadih BO",+91 90029 19444,https://www.abhinixprintingsignboard.com/,4.9,,"1st Floor, NK Complex, Dr.Fatehullah Rd, beside Farid Traders, Lower Bazaar, Ranchi, Jharkhand 834001",Lower Bazaar,23.3632,85.3272671,ChIJY9TKjtjj9DkRlk3Q3IZjUkk,https://www.google.com/maps/place/?q=place_id:ChIJY9TKjtjj9DkRlk3Q3IZjUkk,part_383,2026-09-20 20:52:07
