business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shubh&Shubhi Shringar Store And Beauty Parlour,Beauty Parlour,Beauty supply store,Beauty supply store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 98630 68597,N/A,5.0,1.0,"Niche Sunil Doctor Ke Dukan Ke Bagal Me, Men Road, Se thoda, Kadal Kurmi, Muhammadganj, Jharkhand 822120",Se thoda,24.432804299999997,83.8658569,ChIJ8x7aKNg_jDkRTdNN67T5Yhg,https://www.google.com/maps/place/?q=place_id:ChIJ8x7aKNg_jDkRTdNN67T5Yhg,part_383,2026-09-20 20:52:37
Simmi Beauty salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.8,47.0,"Sahodari Market, Sadar Hospital Rd, Chowk, Medininagar, Jharkhand 822101",Chowk,24.0433484,84.0603658,ChIJWSbqQpx3jDkRc8WjtLaGK5A,https://www.google.com/maps/place/?q=place_id:ChIJWSbqQpx3jDkRc8WjtLaGK5A,part_383,2026-09-20 20:52:37
Beauty Diva beauty,Beauty Parlour,Beauty Parlour,Beauty Parlour,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 89698 34856,N/A,5.0,3.0,"Vishwanath market, Barwadih, Jharkhand 822111",822115,23.8506561,84.11301859999999,ChIJVxdzMXmFizkRPA2qA4HfCgE,https://www.google.com/maps/place/?q=place_id:ChIJVxdzMXmFizkRPA2qA4HfCgE,part_383,2026-09-20 20:52:37
Soundarya beauty care and shingar store,Beauty Parlour,Beauty Parlour,Beauty Parlour,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 62058 28167,N/A,5.0,1.0,"Main road, SBI, near State Bank, Japla, Jharkhand 822116","Kathoundha, Hussainabad",24.5337177,84.0008651,ChIJT1NdBdpHjDkRBdppkhVXSgM,https://www.google.com/maps/place/?q=place_id:ChIJT1NdBdpHjDkRBdppkhVXSgM,part_383,2026-09-20 20:52:37
CRAZY MENS BEAUTY PARLOUR,Beauty Parlour,Health and beauty shop,Health and beauty shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 92297 74852,N/A,,,"Shivpuri Chauk, Haidar Nagar, Jharkhand 822115",822115,24.486646999999998,83.9440825,ChIJW26xRgpBjDkR5tuOs8XtUjc,https://www.google.com/maps/place/?q=place_id:ChIJW26xRgpBjDkR5tuOs8XtUjc,part_383,2026-09-20 20:52:37
Aashvi beauty parlour and spa.,Beauty Parlour,Beauty Parlour,Beauty Parlour,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,,,"chura mil ke samne, Chhatarpur - Japla Rd, Japla, Jharkhand 822116",822115,24.5250591,84.0067656,ChIJK4PA89FHjDkRgtX-36xoihY,https://www.google.com/maps/place/?q=place_id:ChIJK4PA89FHjDkRgtX-36xoihY,part_383,2026-09-20 20:52:37
Shivansh babu Hair style saloon,Beauty Parlour,Barber shop,Barber shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,,,"Main road kharkhol to haidarnagar, Haidarnagar, Jharkhand 822115",822115,24.4997012,83.8897448,ChIJDwpYdqQ5jDkRmpoXhxGP2Gw,https://www.google.com/maps/place/?q=place_id:ChIJDwpYdqQ5jDkRmpoXhxGP2Gw,part_383,2026-09-20 20:52:37
Mansi Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Service establishment, Make-up artist",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 95081 75179,https://ecardsonline.in/Mansi-Beauty-Parlour-503,5.0,14.0,"Mansi Beauty Parlour, 822115, India",822115,21.0680074,82.7525294,ChIJy6BRKFV3jDkR-1JflPm5Nvs,https://www.google.com/maps/place/?q=place_id:ChIJy6BRKFV3jDkR-1JflPm5Nvs,part_383,2026-09-20 20:52:37
ARADHAYA BEAUTY PARLOR,Beauty Parlour,Health and beauty shop,Health and beauty shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 97716 32735,N/A,,,"near by Crosing, Railway Colony, Japla, Jharkhand 822116",Railway Colony,24.5357824,84.000647,ChIJPV8kbFNHjDkRoFAnzZAOTuo,https://www.google.com/maps/place/?q=place_id:ChIJPV8kbFNHjDkRoFAnzZAOTuo,part_383,2026-09-20 20:52:37
Priyanka Makeover Academy & Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Make-up artist, Facial spa, Massage spa, Nail salon, Hairdresser",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 77393 62884,https://www.instagram.com/priyankamehta.artistry?igsh=MWtvamg3ZGIyaGVzMQ==,4.9,,"At, chowk, Jail Hata Rd, near Ramada Hotel, Medininagar, Jharkhand 822101",Sarvodaya Nagar,24.042655,84.0679127,ChIJzSJ6YSx3jDkRaRM2Xr7dWAs,https://www.google.com/maps/place/?q=place_id:ChIJzSJ6YSx3jDkRaRM2Xr7dWAs,part_383,2026-09-20 20:52:38
