business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nitish Xerox Center,Xerox and Photostat Center,Print shop,"Print shop, Cafe",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,4.5,2.0,"near Bhaisna river Bridge, Kukuhi, Jharkhand 822116",822115,24.507474199999997,83.98612,ChIJRUBqTsVHjDkRUlD8wa5v6O0,https://www.google.com/maps/place/?q=place_id:ChIJRUBqTsVHjDkRUlD8wa5v6O0,part_383,2026-09-20 20:52:44
Shakti Xerox Centre,Xerox and Photostat Center,Copy shop,Copy shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",N/A,N/A,,,"972X+2C8, KNS Complex, Argora Road, near Argora Chowk, Ranchi, Jharkhand 834002",Ashok Nagar,23.350025199999997,85.2985916,ChIJp0Mne1vg9DkRiGv82w1FPE0,https://www.google.com/maps/place/?q=place_id:ChIJp0Mne1vg9DkRiGv82w1FPE0,part_383,2026-09-20 20:52:45
NEW Mukesh Xerox,Xerox and Photostat Center,Print shop,"Print shop, Book publisher, Bookbinder, Commercial printer, Copy shop, Digital printing service, Embossing Service Provider, Fax Service Provider, Lamination service",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 94315 21882,N/A,4.4,,"Saraswati Complex, Near Mamta Medical, Kutchery Chowk, Radium Rd, Ranchi, Jharkhand 834001",Ahirtoli,23.3794234,85.3248996,ChIJ98X8Qxfh9DkRFd6Mekna2io,https://www.google.com/maps/place/?q=place_id:ChIJ98X8Qxfh9DkRFd6Mekna2io,part_383,2026-09-20 20:52:45
Guddu Xerox,Xerox and Photostat Center,Copy shop,Copy shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 98351 37642,N/A,4.1,,"98HG+P66, Kutchery Chowk, near Calcutta Farmacy, Ahirtoli, Ranchi, Jharkhand 834001",Ahirtoli,23.3792762,85.3255081,ChIJ6TY_ORfh9DkRT9GkMOAB2MY,https://www.google.com/maps/place/?q=place_id:ChIJ6TY_ORfh9DkRT9GkMOAB2MY,part_383,2026-09-20 20:52:45
ANKIT XEROX,Xerox and Photostat Center,Pen store,Pen store,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 76310 90245,N/A,4.6,,"Housing Colony Rd, Sardar Patel Nagar, Dhanbad, Jharkhand 826007",Sardar Patel Nagar,23.8055967,86.43952829999999,ChIJn1Vmm-299jkRnDXTGlVhVAo,https://www.google.com/maps/place/?q=place_id:ChIJn1Vmm-299jkRnDXTGlVhVAo,part_383,2026-09-20 20:52:45
SAI CANON XEROX CENTRE ( JUMBO XEROX),Xerox and Photostat Center,Copy shop,Copy shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 884 236 5117,N/A,4.1,,"Bhaskar Nagar Rd, Bhanugudi Junction, Perrajupeta, Kakinada, Andhra Pradesh 533003","Bhanugudi Junction, Perrajupeta",16.968598699999998,82.2393251,ChIJDz8JVmwoODoRjT9ABt38X80,https://www.google.com/maps/place/?q=place_id:ChIJDz8JVmwoODoRjT9ABt38X80,part_383,2026-09-20 20:52:45
PP XEROX,Xerox and Photostat Center,Copy shop,Copy shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 95251 58725,https://mybillbook.in/store/pp_xerox,4.4,,"C8JH+849, Millat Colony, Patratoli, Kanke Block Chowk Rd, near Churi Tola, Millat Colony, Chowk, Kanke, Jharkhand 834006","Millat Colony, Chowk",23.4312374,85.32785179999999,ChIJNTcCc8Lm9DkRqzdw9M-sxAs,https://www.google.com/maps/place/?q=place_id:ChIJNTcCc8Lm9DkRqzdw9M-sxAs,part_383,2026-09-20 20:52:45
New Xerox Centre,Xerox and Photostat Center,Copy shop,Copy shop,822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 94319 07257,N/A,3.7,,"City Centre, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.667872499999998,86.1462607,ChIJ0x-UjLIj9DkRvTSKIkkskPo,https://www.google.com/maps/place/?q=place_id:ChIJ0x-UjLIj9DkRvTSKIkkskPo,part_383,2026-09-20 20:52:45
SHIVAM COPIER,Xerox and Photostat Center,Store,"Store, Bookbinder, Copy shop, Courier service, Lamination service, Printer repair service, Stationery store",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 94717 48682,N/A,4.6,,"H. N - 127, New AG Colony Rd, Kadru, AG Colony, Ranchi, Jharkhand 834002","Kadru, AG Colony",23.3531893,85.31561649999999,ChIJve8yjqzh9DkRtqUTHARXqfY,https://www.google.com/maps/place/?q=place_id:ChIJve8yjqzh9DkRtqUTHARXqfY,part_383,2026-09-20 20:52:45
Computer And Xerox Point,Xerox and Photostat Center,Copy shop,"Copy shop, Lamination service, Print shop",822115,Jharkhand Circle,Ranchi Region,Palamau Division,"Haidar Nagar SO, Bilashpur BO, Chaukri BO",+91 92357 23129,N/A,5.0,,"Near Heritage Hospital, Lanka, Varanasi, Uttar Pradesh 221005","Near Heritage Hospital, Lanka",25.279075,83.002843,ChIJ71DCvY0xjjkRkLCH54vazqI,https://www.google.com/maps/place/?q=place_id:ChIJ71DCvY0xjjkRkLCH54vazqI,part_383,2026-09-20 20:52:45
