business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharat spare parts,Auto Spare Parts Shop,Truck parts supplier,"Truck parts supplier, Auto machine shop, Earth works company, Hardware store, Machinery parts manufacturer, Racing car parts store, Tractor repair shop",822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 95252 20100,N/A,5.0,,"Bharat Spare Parts, Main road, near jio care, Chhatarpur, Bara, Jharkhand 822113",822116,24.373970699999997,84.1935441,ChIJg-4bnh5hjDkRaI-kLJh7A_I,https://www.google.com/maps/place/?q=place_id:ChIJg-4bnh5hjDkRaI-kLJh7A_I,part_383,2026-09-20 20:53:12
Kaushal Kumar Pandey,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 62028 55991,N/A,5.0,,"Krishna Nagar, Japla, Jharkhand 822116",Krishna Nagar,24.535952599999998,84.0005521,ChIJda--9BJHjDkRPG1WiESPmXE,https://www.google.com/maps/place/?q=place_id:ChIJda--9BJHjDkRPG1WiESPmXE,part_383,2026-09-20 20:53:12
Suraj Auto Parts And Repair Center,Auto Spare Parts Shop,Auto repair shop,Auto repair shop,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 76440 83053,N/A,5.0,,"Ramgarh, Chhattarpur, Jobna alias Ramgarh, Ramgarh, Jharkhand 822113","Ramgarh, Chhattarpur",24.3870458,84.20330849999999,ChIJoe9hxQFhjDkRkWP4R8wzjro,https://www.google.com/maps/place/?q=place_id:ChIJoe9hxQFhjDkRkWP4R8wzjro,part_383,2026-09-20 20:53:12
JHARKHAND MOTORS CHHATARPUR,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",N/A,N/A,4.2,,"96R3+377, Aurangabad - Rajhara - Daltenganj Rd, Jobna alias Ramgarh, Kauwal, Jharkhand 822113",822116,24.390160599999998,84.2031659,ChIJ31V0jTxhjDkRNXNbarf2S78,https://www.google.com/maps/place/?q=place_id:ChIJ31V0jTxhjDkRNXNbarf2S78,part_383,2026-09-20 20:53:12
Ajay Kumar,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 85214 15417,N/A,,,"Tempu Stand, near Chhat Pokhra, Japla, Jharkhand 822116",822116,24.5352052,84.0000768,ChIJYam4Wm5HjDkR_v5UEcXXEok,https://www.google.com/maps/place/?q=place_id:ChIJYam4Wm5HjDkR_v5UEcXXEok,part_383,2026-09-20 20:53:12
SHANKAR KUMAR MEHTA,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 80841 39387,N/A,,,"Jp Chowk, near Main Road, Japla, Jharkhand 822116",822116,24.535476499999998,84.0014806,ChIJMQNQpVtHjDkRUbOmFFdQ3Gs,https://www.google.com/maps/place/?q=place_id:ChIJMQNQpVtHjDkRUbOmFFdQ3Gs,part_383,2026-09-20 20:53:12
ABHISHEK KUMAR PASWAN,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 70413 85671,N/A,,,"MAIN ROAD, Budhua, Japla, Jharkhand 822116",822116,24.537206599999998,83.99761219999999,ChIJy6n--VdHjDkRpOG4c0X58us,https://www.google.com/maps/place/?q=place_id:ChIJy6n--VdHjDkRpOG4c0X58us,part_383,2026-09-20 20:53:12
BHARAT SPARE PARTS ( BAYPASS),Auto Spare Parts Shop,Auto machine shop,"Auto machine shop, Machine workshop, Mechanic, Serviced accommodation, Tractor parts store, Tractor repair shop, Trailer repair shop, Trailer supply store, Truck parts supplier, Truck repair shop",822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 94307 57361,N/A,,,"Nh139, BAYPASS MASIHANI, near RAM MANDIR, opp. CHHATARPUR, Chhatarpur, Jharkhand 822113",822116,24.3776653,84.2019557,ChIJ2_jW7LthjDkRPHoWRtTUu6Y,https://www.google.com/maps/place/?q=place_id:ChIJ2_jW7LthjDkRPHoWRtTUu6Y,part_383,2026-09-20 20:53:12
Sticker point japla,Auto Spare Parts Shop,Auto parts store,Auto parts store,822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",+91 90314 62581,N/A,3.0,,"Bajaj showroom, chhatarpur road, Ram Bigha, Japla, Jharkhand 822116",Ram Bigha,24.5308095,84.0035115,ChIJzYsG8hdHjDkRZPP0ifNQPH4,https://www.google.com/maps/place/?q=place_id:ChIJzYsG8hdHjDkRZPP0ifNQPH4,part_383,2026-09-20 20:53:12
Aman And Lucky Enterprises,Auto Spare Parts Shop,Motorcycle parts store,"Motorcycle parts store, Battery Store",822116,Jharkhand Circle,Ranchi Region,Palamau Division,"Japla SO, Alinagar BO, Barahi BO",N/A,N/A,4.5,4.0,"road, Nabinagar, Bihar 824301",822116,24.605249399999998,84.1344438,ChIJ966fl6xRjDkR1XiwsAeA2N8,https://www.google.com/maps/place/?q=place_id:ChIJ966fl6xRjDkR1XiwsAeA2N8,part_383,2026-09-20 20:53:13
