business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mohan Chat Corner,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Panipuri shop, Hawker stall",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 97172 47459,N/A,4.3,241.0,"DDA Market, 7A, West, Block DB, Maya Enclave, Hari Nagar, New Delhi, Delhi, 110064","Block DB, Maya Enclave, Hari Nagar",28.62124,77.1076978,ChIJv4hL2FYDDTkRd5C895KhL5Q,https://www.google.com/maps/place/?q=place_id:ChIJv4hL2FYDDTkRd5C895KhL5Q,part_383,2026-09-20 20:53:40
Sangam Chaat- Adityapur Outlet,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 98355 07950,http://www.sangamchat.com/,4.7,138.0,"Akashwani Chowk, near Post Office, Aditypur 1, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Adityapur",22.7861838,86.1661774,ChIJ0fHGGr7k9TkRVK7RTj4FpNg,https://www.google.com/maps/place/?q=place_id:ChIJ0fHGGr7k9TkRVK7RTj4FpNg,part_383,2026-09-20 20:53:40
Aara Chaat Centre,Fast Food and Chaat Corner,Restaurant,Restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 91231 33340,N/A,4.7,21.0,"First Shop, Joraphatak More, Chandmari Road, Dhansar, Anugrah Nagar, Dhanbad, Jharkhand 828106","Dhansar, Anugrah Nagar",23.7795138,86.4177254,ChIJdRCyBJKj9jkRH7WGHrRz7Fg,https://www.google.com/maps/place/?q=place_id:ChIJdRCyBJKj9jkRH7WGHrRz7Fg,part_383,2026-09-20 20:53:40
Gullu's Chaats,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Indian restaurant",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 98451 02389,N/A,3.7,5130.0,"No 2, 1, Serpentine Rd, Sripuram, Kumara Park West, Seshadripuram, Bengaluru, Karnataka 560020","Sripuram, Kumara Park West, Seshadripuram",12.9925216,77.57829339999999,ChIJNTptIjkWrjsRHAmI3yRH5qc,https://www.google.com/maps/place/?q=place_id:ChIJNTptIjkWrjsRHAmI3yRH5qc,part_383,2026-09-20 20:53:40
Manohar Chat,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 90067 69797,N/A,3.9,1198.0,"R634+43W, beside Basant Talkies Lane, Sakchi, Jamshedpur, Jharkhand 831001",Sakchi,22.8028549,86.205201,ChIJpb0pjQ_j9TkRUms-s68Cd7s,https://www.google.com/maps/place/?q=place_id:ChIJpb0pjQ_j9TkRUms-s68Cd7s,part_383,2026-09-20 20:53:40
Ma Shakti Chaat Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 83050 86302,N/A,4.3,21.0,"Shiv Mandir-Bus Stand Road, Morwa, Singrauli, Madhya Pradesh 486889",Morwa,24.201157,82.6655634,ChIJL3Ox3DU6jzkR1z8yfA62jI8,https://www.google.com/maps/place/?q=place_id:ChIJL3Ox3DU6jzkR1z8yfA62jI8,part_383,2026-09-20 20:53:41
Bombay Fast Food and restaurant,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,N/A,N/A,4.1,33.0,"93HW+QP4, Binda Chak Mukim, Uttar Pradesh 221508",822117,25.3793963,82.0968293,ChIJeV8z7_ZThTkR8kSuQGhnFjs,https://www.google.com/maps/place/?q=place_id:ChIJeV8z7_ZThTkR8kSuQGhnFjs,part_383,2026-09-20 20:53:41
Indian Fast Food Corner,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Restaurant",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 78606 77596,N/A,4.7,3.0,"Dr. BR Ambedkar Chauraha, Bariyari, Rahimapur, Uttar Pradesh 211019",822117,25.4450933,81.9633568,ChIJx90BB_OzmjkRgt00S3rSKdo,https://www.google.com/maps/place/?q=place_id:ChIJx90BB_OzmjkRgt00S3rSKdo,part_383,2026-09-20 20:53:41
Baba Restaurant And Fast Food Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,N/A,N/A,4.5,21.0,"73VQ+JP7, Kadipur - Sultanpur Rd, Ratan Pur, Uttar Pradesh 228118",822117,26.2940351,82.0892958,ChIJu1D8vxJ9mjkRFO8v9ORJgeI,https://www.google.com/maps/place/?q=place_id:ChIJu1D8vxJ9mjkRFO8v9ORJgeI,part_383,2026-09-20 20:53:41
Sagar Gaire Chhatarpur,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 99530 61819,http://www.sagargairefastfoodcorner.com/,4.1,735.0,"Infront of Chhatrshal Pathalogy Lab, Panna naka, Neelkanthnagar, Radio Colony, Chhatarpur, Madhya Pradesh 471001","Neelkanthnagar, Radio Colony",24.8960711,79.5948323,ChIJt-lhqtuXgjkRz1zGdcns7hM,https://www.google.com/maps/place/?q=place_id:ChIJt-lhqtuXgjkRz1zGdcns7hM,part_383,2026-09-20 20:53:41
Gupta Roll and Snacks,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Chinese restaurant, Takeout restaurant",822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 72740 34579,N/A,4.0,1764.0,"172, Under Bridge, Kadru, Ashok Nagar, Ranchi, Jharkhand 834002","Kadru, Ashok Nagar",23.3500341,85.3213115,ChIJoSFgSa7h9DkRh6z-4dkrjrM,https://www.google.com/maps/place/?q=place_id:ChIJoSFgSa7h9DkRh6z-4dkrjrM,part_383,2026-09-20 20:53:41
Bombe Fast Food And Chainese Center,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 89603 22294,N/A,5.0,3.0,"Ambari Bazaar Azamgarh, Mahul - Ambari Rd, near Union Bank Of India, Uttar Pradesh 223222",822117,26.0878141,82.80235979999999,ChIJIYddyhJRkDkRP3yEwxMNcPA,https://www.google.com/maps/place/?q=place_id:ChIJIYddyhJRkDkRP3yEwxMNcPA,part_383,2026-09-20 20:53:41
Sacred Heart Chat Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,N/A,N/A,4.0,3.0,"Rai Sadan, VIP Road, Sector 5, Obra, Uttar Pradesh 231219",Sector 5,24.4610192,82.9921535,ChIJNYFeawDjjjkRcg_EB_s5ErI,https://www.google.com/maps/place/?q=place_id:ChIJNYFeawDjjjkRcg_EB_s5ErI,part_383,2026-09-20 20:53:41
Chat& fast-food,Fast Food and Chaat Corner,Indian restaurant,Indian restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 96511 79944,N/A,5.0,1.0,"Beniganj, Prayagraj, Uttar Pradesh 211016",Beniganj,25.4325193,81.8078006,ChIJHa_dw-g1hTkRlOE0dGSVjeI,https://www.google.com/maps/place/?q=place_id:ChIJHa_dw-g1hTkRlOE0dGSVjeI,part_383,2026-09-20 20:53:41
Gupta chat corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,822117,Jharkhand Circle,Ranchi Region,Palamau Division,Japla C F SO,+91 70036 08784,N/A,4.8,25.0,"Shyama Prasad Mukherjee Rd, Jatin Das Park, Patuapara, Bhowanipore, Kolkata, West Bengal 700026","Jatin Das Park, Patuapara, Bhowanipore",22.5245471,88.3463175,ChIJMW2CVqR3AjoRR8TtccglUz8,https://www.google.com/maps/place/?q=place_id:ChIJMW2CVqR3AjoRR8TtccglUz8,part_383,2026-09-20 20:53:41
